,Year,a1,b1,b2,b3,b4,b5,a2,w1,w2,w3,w4,w5
0,1881,Top 5:,Chester: 63.1% (from 168 to 274),Ola: 46.27% (from 67 to 98),Lucinda: 39.68% (from 63 to 88),Ina: 36.71% (from 79 to 108),Eli: 32.88% (from 73 to 97),Bottom 5:,Winfield: -39.81% (from 108 to 65),Fredrick: -36.89% (from 103 to 65),Archie: -31.69% (from 183 to 125),Augustus: -31.08% (from 74 to 51),Elijah: -31.0% (from 100 to 69)
1,1882,Top 5:,Mack: 81.25% (from 80 to 145),Rosie: 64.71% (from 85 to 140),Manuel: 61.4% (from 57 to 92),Elijah: 60.87% (from 69 to 111),Eleanor: 58.18% (from 110 to 174),Bottom 5:,Garfield: -53.06% (from 147 to 69),Irvin: -25.0% (from 88 to 66),Lora: -22.5% (from 80 to 62),Christina: -21.95% (from 82 to 64),Roscoe: -20.59% (from 102 to 81)
2,1883,Top 5:,Grover: 126.79% (from 56 to 127),Hilda: 70.69% (from 58 to 99),Hazel: 68.49% (from 73 to 123),Selma: 48.15% (from 54 to 80),Mathilda: 47.06% (from 68 to 100),Bottom 5:,Abraham: -42.86% (from 91 to 52),Gus: -32.5% (from 120 to 81),Mack: -32.41% (from 145 to 98),Matilda: -30.99% (from 242 to 167),Percy: -30.95% (from 126 to 87)
3,1884,Top 5:,Grover: 537.01% (from 127 to 809),Goldie: 164.71% (from 51 to 135),Harold: 76.85% (from 108 to 191),Hazel: 69.92% (from 123 to 209),Bill: 64.0% (from 50 to 82),Bottom 5:,Mina: -37.08% (from 89 to 56),Christopher: -23.6% (from 89 to 68),Adam: -22.43% (from 107 to 83),Selma: -21.25% (from 80 to 63),Verna: -19.44% (from 108 to 87)
4,1885,Top 5:,Rena: 57.45% (from 94 to 148),Lora: 56.94% (from 72 to 113),Vernon: 52.0% (from 50 to 76),Orville: 49.06% (from 53 to 79),Lily: 46.67% (from 60 to 88),Bottom 5:,Pete: -30.86% (from 81 to 56),Tillie: -30.34% (from 145 to 101),Harley: -30.14% (from 73 to 51),Fredrick: -27.91% (from 86 to 62),Mose: -26.47% (from 68 to 50)
5,1886,Top 5:,Winnie: 67.5% (from 80 to 134),Genevieve: 56.32% (from 87 to 136),Loretta: 54.95% (from 91 to 141),Hazel: 54.8% (from 281 to 435),Ivy: 52.0% (from 50 to 76),Bottom 5:,Grover: -47.42% (from 774 to 407),Hiram: -42.39% (from 92 to 53),Cleveland: -40.82% (from 147 to 87),Dessie: -27.78% (from 72 to 52),Charley: -24.91% (from 285 to 214)
6,1887,Top 5:,Gladys: 53.44% (from 131 to 201),Vivian: 43.64% (from 55 to 79),Marguerite: 42.4% (from 125 to 178),Marian: 41.67% (from 60 to 85),Hiram: 41.51% (from 53 to 75),Bottom 5:,Cleveland: -37.93% (from 87 to 54),Marshall: -34.29% (from 105 to 69),Reuben: -34.15% (from 82 to 54),Eddie: -33.48% (from 227 to 151),Simon: -30.93% (from 97 to 67)
7,1888,Top 5:,Harrison: 304.04% (from 99 to 400),Bennie: 93.1% (from 58 to 112),Hazel: 78.98% (from 509 to 911),Lily: 72.88% (from 59 to 102),Mina: 70.49% (from 61 to 104),Bottom 5:,Rudolph: -23.94% (from 71 to 54),Bob: -20.27% (from 74 to 59),Louella: -15.25% (from 59 to 50),Clayton: -14.86% (from 74 to 63),Myrtie: -13.25% (from 83 to 72)
8,1889,Top 5:,Rudolph: 53.7% (from 54 to 83),Rita: 44.23% (from 52 to 75),Lucile: 43.62% (from 94 to 135),Leola: 41.67% (from 72 to 102),Olivia: 40.85% (from 71 to 100),Bottom 5:,Grover: -55.7% (from 474 to 210),Roscoe: -41.13% (from 141 to 83),Simon: -36.7% (from 109 to 69),Frankie: -36.0% (from 100 to 64),Phillip: -32.76% (from 116 to 78)
9,1890,Top 5:,Naomi: 54.43% (from 79 to 122),Donald: 52.0% (from 75 to 114),Letha: 50.85% (from 59 to 89),Corinne: 50.0% (from 68 to 102),Stanley: 47.68% (from 151 to 223),Bottom 5:,Harrison: -45.83% (from 288 to 156),Edmund: -39.33% (from 89 to 54),Jake: -32.71% (from 107 to 72),Timothy: -31.71% (from 82 to 56),Benjamin: -29.34% (from 760 to 537)
10,1891,Top 5:,Ruth: 54.75% (from 1200 to 1857),Linda: 44.44% (from 54 to 78),Clifton: 40.35% (from 57 to 80),Bennie: 33.33% (from 72 to 96),Cecilia: 32.97% (from 91 to 121),Bottom 5:,Jasper: -38.95% (from 95 to 58),Orville: -36.36% (from 88 to 56),Sylvester: -35.35% (from 99 to 64),Wallace: -34.78% (from 138 to 90),Georgie: -34.15% (from 82 to 54)
11,1892,Top 5:,Grover: 181.6% (from 163 to 459),Ruth: 77.81% (from 1857 to 3302),Annette: 64.15% (from 53 to 87),Cleveland: 64.0% (from 50 to 82),Isabelle: 63.85% (from 130 to 213),Bottom 5:,Angie: -27.54% (from 69 to 50),Louella: -24.0% (from 75 to 57),Lida: -23.6% (from 89 to 68),Forrest: -22.39% (from 67 to 52),Irving: -21.33% (from 75 to 59)
12,1893,Top 5:,Esther: 67.31% (from 829 to 1387),Irving: 61.02% (from 59 to 95),Forrest: 59.62% (from 52 to 83),Nola: 45.16% (from 62 to 90),Anita: 45.12% (from 82 to 119),Bottom 5:,Jake: -43.1% (from 116 to 66),Grover: -37.04% (from 459 to 289),Silas: -35.96% (from 89 to 57),Alonzo: -31.73% (from 104 to 71),Glen: -31.25% (from 112 to 77)
13,1894,Top 5:,Vesta: 92.31% (from 52 to 100),Reba: 53.85% (from 65 to 100),Golda: 50.88% (from 57 to 86),Glen: 48.05% (from 77 to 114),Georgie: 46.3% (from 54 to 79),Bottom 5:,Grover: -59.17% (from 289 to 118),Forrest: -36.14% (from 83 to 53),Mabelle: -33.73% (from 83 to 55),Fredrick: -31.51% (from 73 to 50),Elijah: -29.87% (from 77 to 54)
14,1895,Top 5:,Thelma: 147.14% (from 70 to 173),Marian: 113.71% (from 124 to 265),Forrest: 79.25% (from 53 to 95),Lessie: 70.51% (from 78 to 133),Sue: 49.52% (from 105 to 157),Bottom 5:,Simon: -34.48% (from 87 to 57),Ross: -33.64% (from 110 to 73),Irvin: -27.78% (from 90 to 65),Sherman: -25.0% (from 100 to 75),Golda: -24.42% (from 86 to 65)
15,1896,Top 5:,Clarice: 64.71% (from 51 to 84),Louella: 58.0% (from 50 to 79),Doris: 57.58% (from 198 to 312),Thelma: 53.18% (from 173 to 265),Max: 52.63% (from 95 to 145),Bottom 5:,Vesta: -33.33% (from 96 to 64),Chloe: -27.4% (from 73 to 53),Aaron: -26.6% (from 94 to 69),Calvin: -24.62% (from 130 to 98),Felix: -23.85% (from 109 to 83)
16,1897,Top 5:,Dewey: 171.43% (from 63 to 171),Thelma: 60.38% (from 265 to 425),Angela: 58.33% (from 60 to 95),Marvin: 44.09% (from 93 to 134),Vesta: 43.75% (from 64 to 92),Bottom 5:,Abraham: -43.12% (from 109 to 62),Sherman: -39.0% (from 100 to 61),Bryan: -38.22% (from 157 to 97),Phoebe: -32.08% (from 106 to 72),Nola: -31.48% (from 108 to 74)
17,1898,Top 5:,Dewey: 612.87% (from 171 to 1219),Winnie: 100.65% (from 155 to 311),Pansy: 65.08% (from 63 to 104),Nola: 64.86% (from 74 to 122),Franklin: 64.71% (from 68 to 112),Bottom 5:,Bryan: -41.24% (from 97 to 57),Mckinley: -31.3% (from 115 to 79),Pete: -30.26% (from 76 to 53),Nathan: -28.78% (from 139 to 99),Grant: -27.78% (from 72 to 52)
18,1899,Top 5:,Wilma: 47.8% (from 159 to 235),Pete: 39.62% (from 53 to 74),Perry: 34.94% (from 83 to 112),Maudie: 33.04% (from 115 to 153),Muriel: 29.46% (from 129 to 167),Bottom 5:,Dewey: -57.1% (from 1219 to 523),Myrtie: -40.82% (from 98 to 58),Leta: -36.84% (from 95 to 60),Marshall: -35.78% (from 109 to 70),Jake: -35.04% (from 117 to 76)
19,1900,Top 5:,Bill: 136.14% (from 83 to 196),Johnnie: 94.69% (from 245 to 477),Jannie: 94.44% (from 54 to 105),Clayton: 93.44% (from 61 to 118),Jimmie: 87.83% (from 115 to 216),Bottom 5:,Dewey: -32.31% (from 523 to 354),Forrest: -20.88% (from 91 to 72),Helena: -17.04% (from 135 to 112),Rhea: -16.39% (from 61 to 51),Phoebe: -15.48% (from 84 to 71)
20,1901,Top 5:,Vada: 37.7% (from 61 to 84),Roosevelt: 25.0% (from 72 to 90),Leone: 23.88% (from 67 to 83),Lyle: 18.18% (from 55 to 65),Ione: 14.71% (from 68 to 78),Bottom 5:,Dewey: -59.32% (from 354 to 144),Moses: -55.56% (from 117 to 52),Mack: -54.4% (from 250 to 114),Louella: -50.45% (from 111 to 55),Nona: -47.73% (from 132 to 69)
21,1902,Top 5:,Roosevelt: 91.11% (from 90 to 172),Antonio: 84.62% (from 52 to 96),Audrey: 67.16% (from 134 to 224),Felix: 62.86% (from 70 to 114),Phoebe: 61.11% (from 54 to 87),Bottom 5:,Mckinley: -24.68% (from 77 to 58),Floy: -23.29% (from 73 to 56),Helene: -22.95% (from 122 to 94),Meta: -21.7% (from 106 to 83),Manuel: -21.33% (from 150 to 118)
22,1903,Top 5:,Zora: 43.1% (from 58 to 83),Donna: 41.82% (from 55 to 78),Katharine: 41.57% (from 89 to 126),Molly: 38.89% (from 54 to 75),Steve: 38.04% (from 92 to 127),Bottom 5:,Gertie: -39.29% (from 140 to 85),Georgie: -36.17% (from 94 to 60),Nelle: -35.37% (from 82 to 53),Cassie: -32.56% (from 86 to 58),Clarice: -31.67% (from 120 to 82)
23,1904,Top 5:,Alton: 266.67% (from 84 to 308),Patricia: 56.96% (from 79 to 124),Jerry: 55.46% (from 119 to 185),Tessie: 48.53% (from 68 to 101),Ocie: 47.17% (from 53 to 78),Bottom 5:,Zora: -34.94% (from 83 to 54),Dewey: -34.01% (from 147 to 97),Douglas: -31.0% (from 100 to 69),Isabell: -26.26% (from 99 to 73),Joyce: -23.29% (from 73 to 56)
24,1905,Top 5:,Melba: 67.21% (from 61 to 102),Elisabeth: 66.04% (from 53 to 88),Ester: 63.46% (from 52 to 85),Maxine: 60.71% (from 84 to 135),Billie: 59.77% (from 87 to 139),Bottom 5:,Alton: -46.75% (from 308 to 164),Lauretta: -38.37% (from 86 to 53),Millard: -33.77% (from 77 to 51),Leora: -27.06% (from 85 to 62),Aileen: -24.72% (from 89 to 67)
25,1906,Top 5:,Karl: 66.15% (from 65 to 108),Carmen: 53.47% (from 101 to 155),Ronald: 49.02% (from 51 to 76),Aileen: 47.76% (from 67 to 99),Odell: 46.77% (from 62 to 91),Bottom 5:,Phoebe: -39.08% (from 87 to 53),Lily: -38.81% (from 134 to 82),Lou: -35.9% (from 156 to 100),Elbert: -35.61% (from 132 to 85),Alton: -35.37% (from 164 to 106)
26,1907,Top 5:,Iola: 116.67% (from 78 to 169),Queen: 71.7% (from 53 to 91),Lina: 60.0% (from 50 to 80),Antonio: 57.5% (from 80 to 126),Emmett: 57.45% (from 94 to 148),Bottom 5:,Ena: -41.57% (from 89 to 52),Sybil: -34.52% (from 84 to 55),Austin: -32.53% (from 83 to 56),Aileen: -27.27% (from 99 to 72),Leora: -27.27% (from 88 to 64)
27,1908,Top 5:,Frankie: 64.29% (from 98 to 161),Sherman: 59.46% (from 74 to 118),Bernadette: 53.23% (from 62 to 95),Perry: 52.69% (from 93 to 142),Carolyn: 52.17% (from 184 to 280),Bottom 5:,Zora: -35.87% (from 92 to 59),Blanch: -34.95% (from 103 to 67),Queen: -31.87% (from 91 to 62),Alonzo: -30.49% (from 82 to 57),Avis: -30.34% (from 89 to 62)
28,1909,Top 5:,Kermit: 139.66% (from 58 to 139),Elmo: 70.59% (from 51 to 87),Alonzo: 66.67% (from 57 to 95),Ocie: 66.04% (from 53 to 88),Maxine: 50.91% (from 220 to 332),Bottom 5:,Abbie: -32.14% (from 84 to 57),Troy: -31.91% (from 94 to 64),Zelda: -27.91% (from 86 to 62),Hollis: -26.76% (from 71 to 52),Grant: -25.32% (from 79 to 59)
29,1910,Top 5:,Hallie: 89.23% (from 130 to 246),Berniece: 84.06% (from 69 to 127),Bob: 77.59% (from 58 to 103),Dave: 74.51% (from 102 to 178),Lyle: 73.61% (from 72 to 125),Bottom 5:,Hyman: -25.93% (from 81 to 60),Golda: -21.78% (from 101 to 79),Vida: -21.69% (from 83 to 65),Madeleine: -21.21% (from 66 to 52),Clement: -20.31% (from 64 to 51)
30,1911,Top 5:,Hyman: 128.33% (from 60 to 137),Dominic: 128.3% (from 53 to 121),Avis: 85.37% (from 82 to 152),Clement: 76.47% (from 51 to 90),Isadore: 72.22% (from 54 to 93),Bottom 5:,Earline: -39.78% (from 93 to 56),Estell: -38.18% (from 110 to 68),Coy: -35.8% (from 81 to 52),Birdie: -35.29% (from 187 to 121),Kermit: -34.56% (from 136 to 89)
31,1912,Top 5:,Woodrow: 1432.23% (from 121 to 1854),Wilson: 284.5% (from 129 to 496),Keith: 181.67% (from 60 to 169),Clark: 175.0% (from 68 to 187),Mario: 171.43% (from 56 to 152),Bottom 5:,Hedwig: -8.77% (from 57 to 52),Blanch: -8.74% (from 103 to 94),Dessie: -8.57% (from 175 to 160),Louisa: -6.25% (from 96 to 90),Leonora: -5.97% (from 67 to 63)
32,1913,Top 5:,Joy: 82.05% (from 78 to 142),Truman: 78.05% (from 82 to 146),Louisa: 76.67% (from 90 to 159),Olen: 73.77% (from 61 to 106),Rita: 73.11% (from 636 to 1101),Bottom 5:,Francisca: -32.93% (from 82 to 55),Ludie: -32.47% (from 77 to 52),Isiah: -29.11% (from 79 to 56),Vesta: -27.81% (from 169 to 122),Greta: -27.78% (from 72 to 52)
33,1914,Top 5:,Benedict: 125.49% (from 51 to 115),Kermit: 96.14% (from 207 to 406),Armando: 92.59% (from 54 to 104),Lyman: 87.91% (from 91 to 171),Marjory: 86.3% (from 73 to 136),Bottom 5:,Woodrow: -23.56% (from 2343 to 1791),Bess: -21.85% (from 119 to 93),Audra: -20.78% (from 77 to 61),Vina: -19.18% (from 73 to 59),Eda: -16.42% (from 67 to 56)
34,1915,Top 5:,Jess: 126.36% (from 258 to 584),Mavis: 121.85% (from 119 to 264),Willard: 119.85% (from 1330 to 2924),Elaine: 113.38% (from 568 to 1212),Beverly: 109.9% (from 202 to 424),Bottom 5:,Bulah: -32.94% (from 85 to 57),Juana: -26.89% (from 119 to 87),Octavia: -21.25% (from 80 to 63),Francisca: -21.18% (from 85 to 67),Kermit: -20.69% (from 406 to 322)
35,1916,Top 5:,Theda: 154.03% (from 124 to 315),Trinidad: 138.98% (from 59 to 141),Charline: 87.5% (from 56 to 105),Octavia: 76.19% (from 63 to 111),Rachael: 67.71% (from 96 to 161),Bottom 5:,Alba: -40.7% (from 86 to 51),Cruz: -31.08% (from 74 to 51),Verlie: -30.26% (from 76 to 53),Chas: -29.29% (from 99 to 70),Mafalda: -28.95% (from 76 to 54)
36,1917,Top 5:,Bette: 68.26% (from 230 to 387),Lavonne: 59.49% (from 79 to 126),Murry: 57.14% (from 63 to 99),Franklyn: 56.14% (from 57 to 89),Rosemarie: 55.17% (from 87 to 135),Bottom 5:,Ludie: -32.63% (from 95 to 64),Dorsey: -32.39% (from 176 to 119),Juliana: -30.67% (from 75 to 52),Eldora: -30.37% (from 135 to 94),Jess: -28.6% (from 493 to 352)
37,1918,Top 5:,Quentin: 566.67% (from 72 to 480),Pershing: 456.6% (from 53 to 295),Liberty: 221.57% (from 51 to 164),Sibyl: 153.39% (from 118 to 299),Syble: 152.05% (from 73 to 184),Bottom 5:,Regis: -36.45% (from 107 to 68),Verlie: -31.71% (from 82 to 56),Carey: -31.52% (from 92 to 63),Obie: -30.0% (from 90 to 63),Afton: -29.59% (from 98 to 69)
38,1919,Top 5:,Rossie: 69.81% (from 53 to 90),Angelita: 66.67% (from 51 to 85),Marilyn: 64.9% (from 245 to 404),Felton: 56.72% (from 67 to 105),Ernesto: 55.74% (from 61 to 95),Bottom 5:,Pershing: -65.08% (from 295 to 103),Woodrow: -45.94% (from 3372 to 1823),Judson: -39.85% (from 133 to 80),Lambert: -39.8% (from 98 to 59),Craig: -39.36% (from 94 to 57)
39,1920,Top 5:,Warren: 151.0% (from 2198 to 5517),Gloria: 85.74% (from 547 to 1016),Bryce: 85.48% (from 62 to 115),Bradley: 73.58% (from 53 to 92),Bobby: 71.54% (from 130 to 223),Bottom 5:,Woodrow: -57.27% (from 1823 to 779),Quentin: -41.01% (from 573 to 338),Wyatt: -39.29% (from 84 to 51),Ethyl: -39.02% (from 82 to 50),Sibyl: -37.12% (from 299 to 188)
40,1921,Top 5:,Gloria: 169.49% (from 1016 to 2738),Margie: 99.78% (from 1353 to 2703),Dante: 89.39% (from 66 to 125),Gerry: 58.49% (from 53 to 84),Elayne: 58.0% (from 50 to 79),Bottom 5:,Stacy: -37.5% (from 88 to 55),Lilian: -33.33% (from 81 to 54),Ozell: -32.53% (from 83 to 56),Stephania: -32.0% (from 75 to 51),Adelia: -31.91% (from 94 to 64)
41,1922,Top 5:,Daryl: 205.97% (from 67 to 205),Marilyn: 144.68% (from 696 to 1703),Marilynn: 126.4% (from 125 to 283),Jacquelyn: 77.17% (from 92 to 163),Eduardo: 67.8% (from 59 to 99),Bottom 5:,Harding: -60.85% (from 235 to 92),Warren: -42.43% (from 7825 to 4505),Johnson: -38.82% (from 85 to 52),Harden: -38.27% (from 81 to 50),Enrico: -37.5% (from 96 to 60)
42,1923,Top 5:,Leatrice: 102.63% (from 114 to 231),Marlene: 93.22% (from 59 to 114),Calvin: 87.24% (from 1293 to 2421),Laurel: 79.72% (from 143 to 257),Doreen: 70.19% (from 104 to 177),Bottom 5:,Trinidad: -61.73% (from 392 to 150),Daryl: -50.73% (from 205 to 101),Oral: -42.0% (from 100 to 58),Otho: -39.81% (from 103 to 62),Artis: -36.84% (from 95 to 60)
