name,num,color
Mary, 18, #ff5A00
Annie, 8, #ff5A00
Anna, 11, #ff5A00
Margaret, 11, #ff5A00
Helen, 9, #ff5A00
Lucy, 8, #ff5A00
Dorothy, 9, #ff5A00
Ruth, 9, #ff5A00
Elizabeth, 15, #ff5A00
Agnes, 8, #ff5A00
Jean, 8, #ff5A00
Alice, 9, #ff5A00
Esther, 8, #ff5A00
Marie, 9, #ff5A00
Clara, 8, #ff5A00
Martha, 9, #ff5A00
Frances, 8, #ff5A00
Julia, 9, #ff5A00
Lillian, 9, #ff5A00
Pauline, 8, #ff5A00
Katherine, 11, #ff5A00
Emma, 10, #ff5A00
Evelyn, 9, #ff5A00
Sally, 8, #ff5A00
Rose, 8, #ff5A00
Sophie, 8, #ff5A00
Virginia, 8, #ff5A00
Sarah, 14, #ff5A00
Betty, 8, #ff5A00
Irene, 8, #ff5A00
Barbara, 10, #ff5A00
Ann, 8, #ff5A00
Josephine, 8, #ff5A00
Kathryn, 9, #ff5A00
Katie, 8, #ff5A00
Patricia, 11, #ff5A00
Joan, 8, #ff5A00
Elena, 8, #ff5A00
Grace, 9, #ff5A00
Laura, 11, #ff5A00
Shirley, 8, #ff5A00
Eva, 8, #ff5A00
Nancy, 9, #ff5A00
Carrie, 8, #ff5A00
Christine, 10, #ff5A00
Janet, 9, #ff5A00
Maria, 9, #ff5A00
Carol, 9, #ff5A00
Charlotte, 8, #ff5A00
Jacqueline, 8, #ff5A00
Theresa, 9, #ff5A00
Amelia, 8, #ff5A00
Lydia, 8, #ff5A00
Donna, 10, #ff5A00
Beverly, 8, #ff5A00
Joyce, 8, #ff5A00
Sandra, 10, #ff5A00
Karen, 11, #ff5A00
Emily, 12, #ff5A00
Marilyn, 8, #ff5A00
Judith, 8, #ff5A00
Sharon, 10, #ff5A00
Carolyn, 8, #ff5A00
Susan, 11, #ff5A00
Judy, 8, #ff5A00
Diane, 9, #ff5A00
Janice, 8, #ff5A00
Audrey, 8, #ff5A00
Ella, 8, #ff5A00
Linda, 11, #ff5A00
Catherine, 9, #ff5A00
Bonnie, 8, #ff5A00
Molly, 8, #ff5A00
Roberta, 8, #ff5A00
Kathleen, 10, #ff5A00
Caroline, 8, #ff5A00
Kathy, 8, #ff5A00
Darlene, 8, #ff5A00
Ellen, 8, #ff5A00
Pamela, 9, #ff5A00
Cheryl, 9, #ff5A00
Suzanne, 8, #ff5A00
Anne, 8, #ff5A00
Cynthia, 10, #ff5A00
Carla, 8, #ff5A00
Deborah, 10, #ff5A00
Diana, 8, #ff5A00
Teresa, 9, #ff5A00
Christina, 10, #ff5A00
Julie, 10, #ff5A00
Colleen, 8, #ff5A00
Paula, 8, #ff5A00
Vicki, 8, #ff5A00
Brenda, 9, #ff5A00
Charlene, 8, #ff5A00
Robin, 9, #e85A17
Rebecca, 12, #ff5A00
Terry, 9, #385Ac7
Sherry, 8, #ff5A00
Jennifer, 15, #ff5A00
Laurie, 8, #ff5A00
Rachel, 11, #ff5A00
Sheila, 8, #ff5A00
Debra, 10, #ff5A00
Denise, 9, #ff5A00
Valerie, 8, #ff5A00
Victoria, 10, #ff5A00
Andrea, 9, #ff5A00
Connie, 8, #ff5A00
Stephanie, 11, #ff5A00
April, 8, #ff5A00
Leslie, 8, #cd5A32
Angela, 10, #ff5A00
Michele, 8, #ff5A00
Michelle, 12, #ff5A00
Rhonda, 8, #ff5A00
Terri, 8, #ff5A00
Jill, 8, #ff5A00
Wendy, 8, #ff5A00
Kimberly, 11, #ff5A00
Amy, 10, #ff5A00
Debbie, 8, #ff5A00
Lori, 8, #ff5A00
Cindy, 8, #ff5A00
Dawn, 9, #ff5A00
Tracy, 8, #e35A1c
Lisa, 11, #ff5A00
Lee, 8, #075Af8
Kim, 8, #ea5A15
Melinda, 8, #ff5A00
Renee, 8, #ff5A00
Holly, 9, #ff5A00
Tina, 8, #ff5A00
Melody, 8, #ff5A00
Monica, 8, #ff5A00
Melissa, 11, #ff5A00
Sara, 9, #ff5A00
Shannon, 10, #f35A0c
Kelly, 10, #d75A28
Tammy, 8, #ff5A00
Tanya, 8, #ff5A00
Veronica, 8, #ff5A00
Melanie, 8, #ff5A00
Shawn, 10, #0a5Af5
Heather, 11, #ff5A00
Tamara, 8, #ff5A00
Heidi, 9, #ff5A00
Natalie, 9, #ff5A00
Chris, 8, #0e5Af1
Crystal, 9, #ff5A00
Dana, 8, #d95A26
Kristen, 8, #ff5A00
Deanna, 8, #ff5A00
Vanessa, 8, #ff5A00
Jamie, 9, #e45A1b
Hannah, 10, #ff5A00
Kristin, 8, #ff5A00
Stacey, 8, #fa5A05
Stacy, 8, #ff5A00
Jessica, 14, #ff5A00
Kristina, 8, #ff5A00
Sabrina, 8, #ff5A00
Kara, 8, #ff5A00
Allison, 9, #ff5A00
Erin, 9, #ff5A00
Nicole, 10, #ff5A00
Tiffany, 9, #ff5A00
Amanda, 12, #ff5A00
Leah, 8, #ff5A00
Danielle, 10, #ff5A00
Samantha, 11, #ff5A00
Tara, 8, #ff5A00
Cassandra, 8, #ff5A00
Amber, 10, #ff5A00
Kendra, 8, #ff5A00
