name,num,color
Mary, 24, #fe5A01
Annie, 12, #fe5A01
Willie, 16, #435Abc
Mattie, 9, #ff5A00
Ruby, 9, #fe5A01
Ethel, 8, #ff5A00
Lillie, 9, #ff5A00
Ruth, 9, #ff5A00
Bessie, 8, #ff5A00
Elizabeth, 11, #ff5A00
Emma, 9, #ff5A00
Minnie, 8, #ff5A00
Louise, 9, #fe5A01
Bertha, 8, #ff5A00
Hattie, 8, #ff5A00
Gladys, 8, #ff5A00
Carrie, 8, #ff5A00
Fannie, 8, #ff5A00
Martha, 10, #ff5A00
Rosa, 8, #ff5A00
Alice, 9, #ff5A00
Lucille, 8, #ff5A00
Jessie, 9, #7f5A80
Sarah, 10, #ff5A00
Margaret, 10, #ff5A00
Pearl, 7, #ff5A00
Marie, 8, #ff5A00
Myrtle, 8, #ff5A00
Rosie, 8, #ff5A00
Lillian, 8, #ff5A00
Clara, 8, #ff5A00
Gertrude, 7, #ff5A00
Nellie, 8, #ff5A00
Ida, 8, #ff5A00
Ella, 8, #ff5A00
Eva, 8, #ff5A00
Maggie, 8, #ff5A00
Mildred, 9, #ff5A00
Mamie, 8, #ff5A00
Edna, 8, #ff5A00
Lois, 8, #fb5A04
Susie, 8, #ff5A00
Katie, 8, #ff5A00
Beatrice, 8, #ff5A00
Evelyn, 9, #ff5A00
Alma, 8, #ff5A00
Lula, 8, #ff5A00
Frances, 9, #ff5A00
Irene, 8, #ff5A00
Velma, 8, #ff5A00
Viola, 7, #ff5A00
Julia, 8, #ff5A00
Essie, 8, #fa5A05
Helen, 9, #ff5A00
Lucy, 8, #ff5A00
Lucile, 7, #ff5A00
Anna, 9, #ff5A00
Vera, 8, #ff5A00
Laura, 9, #ff5A00
Inez, 7, #ff5A00
Thelma, 8, #ff5A00
Eula, 7, #ff5A00
Virginia, 9, #ff5A00
Alberta, 7, #ff5A00
Daisy, 8, #ff5A00
Flora, 7, #ff5A00
Cora, 8, #ff5A00
Lena, 7, #ff5A00
Josephine, 8, #ff5A00
Grace, 8, #ff5A00
Georgia, 8, #ff5A00
Nancy, 9, #ff5A00
Lizzie, 7, #ff5A00
Pauline, 8, #ff5A00
Sallie, 7, #ff5A00
Johnnie, 9, #715A8e
Mae, 8, #ff5A00
Bernice, 8, #f95A06
Dorothy, 11, #fe5A01
Florence, 7, #ff5A00
Ada, 7, #ff5A00
Hazel, 8, #fe5A01
Addie, 7, #ff5A00
Rose, 8, #ff5A00
Elsie, 7, #ff5A00
Agnes, 7, #ff5A00
Leola, 7, #ff5A00
Estelle, 7, #ff5A00
