name,num,color
Mary, 23, #fe5A01
Ruby, 10, #fe5A01
Ruth, 9, #ff5A00
Willie, 13, #525Aad
Ethel, 8, #ff5A00
Gladys, 8, #ff5A00
Hazel, 9, #ff5A00
Edna, 8, #ff5A00
Bessie, 8, #ff5A00
Mildred, 9, #ff5A00
Annie, 9, #ff5A00
Helen, 10, #ff5A00
Thelma, 9, #ff5A00
Marie, 8, #ff5A00
Bertha, 8, #ff5A00
Myrtle, 8, #ff5A00
Dorothy, 12, #ff5A00
Irene, 8, #ff5A00
Pearl, 8, #ff5A00
Jessie, 9, #7e5A81
Minnie, 8, #ff5A00
Martha, 10, #ff5A00
Mattie, 8, #ff5A00
Rosie, 8, #ff5A00
Lucille, 8, #ff5A00
Opal, 8, #fb5A04
Lillie, 8, #ff5A00
Elizabeth, 11, #ff5A00
Louise, 8, #ff5A00
Beatrice, 8, #ff5A00
Clara, 8, #ff5A00
Edith, 8, #ff5A00
Velma, 8, #ff5A00
Alice, 9, #ff5A00
Anna, 9, #ff5A00
Lillian, 8, #ff5A00
Lois, 9, #fc5A03
Emma, 9, #ff5A00
Pauline, 8, #ff5A00
Elsie, 8, #fe5A01
Alma, 8, #ff5A00
Margaret, 10, #ff5A00
Ida, 8, #ff5A00
Jewell, 8, #cc5A33
Frances, 9, #ff5A00
Fannie, 7, #ff5A00
Florence, 8, #ff5A00
Alberta, 7, #ff5A00
Hattie, 8, #ff5A00
Eva, 8, #ff5A00
Dora, 7, #ff5A00
Evelyn, 9, #ff5A00
Georgia, 8, #ff5A00
Grace, 8, #ff5A00
Mamie, 7, #ff5A00
Ella, 8, #ff5A00
Mabel, 7, #ff5A00
Virginia, 10, #ff5A00
Lena, 8, #ff5A00
Lula, 8, #ff5A00
Ollie, 8, #c15A3e
Beulah, 7, #ff5A00
Gertrude, 7, #ff5A00
Mae, 8, #ff5A00
Nellie, 8, #ff5A00
Sarah, 10, #ff5A00
Vera, 8, #ff5A00
Maggie, 8, #ff5A00
Viola, 7, #ff5A00
Bernice, 8, #fc5A03
Cora, 8, #ff5A00
Carrie, 8, #ff5A00
Mable, 7, #ff5A00
Laura, 9, #ff5A00
Lola, 8, #ff5A00
Lottie, 7, #ff5A00
Eunice, 7, #fe5A01
Inez, 7, #ff5A00
Julia, 8, #ff5A00
Esther, 7, #ff5A00
Margie, 8, #ff5A00
Nettie, 7, #ff5A00
Eula, 7, #ff5A00
Virgie, 7, #ff5A00
Daisy, 7, #ff5A00
Flora, 7, #ff5A00
Jewel, 8, #c05A3f
Nora, 7, #ff5A00
Agnes, 7, #ff5A00
Josephine, 8, #ff5A00
Essie, 7, #ff5A00
Effie, 7, #ff5A00
Geneva, 8, #ff5A00
Ola, 7, #ff5A00
Ora, 7, #fb5A04
Stella, 8, #ff5A00
Susie, 7, #ff5A00
Wilma, 8, #ff5A00
Addie, 7, #ff5A00
Iva, 7, #ff5A00
Lucy, 8, #ff5A00
Violet, 7, #ff5A00
Vivian, 8, #ff5A00
Ada, 7, #ff5A00
Allie, 7, #fc5A03
Della, 7, #ff5A00
Leona, 7, #ff5A00
Roberta, 7, #ff5A00
Nancy, 9, #ff5A00
Lela, 7, #ff5A00
Sadie, 7, #ff5A00
Ann, 8, #ff5A00
Catherine, 8, #ff5A00
Cleo, 7, #895A76
Etta, 7, #ff5A00
Rachel, 8, #ff5A00
Rosa, 7, #ff5A00
Blanche, 7, #ff5A00
Elnora, 7, #ff5A00
Erma, 8, #ff5A00
Alta, 7, #ff5A00
Christine, 8, #ff5A00
Gracie, 8, #ff5A00
Juanita, 9, #ff5A00
Katherine, 8, #ff5A00
Leola, 7, #ff5A00
Reba, 8, #ff5A00
Betty, 13, #ff5A00
Billie, 9, #bb5A44
Doris, 9, #fd5A02
Johnnie, 8, #695A96
Verna, 7, #fe5A01
Callie, 7, #ff5A00
Ellen, 8, #ff5A00
Faye, 7, #ff5A00
Josie, 7, #ff5A00
Kathryn, 8, #ff5A00
Katie, 8, #ff5A00
Lorene, 8, #ff5A00
Naomi, 8, #ff5A00
Norma, 8, #ff5A00
Frankie, 8, #9e5A61
Jennie, 7, #ff5A00
Marjorie, 8, #ff5A00
Winnie, 7, #ff5A00
Audrey, 8, #fe5A01
Cecil, 8, #0c5Af3
Francis, 7, #8f5A70
Kathleen, 8, #ff5A00
Nina, 8, #ff5A00
Odessa, 7, #ff5A00
Pearlie, 7, #ff5A00
Rose, 8, #ff5A00
Carolyn, 10, #ff5A00
Flossie, 7, #ff5A00
Lydia, 7, #ff5A00
Sylvia, 8, #ff5A00
Bonnie, 8, #fb5A04
Estella, 7, #ff5A00
Janie, 7, #ff5A00
Marguerite, 7, #ff5A00
Maxine, 8, #ff5A00
Anne, 7, #ff5A00
Connie, 8, #f45A0b
Fay, 7, #be5A41
Irma, 7, #ff5A00
Lee, 9, #315Ace
Patsy, 9, #ff5A00
Victoria, 8, #ff5A00
Amy, 9, #ff5A00
Cassie, 7, #ff5A00
Jane, 8, #ff5A00
Lilly, 7, #ff5A00
Lora, 7, #ff5A00
Rebecca, 9, #ff5A00
Savannah, 7, #ff5A00
Charlotte, 8, #ff5A00
Earnestine, 7, #ff5A00
Ernestine, 7, #ff5A00
Hannah, 8, #ff5A00
Ina, 7, #ff5A00
Lou, 7, #ff5A00
Tommie, 8, #605A9f
Wanda, 9, #ff5A00
Amelia, 7, #ff5A00
Ava, 8, #ff5A00
Bettie, 7, #ff5A00
Eleanor, 7, #ff5A00
Eloise, 7, #ff5A00
Jean, 8, #fe5A01
June, 7, #fc5A03
Lenora, 7, #ff5A00
Marion, 8, #645A9b
Melba, 7, #ff5A00
Rosetta, 7, #ff5A00
Willa, 7, #ff5A00
Caroline, 7, #ff5A00
Charlie, 8, #1f5Ae0
Cynthia, 9, #ff5A00
Eddie, 9, #205Adf
Freda, 7, #ff5A00
Freddie, 8, #3c5Ac3
Geraldine, 8, #ff5A00
Jo, 8, #ff5A00
Johnie, 7, #3e5Ac1
Lila, 7, #ff5A00
Lonnie, 8, #055Afa
Sally, 7, #ff5A00
Sophia, 7, #ff5A00
Theresa, 8, #ff5A00
Virgil, 7, #025Afd
Sue, 8, #ff5A00
Ruthie, 7, #ff5A00
Jimmie, 9, #3a5Ac5
Robbie, 7, #c65A39
Barbara, 11, #ff5A00
Claudia, 7, #ff5A00
Amanda, 9, #ff5A00
Bennie, 8, #3e5Ac1
Chloe, 8, #ff5A00
Donnie, 8, #1c5Ae3
Myra, 7, #ff5A00
Nadine, 7, #ff5A00
Patricia, 11, #ff5A00
Sara, 8, #ff5A00
Joyce, 9, #ff5A00
Marian, 7, #ff5A00
Emily, 9, #ff5A00
Imogene, 7, #ff5A00
Dixie, 7, #ff5A00
Loretta, 8, #ff5A00
Anita, 8, #ff5A00
Carmen, 7, #ff5A00
Charlene, 8, #ff5A00
Dorthy, 7, #ff5A00
Elaine, 7, #ff5A00
Iris, 7, #ff5A00
Janice, 8, #ff5A00
Laverne, 7, #f85A07
Linda, 12, #ff5A00
Madeline, 7, #ff5A00
Peggy, 9, #ff5A00
Shirley, 11, #fc5A03
Bobbie, 8, #df5A20
Olivia, 8, #ff5A00
Joe, 11, #0a5Af5
Donna, 9, #ff5A00
James, 30, #015Afe
Jeanette, 7, #ff5A00
Rosemary, 7, #ff5A00
Annette, 7, #ff5A00
Jamie, 8, #ca5A35
