name,num,color
Mary, 15, #fe5A01
Helen, 9, #ff5A00
Dorothy, 9, #ff5A00
Margaret, 10, #ff5A00
Frances, 8, #ff5A00
Ruth, 9, #ff5A00
Evelyn, 9, #fe5A01
Alice, 9, #ff5A00
Virginia, 9, #ff5A00
Elizabeth, 14, #fe5A01
Florence, 7, #ff5A00
Marie, 8, #ff5A00
Mildred, 7, #ff5A00
Rose, 8, #ff5A00
Hazel, 7, #ff5A00
Louise, 8, #ff5A00
Josephine, 8, #ff5A00
Lucille, 7, #ff5A00
Grace, 9, #ff5A00
Gladys, 7, #ff5A00
Edna, 7, #ff5A00
Eleanor, 8, #ff5A00
Marjorie, 8, #ff5A00
Bernice, 7, #ff5A00
Thelma, 7, #ff5A00
Edith, 8, #ff5A00
Doris, 8, #ff5A00
Irene, 8, #ff5A00
Lillian, 8, #ff5A00
Catherine, 9, #ff5A00
Ethel, 7, #ff5A00
Anna, 9, #ff5A00
Ann, 8, #ff5A00
Esther, 8, #ff5A00
Marion, 7, #c85A37
Katherine, 10, #ff5A00
Betty, 9, #ff5A00
Elsie, 7, #ff5A00
Mabel, 7, #ff5A00
Beatrice, 7, #ff5A00
Clara, 7, #ff5A00
Marian, 7, #ff5A00
Violet, 8, #ff5A00
Jean, 8, #e65A19
Laura, 11, #fe5A01
Jessie, 8, #805A7f
Lois, 8, #ff5A00
Marguerite, 7, #ff5A00
Pauline, 7, #ff5A00
Ruby, 8, #fe5A01
Emma, 9, #ff5A00
Eva, 8, #ff5A00
Genevieve, 7, #ff5A00
Sarah, 12, #fe5A01
Anita, 8, #ff5A00
Ida, 7, #ff5A00
Julia, 9, #fe5A01
Martha, 9, #fe5A01
Viola, 7, #ff5A00
Bertha, 7, #ff5A00
Charlotte, 8, #ff5A00
Pearl, 7, #ff5A00
Barbara, 12, #ff5A00
Juanita, 8, #ff5A00
Vera, 7, #ff5A00
Alma, 8, #fe5A01
Ellen, 8, #ff5A00
Kathleen, 10, #ff5A00
Kathryn, 9, #ff5A00
Lena, 7, #ff5A00
Maria, 13, #fd5A02
Agnes, 7, #ff5A00
Anne, 8, #ff5A00
Norma, 8, #ff5A00
Jennie, 7, #ff5A00
Patricia, 13, #fe5A01
Vivian, 8, #ff5A00
Carmen, 8, #fa5A05
Isabel, 8, #fd5A02
Nellie, 7, #ff5A00
Dolores, 8, #fe5A01
May, 7, #ff5A00
Ella, 8, #ff5A00
Emily, 12, #ff5A00
Geraldine, 8, #ff5A00
Ramona, 7, #ff5A00
Adeline, 7, #ff5A00
Annie, 7, #ff5A00
Claire, 8, #ff5A00
Jane, 8, #ff5A00
Lorraine, 8, #ff5A00
Madeline, 8, #ff5A00
Maxine, 7, #ff5A00
Georgia, 7, #ff5A00
Irma, 7, #ff5A00
Leona, 7, #ff5A00
Lucy, 8, #ff5A00
Sally, 8, #ff5A00
Angelina, 8, #ff5A00
Caroline, 8, #ff5A00
Inez, 7, #ff5A00
Roberta, 8, #ff5A00
Jeanne, 8, #ff5A00
Miriam, 7, #ff5A00
Phyllis, 8, #ff5A00
Rita, 8, #ff5A00
Theresa, 8, #ff5A00
Wilma, 7, #ff5A00
Amelia, 8, #ff5A00
June, 8, #fe5A01
Lola, 7, #ff5A00
Nina, 8, #ff5A00
Stella, 8, #ff5A00
Ada, 7, #ff5A00
Carrie, 8, #ff5A00
Cecelia, 7, #ff5A00
Gloria, 9, #ff5A00
Isabelle, 7, #ff5A00
Sadie, 7, #ff5A00
Angela, 10, #fe5A01
Constance, 7, #ff5A00
Eileen, 8, #ff5A00
Jeanette, 8, #fe5A01
Loretta, 7, #ff5A00
Lupe, 7, #da5A25
Rosalie, 7, #ff5A00
Rosie, 7, #ff5A00
Teresa, 9, #ff5A00
Victoria, 10, #ff5A00
Audrey, 8, #ff5A00
Carol, 10, #fe5A01
Carolyn, 9, #ff5A00
Hilda, 7, #ff5A00
Marcella, 7, #ff5A00
Olga, 7, #ff5A00
Sylvia, 8, #ff5A00
Yvonne, 8, #ff5A00
Amy, 10, #ff5A00
Daisy, 8, #fd5A02
Elvira, 7, #ff5A00
Iris, 7, #ff5A00
Janet, 9, #fe5A01
Jeannette, 7, #ff5A00
Joyce, 8, #ff5A00
Margarita, 8, #ff5A00
Shirley, 9, #fe5A01
Aileen, 7, #ff5A00
Angie, 8, #ff5A00
Beverly, 8, #fe5A01
Cecilia, 8, #ff5A00
Consuelo, 7, #ff5A00
Dora, 7, #ff5A00
Eunice, 7, #ff5A00
Joan, 8, #f65A09
Lee, 8, #375Ac8
Nora, 7, #ff5A00
Rachel, 10, #fe5A01
Rosa, 8, #fe5A01
Sara, 9, #fe5A01
Willie, 7, #105Aef
Adele, 7, #ff5A00
Adrienne, 7, #ff5A00
Antonia, 7, #fe5A01
Billie, 7, #dc5A23
Celia, 7, #ff5A00
Elaine, 8, #ff5A00
Francis, 8, #285Ad7
Isabella, 10, #ff5A00
Jacqueline, 10, #fe5A01
Katharine, 7, #ff5A00
Katie, 8, #ff5A00
Lila, 7, #ff5A00
Lydia, 8, #ff5A00
Margie, 7, #ff5A00
Mercedes, 7, #ff5A00
Peggy, 8, #ff5A00
Rosemary, 8, #ff5A00
Sophia, 10, #ff5A00
Sue, 7, #fe5A01
Nadine, 7, #ff5A00
Annette, 8, #ff5A00
Antoinette, 7, #ff5A00
Nancy, 11, #fe5A01
Elena, 8, #ff5A00
Cora, 7, #ff5A00
Eloise, 7, #ff5A00
Naomi, 8, #ff5A00
Wanda, 7, #ff5A00
Christine, 10, #ff5A00
Gwendolyn, 7, #ff5A00
Kay, 7, #f45A0b
Bonnie, 8, #ff5A00
Donna, 10, #ff5A00
Natalie, 10, #ff5A00
Susan, 12, #fe5A01
Juliet, 7, #ff5A00
Leila, 7, #ff5A00
Paula, 8, #ff5A00
Regina, 8, #ff5A00
Sophie, 8, #ff5A00
Elisabeth, 7, #ff5A00
Annabelle, 7, #ff5A00
Claudia, 8, #fd5A02
Juana, 7, #fe5A01
Olivia, 9, #ff5A00
Veronica, 9, #fe5A01
Ivy, 7, #ff5A00
Mona, 7, #ff5A00
Rebecca, 10, #ff5A00
Aurora, 7, #ff5A00
Beth, 7, #ff5A00
Janice, 8, #ff5A00
Juliette, 7, #ff5A00
Linda, 13, #fe5A01
Marianne, 7, #ff5A00
Monica, 9, #fe5A01
Catalina, 7, #ff5A00
Christina, 11, #fe5A01
Corinne, 7, #ff5A00
Lily, 8, #ff5A00
Lorna, 7, #ff5A00
Madeleine, 7, #ff5A00
Molly, 8, #ff5A00
Priscilla, 8, #ff5A00
Arlene, 8, #ff5A00
Guadalupe, 8, #d55A2a
Leah, 8, #ff5A00
Joy, 8, #fe5A01
Elsa, 7, #ff5A00
Gretchen, 7, #ff5A00
Lilly, 7, #ff5A00
Susie, 7, #ff5A00
Alicia, 9, #fe5A01
Connie, 8, #ff5A00
Hope, 7, #ff5A00
Johanna, 7, #ff5A00
Luz, 7, #fd5A02
Madelyn, 7, #ff5A00
Amanda, 11, #fe5A01
Bernadette, 7, #ff5A00
Cruz, 7, #235Adc
Esperanza, 7, #ff5A00
Gene, 7, #085Af7
Lorena, 8, #fe5A01
Myra, 7, #ff5A00
Robin, 9, #d65A29
Rosemarie, 7, #ff5A00
Valerie, 9, #ff5A00
Phoebe, 7, #ff5A00
Estella, 7, #ff5A00
Josie, 7, #ff5A00
Lora, 7, #ff5A00
Cynthia, 11, #fe5A01
Yolanda, 8, #ff5A00
Delores, 7, #ff5A00
Dena, 7, #ff5A00
Gail, 8, #f95A06
Hannah, 9, #ff5A00
Lucia, 7, #ff5A00
Marcia, 7, #ff5A00
Georgina, 7, #ff5A00
Emilia, 7, #ff5A00
Betsy, 7, #ff5A00
Diane, 9, #ff5A00
Andrea, 10, #fd5A02
Evangeline, 7, #ff5A00
Julie, 10, #fe5A01
Suzanne, 8, #ff5A00
Camille, 7, #ff5A00
Delia, 7, #ff5A00
Frankie, 7, #425Abd
Helena, 7, #ff5A00
Jerry, 9, #065Af9
Judith, 9, #ff5A00
Marilyn, 8, #ff5A00
Maryann, 7, #ff5A00
Carolina, 8, #fe5A01
Faith, 8, #ff5A00
Sheila, 8, #ff5A00
Tina, 9, #ff5A00
Josefina, 7, #ff5A00
Dina, 7, #ff5A00
Francine, 7, #ff5A00
Kate, 7, #ff5A00
Pat, 7, #ad5A52
Aimee, 7, #ff5A00
Celeste, 8, #ff5A00
Magdalena, 7, #ff5A00
Mariana, 7, #ff5A00
Marina, 8, #ff5A00
Elise, 7, #ff5A00
Janis, 7, #ff5A00
Laurel, 7, #ff5A00
Leslie, 10, #dd5A22
Meredith, 7, #fe5A01
Jenny, 8, #ff5A00
Judy, 8, #ff5A00
Ana, 8, #fd5A02
Daphne, 7, #ff5A00
Joanne, 8, #ff5A00
Lynn, 8, #d95A26
Nathalie, 7, #ff5A00
Carole, 7, #ff5A00
Diana, 10, #fe5A01
Stephanie, 12, #fe5A01
Bobbie, 7, #df5A20
Charlene, 8, #ff5A00
Jacquelyn, 7, #ff5A00
Janette, 7, #ff5A00
Jesus, 11, #035Afc
Lea, 7, #ff5A00
Renee, 8, #fb5A04
Dawn, 8, #ff5A00
Myrna, 7, #ff5A00
Toni, 8, #fe5A01
Felicia, 7, #ff5A00
Patsy, 7, #ff5A00
Elisa, 7, #ff5A00
Frank, 11, #015Afe
Susana, 7, #fe5A01
Sydney, 8, #f65A09
Colleen, 8, #ff5A00
Luisa, 7, #ff5A00
Beatriz, 7, #ff5A00
Terry, 9, #4e5Ab1
Sonia, 8, #fe5A01
Ava, 8, #ff5A00
Belen, 7, #fe5A01
James, 22, #015Afe
Crystal, 9, #fe5A01
Jo, 8, #ff5A00
Joanna, 8, #fe5A01
Lidia, 7, #ff5A00
Maureen, 8, #ff5A00
Natalia, 8, #ff5A00
Sandra, 11, #fe5A01
Zoe, 8, #ff5A00
Jackie, 8, #be5A41
Clarissa, 7, #ff5A00
Doreen, 7, #ff5A00
Gayle, 7, #fc5A03
Jan, 7, #b85A47
Joann, 8, #ff5A00
Sharon, 10, #ff5A00
Gina, 8, #ff5A00
John, 24, #015Afe
Raquel, 8, #fe5A01
Rosario, 7, #e25A1d
Lilia, 7, #ff5A00
Maggie, 7, #ff5A00
Penelope, 7, #ff5A00
Robert, 26, #015Afe
Santos, 7, #065Af9
Valentina, 7, #ff5A00
Alexandria, 8, #ff5A00
Darlene, 8, #ff5A00
Justine, 7, #f45A0b
Patti, 7, #ff5A00
Sofia, 9, #ff5A00
Patty, 7, #ff5A00
Camilla, 7, #ff5A00
Angel, 11, #1c5Ae3
Becky, 7, #ff5A00
Dale, 8, #125Aed
Jeannie, 7, #ff5A00
Pamela, 10, #ff5A00
Silvia, 7, #ff5A00
Antonio, 9, #025Afd
Bella, 7, #ff5A00
Cathleen, 7, #ff5A00
Estela, 7, #ff5A00
Ginger, 7, #ff5A00
Holly, 8, #ff5A00
Paulina, 7, #ff5A00
Denise, 10, #fe5A01
Dana, 8, #c85A37
Janie, 7, #ff5A00
Lyla, 7, #ff5A00
Therese, 7, #ff5A00
Cecil, 7, #015Afe
Gracie, 7, #ff5A00
Vickie, 7, #ff5A00
George, 11, #015Afe
Noel, 7, #365Ac9
Abigail, 9, #ff5A00
Marta, 7, #ff5A00
William, 18, #015Afe
Blanca, 7, #fe5A01
