name,num,color
Mary, 22, #ff5A00
Helen, 11, #ff5A00
Dorothy, 11, #ff5A00
Ruth, 10, #ff5A00
Margaret, 12, #ff5A00
Frances, 9, #ff5A00
Alice, 9, #ff5A00
Elizabeth, 15, #ff5A00
Anna, 11, #ff5A00
Mildred, 8, #ff5A00
Rose, 9, #ff5A00
Florence, 8, #ff5A00
Thelma, 8, #ff5A00
Evelyn, 10, #ff5A00
Virginia, 10, #ff5A00
Marie, 9, #ff5A00
Edna, 8, #ff5A00
Gladys, 8, #ff5A00
Hazel, 8, #ff5A00
Edith, 8, #ff5A00
Elsie, 8, #ff5A00
Esther, 8, #ff5A00
Clara, 8, #ff5A00
Grace, 10, #ff5A00
Josephine, 9, #ff5A00
Katherine, 11, #ff5A00
Lillian, 9, #ff5A00
Ann, 9, #ff5A00
Ethel, 8, #ff5A00
Pauline, 8, #ff5A00
Emma, 11, #ff5A00
Louise, 8, #ff5A00
Eva, 8, #ff5A00
Lucille, 8, #ff5A00
Maria, 10, #ff5A00
Marjorie, 8, #ff5A00
Irene, 8, #ff5A00
Martha, 9, #ff5A00
Ruby, 8, #ff5A00
Catherine, 10, #ff5A00
Julia, 9, #ff5A00
Viola, 8, #ff5A00
Bernice, 8, #ff5A00
Laura, 11, #ff5A00
Vera, 8, #ff5A00
Bertha, 8, #ff5A00
Genevieve, 8, #ff5A00
Nellie, 7, #ff5A00
Pearl, 7, #ff5A00
Beatrice, 8, #ff5A00
Doris, 8, #ff5A00
Lucy, 8, #ff5A00
Agnes, 7, #ff5A00
Vivian, 8, #ff5A00
Ida, 7, #ff5A00
Jennie, 8, #ff5A00
Alma, 7, #ff5A00
Eleanor, 8, #ff5A00
Emily, 12, #ff5A00
Lois, 8, #ff5A00
Marian, 7, #ff5A00
Velma, 7, #ff5A00
Ella, 9, #ff5A00
Jean, 8, #fc5A03
Kathryn, 10, #ff5A00
Maxine, 8, #ff5A00
Sylvia, 8, #ff5A00
Theresa, 9, #ff5A00
Amelia, 8, #ff5A00
Charlotte, 9, #ff5A00
Sarah, 14, #ff5A00
Violet, 8, #ff5A00
Anne, 8, #ff5A00
Betty, 12, #ff5A00
Dora, 7, #ff5A00
Georgia, 8, #ff5A00
Lydia, 8, #ff5A00
Verna, 7, #ff5A00
Ellen, 8, #ff5A00
Jane, 8, #ff5A00
Jessie, 8, #a65A59
Leona, 8, #ff5A00
Marion, 8, #995A66
Sara, 10, #ff5A00
Stella, 8, #ff5A00
Amy, 11, #ff5A00
Barbara, 13, #ff5A00
Carmen, 8, #fe5A01
Caroline, 8, #ff5A00
Cora, 8, #ff5A00
Della, 7, #ff5A00
Lena, 7, #ff5A00
Patricia, 14, #ff5A00
Wilma, 8, #ff5A00
