name,num,color
Mary, 20, #ff5A00
Margaret, 12, #ff5A00
Helen, 10, #ff5A00
Elizabeth, 15, #ff5A00
Anna, 10, #ff5A00
Dorothy, 11, #ff5A00
Alice, 9, #ff5A00
Catherine, 10, #ff5A00
Marie, 9, #ff5A00
Mildred, 8, #ff5A00
Beatrice, 8, #ff5A00
Elsie, 8, #ff5A00
Ethel, 8, #ff5A00
Clara, 8, #ff5A00
Ida, 7, #ff5A00
Edna, 8, #ff5A00
Thelma, 8, #ff5A00
Eleanor, 8, #ff5A00
Irene, 8, #ff5A00
Lillian, 8, #ff5A00
Pauline, 8, #ff5A00
Pearl, 7, #ff5A00
Ruth, 10, #ff5A00
Florence, 8, #ff5A00
Agnes, 7, #ff5A00
Ann, 9, #ff5A00
Edith, 8, #ff5A00
Emma, 9, #ff5A00
Frances, 9, #ff5A00
Gertrude, 7, #ff5A00
Gladys, 8, #ff5A00
Virginia, 9, #ff5A00
Evelyn, 8, #ff5A00
Grace, 9, #ff5A00
Louise, 8, #ff5A00
Martha, 8, #ff5A00
Rose, 8, #ff5A00
Marian, 8, #ff5A00
Hazel, 7, #ff5A00
Esther, 8, #ff5A00
Josephine, 8, #ff5A00
Sara, 9, #ff5A00
Sarah, 12, #ff5A00
Theresa, 9, #ff5A00
Anne, 9, #ff5A00
Julia, 9, #ff5A00
Betty, 10, #ff5A00
Jane, 9, #ff5A00
Katherine, 9, #ff5A00
Marion, 7, #f15A0e
Marjorie, 8, #ff5A00
Ellen, 8, #ff5A00
Laura, 10, #ff5A00
Madeline, 8, #ff5A00
Ella, 8, #ff5A00
Rachel, 9, #ff5A00
Jean, 9, #ff5A00
Doris, 9, #ff5A00
Kathryn, 9, #ff5A00
Charlotte, 9, #ff5A00
Emily, 10, #ff5A00
Nancy, 11, #ff5A00
Victoria, 9, #ff5A00
Audrey, 8, #ff5A00
Veronica, 8, #ff5A00
Carrie, 8, #ff5A00
Sylvia, 7, #ff5A00
Janet, 9, #ff5A00
Kathleen, 10, #ff5A00
Rebecca, 10, #ff5A00
Rita, 7, #ff5A00
Barbara, 13, #ff5A00
Wanda, 8, #ff5A00
Loretta, 7, #ff5A00
Phyllis, 8, #ff5A00
Lydia, 7, #ff5A00
Regina, 8, #ff5A00
Jeanette, 7, #ff5A00
Sophia, 8, #ff5A00
Jeanne, 7, #ff5A00
June, 8, #ff5A00
Roberta, 7, #ff5A00
Carolyn, 9, #ff5A00
Claire, 8, #ff5A00
Hannah, 9, #ff5A00
Anita, 7, #ff5A00
Eileen, 8, #ff5A00
Shirley, 9, #ff5A00
Geraldine, 8, #ff5A00
Madelyn, 7, #ff5A00
Patricia, 13, #ff5A00
Norma, 8, #ff5A00
Gloria, 8, #ff5A00
Constance, 8, #ff5A00
Elaine, 8, #ff5A00
Caroline, 8, #ff5A00
Dolores, 8, #ff5A00
Isabella, 8, #ff5A00
Lorraine, 8, #ff5A00
Peggy, 8, #ff5A00
