name,num,color
Mary, 18, #ff5A00
Annie, 9, #ff5A00
Ethel, 8, #ff5A00
Willie, 12, #2a5Ad5
Louise, 8, #ff5A00
Lillie, 8, #ff5A00
Ruby, 8, #ff5A00
Thelma, 8, #ff5A00
Gladys, 8, #ff5A00
Ruth, 8, #ff5A00
Bessie, 7, #ff5A00
Marie, 8, #ff5A00
Alice, 8, #ff5A00
Margaret, 10, #ff5A00
Rosa, 8, #ff5A00
Edna, 8, #ff5A00
Beatrice, 7, #ff5A00
Carrie, 8, #ff5A00
Elizabeth, 14, #ff5A00
Dorothy, 10, #ff5A00
Ida, 7, #ff5A00
Alma, 7, #ff5A00
Essie, 7, #ff5A00
Mildred, 8, #ff5A00
Myrtle, 7, #ff5A00
Minnie, 7, #ff5A00
Maggie, 7, #ff5A00
Mattie, 7, #ff5A00
Helen, 9, #ff5A00
Martha, 9, #ff5A00
Sarah, 13, #ff5A00
Mae, 7, #ff5A00
Lucille, 7, #ff5A00
Cora, 7, #ff5A00
Emma, 10, #ff5A00
Eva, 8, #ff5A00
Evelyn, 9, #ff5A00
Lillian, 8, #ff5A00
Lula, 7, #ff5A00
Mamie, 7, #ff5A00
Irene, 8, #ff5A00
Josephine, 8, #ff5A00
Pearl, 7, #ff5A00
Viola, 7, #ff5A00
Bertha, 7, #ff5A00
Ella, 8, #ff5A00
Daisy, 8, #ff5A00
Anna, 9, #ff5A00
Florence, 7, #ff5A00
Grace, 9, #ff5A00
Jessie, 8, #7a5A85
Catherine, 9, #ff5A00
Clara, 8, #ff5A00
Frances, 9, #ff5A00
Hattie, 7, #ff5A00
Susie, 7, #ff5A00
Virginia, 9, #ff5A00
Alberta, 7, #ff5A00
Nellie, 7, #ff5A00
Rose, 8, #ff5A00
Vera, 7, #ff5A00
Bernice, 8, #fd5A02
Juanita, 8, #ff5A00
Laura, 10, #ff5A00
Lois, 8, #ff5A00
Inez, 7, #ff5A00
Julia, 9, #ff5A00
Agnes, 7, #ff5A00
Lucy, 8, #ff5A00
Edith, 8, #ff5A00
Ada, 7, #ff5A00
Christine, 9, #ff5A00
Hazel, 8, #fe5A01
Esther, 8, #ff5A00
Katherine, 10, #ff5A00
Lena, 7, #ff5A00
Sadie, 7, #ff5A00
Ellen, 8, #ff5A00
Katie, 8, #ff5A00
Marion, 8, #8e5A71
Pauline, 7, #ff5A00
Georgia, 7, #ff5A00
Maria, 9, #ff5A00
Janie, 7, #ff5A00
Jennie, 7, #ff5A00
Nancy, 10, #ff5A00
Rebecca, 11, #ff5A00
Violet, 7, #ff5A00
Betty, 10, #ff5A00
Doris, 8, #ff5A00
Eunice, 7, #ff5A00
Theresa, 8, #ff5A00
Vivian, 8, #ff5A00
Dora, 7, #ff5A00
Eleanor, 7, #ff5A00
Kathleen, 9, #ff5A00
Lola, 7, #ff5A00
Charlotte, 8, #ff5A00
Nora, 7, #ff5A00
Rachel, 10, #ff5A00
Allie, 7, #ff5A00
Callie, 7, #ff5A00
Carmen, 8, #fe5A01
Christina, 11, #ff5A00
Elsie, 7, #ff5A00
Emily, 12, #ff5A00
Geneva, 7, #ff5A00
Hilda, 7, #ff5A00
Isabel, 8, #ff5A00
Naomi, 8, #ff5A00
Roberta, 7, #ff5A00
Victoria, 11, #ff5A00
Ann, 8, #ff5A00
Anne, 8, #ff5A00
Ernestine, 7, #ff5A00
Freddie, 8, #145Aeb
Gracie, 7, #ff5A00
Stella, 8, #ff5A00
Amanda, 13, #ff5A00
Amelia, 8, #ff5A00
Bonnie, 8, #ff5A00
Eloise, 7, #ff5A00
Leila, 7, #ff5A00
Lily, 8, #ff5A00
Marjorie, 8, #ff5A00
Maxine, 7, #ff5A00
Sally, 7, #ff5A00
Sara, 9, #ff5A00
Sue, 7, #ff5A00
Audrey, 8, #ff5A00
Caroline, 8, #ff5A00
Carolyn, 9, #ff5A00
Cassie, 7, #ff5A00
Claudia, 8, #ff5A00
Francis, 8, #2f5Ad0
Geraldine, 8, #ff5A00
Jane, 8, #ff5A00
Jean, 8, #af5A50
Joan, 8, #f45A0b
Kathryn, 9, #ff5A00
Patricia, 13, #ff5A00
Johnnie, 8, #455Aba
Sylvia, 8, #ff5A00
Miriam, 7, #ff5A00
Wilma, 7, #ff5A00
Clyde, 8, #065Af9
Constance, 7, #ff5A00
Hannah, 10, #ff5A00
Mercedes, 7, #ff5A00
Connie, 8, #fb5A04
Genevieve, 7, #ff5A00
Lilly, 7, #ff5A00
Nina, 8, #ff5A00
Shirley, 9, #ff5A00
Barbara, 12, #ff5A00
Peggy, 8, #ff5A00
Iris, 7, #ff5A00
Marian, 7, #ff5A00
Lila, 7, #ff5A00
Loretta, 7, #ff5A00
Lorraine, 7, #ff5A00
Madeline, 8, #ff5A00
Frankie, 7, #675A98
Ira, 7, #105Aef
Julie, 9, #ff5A00
Susan, 10, #ff5A00
Eddie, 9, #0d5Af2
Jeanette, 8, #ff5A00
Kate, 7, #ff5A00
Lee, 8, #335Acc
Margie, 7, #ff5A00
Phyllis, 8, #ff5A00
Olivia, 10, #ff5A00
Lydia, 8, #ff5A00
Angelina, 8, #ff5A00
Joyce, 9, #ff5A00
Myra, 7, #ff5A00
Norma, 8, #ff5A00
Dolores, 7, #ff5A00
John, 26, #015Afe
Teresa, 9, #ff5A00
Angela, 11, #ff5A00
Elaine, 8, #ff5A00
Elise, 7, #ff5A00
Regina, 8, #ff5A00
June, 7, #ff5A00
Isabelle, 7, #ff5A00
Billie, 7, #cd5A32
Donnie, 7, #125Aed
