name,num,color
Mary, 23, #fe5A01
Annie, 11, #fe5A01
Mattie, 9, #ff5A00
Ruby, 9, #fe5A01
Willie, 17, #3a5Ac5
Louise, 9, #fe5A01
Lillie, 8, #ff5A00
Ethel, 8, #ff5A00
Bessie, 8, #ff5A00
Rosa, 8, #ff5A00
Ruth, 9, #ff5A00
Elizabeth, 12, #ff5A00
Emma, 10, #ff5A00
Marie, 8, #ff5A00
Minnie, 8, #ff5A00
Carrie, 8, #ff5A00
Hattie, 8, #ff5A00
Fannie, 8, #ff5A00
Sarah, 11, #ff5A00
Mamie, 8, #ff5A00
Alice, 9, #ff5A00
Frances, 9, #fe5A01
Mildred, 9, #ff5A00
Thelma, 8, #fe5A01
Bertha, 8, #ff5A00
Gladys, 8, #ff5A00
Clara, 8, #ff5A00
Martha, 10, #ff5A00
Susie, 8, #ff5A00
Jessie, 9, #875A78
Nellie, 8, #ff5A00
Essie, 8, #fe5A01
Lillian, 8, #ff5A00
Lucille, 8, #ff5A00
Anna, 9, #ff5A00
Eva, 8, #ff5A00
Margaret, 10, #ff5A00
Ida, 8, #ff5A00
Lula, 8, #ff5A00
Pearl, 7, #ff5A00
Ella, 8, #ff5A00
Evelyn, 9, #ff5A00
Maggie, 8, #ff5A00
Daisy, 8, #ff5A00
Julia, 9, #ff5A00
Lizzie, 8, #ff5A00
Cora, 8, #ff5A00
Gertrude, 7, #ff5A00
Dorothy, 11, #ff5A00
Lucile, 7, #ff5A00
Edna, 8, #ff5A00
Irene, 8, #ff5A00
Helen, 9, #ff5A00
Beatrice, 8, #ff5A00
Pauline, 8, #ff5A00
Sallie, 7, #ff5A00
Lois, 8, #fe5A01
Viola, 7, #ff5A00
Georgia, 8, #ff5A00
Laura, 9, #ff5A00
Katie, 8, #ff5A00
Grace, 8, #ff5A00
Lucy, 8, #ff5A00
Mae, 8, #ff5A00
Alma, 8, #ff5A00
Ola, 7, #ff5A00
Inez, 7, #ff5A00
Myrtle, 7, #ff5A00
Josephine, 8, #ff5A00
Eula, 7, #fe5A01
Eunice, 7, #fc5A03
Florence, 7, #fe5A01
Sara, 9, #ff5A00
Virginia, 9, #ff5A00
Alberta, 7, #ff5A00
Johnnie, 9, #695A96
Estelle, 7, #ff5A00
Hazel, 8, #fe5A01
Janie, 8, #ff5A00
Catherine, 9, #ff5A00
Sadie, 7, #ff5A00
Beulah, 7, #ff5A00
Nettie, 7, #ff5A00
Addie, 7, #ff5A00
Agnes, 7, #ff5A00
Rose, 8, #ff5A00
Rosie, 7, #ff5A00
Flora, 7, #ff5A00
Leola, 7, #ff5A00
Mabel, 7, #ff5A00
Vera, 8, #ff5A00
Lottie, 7, #ff5A00
Effie, 7, #ff5A00
Edith, 8, #ff5A00
Lena, 7, #ff5A00
Lola, 7, #ff5A00
Dora, 7, #ff5A00
Gussie, 7, #fd5A02
Nora, 7, #ff5A00
Rebecca, 9, #ff5A00
Estella, 7, #ff5A00
Betty, 12, #fe5A01
Elsie, 7, #ff5A00
Katherine, 9, #ff5A00
Ollie, 7, #c75A38
Ora, 7, #ff5A00
Blanche, 7, #ff5A00
Jennie, 7, #ff5A00
Mable, 7, #ff5A00
Ada, 7, #ff5A00
Bernice, 8, #f85A07
Cleo, 7, #c55A3a
Ann, 8, #ff5A00
Doris, 9, #fd5A02
Leila, 7, #ff5A00
Geneva, 8, #ff5A00
Nina, 7, #ff5A00
Odessa, 7, #ff5A00
Christine, 8, #ff5A00
Jewell, 7, #e35A1c
Nancy, 9, #ff5A00
Della, 7, #ff5A00
Kathleen, 8, #ff5A00
Leona, 7, #ff5A00
Callie, 7, #ff5A00
Lessie, 7, #fe5A01
Mollie, 7, #ff5A00
Jewel, 7, #eb5A14
Josie, 7, #fe5A01
Jimmie, 8, #3f5Ac0
Myrtice, 7, #ff5A00
Rachel, 9, #ff5A00
Dollie, 7, #ff5A00
Eloise, 7, #ff5A00
Kate, 7, #ff5A00
Stella, 7, #ff5A00
Henrietta, 7, #ff5A00
Nell, 7, #ff5A00
Velma, 7, #ff5A00
Eleanor, 8, #ff5A00
Esther, 7, #ff5A00
Marion, 8, #685A97
Emily, 10, #ff5A00
Ellen, 8, #ff5A00
Pearlie, 7, #fe5A01
Allie, 7, #fc5A03
Eddie, 9, #1a5Ae5
Jannie, 7, #ff5A00
Sally, 7, #ff5A00
Claudia, 7, #ff5A00
Reba, 7, #ff5A00
Sue, 7, #ff5A00
Victoria, 9, #ff5A00
Winnie, 7, #ff5A00
Hannah, 9, #ff5A00
Lila, 7, #ff5A00
Amy, 9, #ff5A00
Charlie, 10, #1a5Ae5
Corine, 7, #ff5A00
Juanita, 8, #ff5A00
Opal, 7, #ff5A00
Roberta, 7, #ff5A00
Vivian, 8, #ff5A00
Carolyn, 10, #ff5A00
Frankie, 8, #9c5A63
Anne, 8, #ff5A00
Marjorie, 8, #ff5A00
Bonnie, 8, #f35A0c
Hilda, 7, #ff5A00
Jane, 8, #ff5A00
Naomi, 8, #ff5A00
Olivia, 9, #ff5A00
Sylvia, 8, #ff5A00
Amelia, 8, #ff5A00
Lorene, 7, #ff5A00
Tommie, 8, #555Aaa
Audrey, 8, #ff5A00
Charlotte, 8, #ff5A00
Francis, 7, #555Aaa
Margie, 8, #ff5A00
Barbara, 11, #ff5A00
Billie, 7, #b65A49
Clifford, 8, #0b5Af4
Clyde, 8, #185Ae7
Connie, 8, #f95A06
Ernestine, 7, #ff5A00
Geraldine, 8, #ff5A00
Gracie, 7, #ff5A00
Jean, 8, #f75A08
Jeanette, 8, #ff5A00
Mandy, 7, #ff5A00
Wilma, 7, #ff5A00
Amanda, 10, #ff5A00
Cassie, 7, #ff5A00
Claire, 7, #ff5A00
Eliza, 7, #ff5A00
Irma, 7, #ff5A00
Marguerite, 7, #ff5A00
Maxine, 7, #ff5A00
Patricia, 11, #ff5A00
Susan, 9, #ff5A00
Ira, 7, #2a5Ad5
Isabelle, 7, #ff5A00
Jeannette, 7, #ff5A00
Kathryn, 8, #ff5A00
Lee, 8, #2d5Ad2
Theresa, 8, #ff5A00
Violet, 7, #ff5A00
Bennie, 8, #245Adb
Caroline, 8, #ff5A00
Cecil, 8, #085Af7
Johnie, 7, #345Acb
Lilly, 7, #ff5A00
Miriam, 7, #ff5A00
Myra, 7, #ff5A00
Savannah, 8, #ff5A00
Sophie, 7, #ff5A00
George, 12, #025Afd
John, 22, #015Afe
Lily, 7, #ff5A00
Marian, 7, #ff5A00
Norma, 7, #ff5A00
Rita, 7, #ff5A00
Ruthie, 7, #ff5A00
Curtis, 8, #025Afd
Donnie, 8, #1c5Ae3
Elmer, 7, #045Afb
James, 30, #015Afe
