name,num,color
Mary, 21, #ff5A00
Dorothy, 12, #ff5A00
Helen, 12, #ff5A00
Margaret, 12, #ff5A00
Ruth, 11, #ff5A00
Gladys, 8, #ff5A00
Alice, 10, #ff5A00
Mildred, 8, #ff5A00
Thelma, 8, #ff5A00
Edith, 8, #ff5A00
Elizabeth, 14, #ff5A00
Evelyn, 10, #ff5A00
Florence, 8, #ff5A00
Frances, 9, #ff5A00
Clara, 8, #ff5A00
Hazel, 8, #ff5A00
Marie, 9, #ff5A00
Grace, 10, #ff5A00
Irene, 8, #ff5A00
Vera, 8, #ff5A00
Bernice, 8, #ff5A00
Edna, 8, #ff5A00
Esther, 8, #ff5A00
Pauline, 8, #ff5A00
Rose, 9, #ff5A00
Anna, 11, #ff5A00
Ethel, 8, #ff5A00
Ida, 8, #ff5A00
Lillian, 9, #ff5A00
Lola, 8, #ff5A00
Sarah, 13, #ff5A00
Virginia, 10, #ff5A00
Ellen, 8, #ff5A00
Eva, 8, #ff5A00
Fern, 8, #ff5A00
Geraldine, 8, #ff5A00
Lois, 10, #ff5A00
Ruby, 9, #ff5A00
Violet, 8, #ff5A00
Betty, 13, #ff5A00
Emma, 11, #ff5A00
Laura, 11, #ff5A00
Louise, 8, #ff5A00
Lucille, 8, #ff5A00
Lucy, 8, #ff5A00
Marjorie, 9, #ff5A00
Martha, 8, #ff5A00
Eleanor, 8, #ff5A00
Jessie, 8, #db5A24
Josephine, 8, #ff5A00
Katherine, 10, #ff5A00
Maxine, 8, #ff5A00
Georgia, 8, #ff5A00
Jean, 9, #fe5A01
Leona, 8, #ff5A00
Ann, 9, #ff5A00
Charlotte, 9, #ff5A00
Julia, 9, #ff5A00
Wilma, 8, #ff5A00
Catherine, 9, #ff5A00
Doris, 9, #ff5A00
Patricia, 13, #ff5A00
Vivian, 8, #ff5A00
Dolores, 8, #ff5A00
June, 9, #ff5A00
Lydia, 8, #ff5A00
Rachel, 10, #ff5A00
Wanda, 8, #ff5A00
Elsie, 8, #ff5A00
Ella, 9, #ff5A00
Jane, 8, #ff5A00
Juanita, 8, #ff5A00
Kathryn, 10, #ff5A00
Phyllis, 9, #ff5A00
Anne, 8, #ff5A00
Leah, 8, #ff5A00
Marion, 8, #745A8b
Naomi, 8, #ff5A00
Verna, 8, #ff5A00
Amy, 11, #ff5A00
