name,num,color
Mary, 23, #fe5A01
Anna, 11, #ff5A00
Elizabeth, 12, #fe5A01
Margaret, 11, #ff5A00
Edna, 9, #ff5A00
Helen, 10, #ff5A00
Ruth, 10, #ff5A00
Dorothy, 11, #ff5A00
Hazel, 8, #fd5A02
Ruby, 9, #fc5A03
Gladys, 8, #ff5A00
Ethel, 8, #ff5A00
Martha, 10, #ff5A00
Thelma, 8, #ff5A00
Virginia, 10, #ff5A00
Bessie, 8, #ff5A00
Lillian, 8, #fe5A01
Myrtle, 8, #ff5A00
Grace, 8, #fe5A01
Bertha, 8, #ff5A00
Lucille, 8, #ff5A00
Mildred, 9, #ff5A00
Marie, 8, #ff5A00
Nellie, 8, #ff5A00
Clara, 8, #ff5A00
Alma, 8, #ff5A00
Louise, 8, #ff5A00
Emma, 9, #fe5A01
Pearl, 7, #db5A24
Evelyn, 9, #ff5A00
Frances, 9, #ff5A00
Edith, 8, #ff5A00
Stella, 8, #ff5A00
Minnie, 8, #ff5A00
Ida, 8, #ff5A00
Catherine, 8, #ff5A00
Sarah, 10, #fe5A01
Mabel, 7, #ff5A00
Lucy, 8, #ff5A00
Alice, 8, #ff5A00
Florence, 7, #ff5A00
Eva, 8, #ff5A00
Laura, 9, #ff5A00
Flora, 7, #ff5A00
Georgia, 8, #ff5A00
Mattie, 8, #ff5A00
Gertrude, 7, #ff5A00
Mae, 7, #ff5A00
Lula, 7, #ff5A00
Annie, 8, #ff5A00
Irene, 8, #ff5A00
Elsie, 8, #ff5A00
Beatrice, 8, #ff5A00
Pauline, 8, #ff5A00
Cora, 8, #ff5A00
Nannie, 7, #ff5A00
Rose, 8, #ff5A00
Ella, 8, #fe5A01
Nancy, 10, #ff5A00
Dora, 7, #ff5A00
Opal, 8, #fe5A01
Beulah, 8, #ff5A00
Viola, 7, #ff5A00
Julia, 8, #ff5A00
Lillie, 8, #ff5A00
Maggie, 7, #fe5A01
Della, 7, #ff5A00
Katherine, 9, #ff5A00
Hattie, 7, #ff5A00
Nora, 8, #ff5A00
Carrie, 8, #ff5A00
Ada, 7, #ff5A00
Christine, 8, #ff5A00
Lola, 7, #ff5A00
Fannie, 7, #ff5A00
Goldie, 7, #fe5A01
Susie, 7, #ff5A00
Jessie, 8, #8a5A75
Josephine, 8, #ff5A00
Lena, 8, #ff5A00
Willie, 8, #3a5Ac5
Betty, 12, #fe5A01
Geneva, 8, #ff5A00
Ollie, 7, #a85A57
Ann, 8, #ff5A00
Mamie, 7, #ff5A00
Eula, 7, #ff5A00
Flossie, 7, #ff5A00
Agnes, 7, #ff5A00
Ora, 7, #c85A37
Rosa, 7, #ff5A00
Sallie, 7, #ff5A00
Daisy, 7, #ff5A00
Leona, 7, #ff5A00
Virgie, 7, #ff5A00
Marguerite, 7, #ff5A00
Effie, 7, #ff5A00
Ellen, 8, #ff5A00
Iva, 7, #ff5A00
Rosie, 7, #ff5A00
Velma, 7, #ff5A00
Hallie, 7, #fd5A02
Lois, 8, #fd5A02
Sadie, 7, #ff5A00
Bonnie, 8, #fe5A01
Esther, 7, #ff5A00
Sue, 8, #ff5A00
Bernice, 7, #f55A0a
Kathryn, 8, #fe5A01
Nettie, 7, #ff5A00
Lottie, 7, #ff5A00
Rebecca, 10, #ff5A00
Marjorie, 8, #ff5A00
Rachel, 8, #fe5A01
Roxie, 7, #ff5A00
Eliza, 7, #ff5A00
Jewell, 7, #cd5A32
Loretta, 8, #ff5A00
Maudie, 7, #ff5A00
Nell, 7, #ff5A00
Vera, 7, #ff5A00
Verna, 7, #ff5A00
Blanche, 7, #ff5A00
Gracie, 7, #fe5A01
Jane, 8, #ff5A00
Alberta, 7, #ff5A00
Etta, 7, #ff5A00
Katie, 8, #fe5A01
Lizzie, 7, #ff5A00
Mollie, 7, #ff5A00
Alta, 7, #ff5A00
Cleo, 7, #bf5A40
Kathleen, 8, #ff5A00
Addie, 7, #ff5A00
Eunice, 7, #ff5A00
Inez, 7, #ff5A00
Lela, 7, #ff5A00
Lorene, 7, #ff5A00
Margie, 8, #ff5A00
Ola, 7, #fb5A04
Oma, 7, #ff5A00
Sally, 7, #ff5A00
Violet, 7, #ff5A00
Jennie, 7, #ff5A00
June, 8, #fb5A04
Mable, 7, #ff5A00
Sylvia, 8, #ff5A00
Audrey, 8, #fd5A02
Emily, 9, #fd5A02
Polly, 7, #ff5A00
Vivian, 8, #ff5A00
Dixie, 7, #ff5A00
Elva, 7, #f75A08
Jewel, 7, #da5A25
Lora, 7, #ff5A00
Amanda, 10, #ff5A00
Lou, 7, #ff5A00
Lydia, 7, #fe5A01
Nina, 7, #ff5A00
Reba, 7, #ff5A00
Roberta, 8, #ff5A00
Sara, 8, #fe5A01
Allie, 7, #e95A16
Juanita, 8, #ff5A00
Naomi, 7, #ff5A00
Shirley, 10, #f25A0d
Wilma, 8, #ff5A00
Lee, 8, #3f5Ac0
Nola, 7, #ff5A00
Cecil, 8, #0a5Af5
Hilda, 7, #ff5A00
Jeanette, 7, #ff5A00
Marcella, 7, #ff5A00
Maxine, 7, #ff5A00
Norma, 8, #ff5A00
Sophia, 8, #fe5A01
Zelma, 7, #ff5A00
Barbara, 11, #ff5A00
Bettie, 7, #ff5A00
Charlotte, 8, #ff5A00
Doris, 9, #fb5A04
Eleanor, 7, #ff5A00
Henrietta, 7, #ff5A00
Isabelle, 7, #fd5A02
Jean, 8, #fe5A01
Marion, 8, #495Ab6
Anne, 8, #ff5A00
Ina, 7, #ff5A00
Janie, 7, #ff5A00
Marian, 7, #ff5A00
Peggy, 8, #ff5A00
Susan, 9, #ff5A00
Callie, 7, #fe5A01
Cassie, 7, #ff5A00
Geraldine, 8, #ff5A00
Judy, 9, #ff5A00
Lila, 7, #ff5A00
Patricia, 11, #ff5A00
Victoria, 8, #fe5A01
Angie, 7, #ff5A00
Annette, 7, #ff5A00
Bettye, 7, #ff5A00
Erma, 7, #ff5A00
Ernestine, 7, #ff5A00
Francis, 8, #535Aac
Hannah, 8, #fd5A02
Josie, 7, #fe5A01
Laverne, 7, #ff5A00
Olivia, 8, #fd5A02
Rena, 7, #ff5A00
Theresa, 8, #ff5A00
Anita, 8, #ff5A00
Carmen, 7, #ff5A00
Carolyn, 9, #ff5A00
Charles, 18, #015Afe
Claudia, 7, #ff5A00
Garnett, 7, #5c5Aa3
Lorraine, 7, #ff5A00
Patsy, 8, #ff5A00
Amy, 9, #ff5A00
Billie, 8, #b35A4c
Caroline, 7, #fe5A01
Chloe, 8, #fb5A04
Cynthia, 8, #ff5A00
Eloise, 7, #ff5A00
Faye, 7, #ff5A00
Frankie, 7, #675A98
Freda, 7, #ff5A00
John, 20, #015Afe
Julie, 8, #ff5A00
Leah, 8, #fe5A01
Linda, 12, #ff5A00
Reva, 7, #ff5A00
Rosetta, 7, #ff5A00
Wanda, 9, #ff5A00
Willa, 7, #ff5A00
Imogene, 7, #ff5A00
Myra, 7, #ff5A00
Amelia, 7, #fe5A01
Cecilia, 7, #ff5A00
Iris, 7, #ff5A00
Mona, 7, #ff5A00
Ava, 8, #fe5A01
Charlene, 7, #ff5A00
Dorthy, 7, #ff5A00
Lilly, 7, #fe5A01
Dolores, 7, #ff5A00
Joyce, 9, #fe5A01
Madeline, 7, #fd5A02
Connie, 8, #f95A06
Delores, 7, #ff5A00
Johnnie, 7, #295Ad6
Robbie, 7, #7a5A85
Tina, 8, #ff5A00
Christina, 8, #ff5A00
Claire, 7, #fd5A02
Rita, 8, #ff5A00
Rosemary, 7, #ff5A00
William, 24, #015Afe
Charity, 7, #ff5A00
Annabelle, 7, #ff5A00
Eddie, 8, #095Af6
Jimmie, 8, #145Aeb
Phyllis, 9, #ff5A00
Bobbie, 8, #c45A3b
Darlene, 8, #ff5A00
Janet, 8, #ff5A00
Melissa, 9, #ff5A00
Molly, 7, #fd5A02
Ramona, 7, #ff5A00
Regina, 8, #ff5A00
Elaine, 7, #ff5A00
Glenna, 7, #ff5A00
Lily, 7, #fd5A02
Donnie, 8, #065Af9
Lonnie, 8, #055Afa
Angela, 9, #ff5A00
Jeanne, 7, #ff5A00
Jo, 8, #ff5A00
Joe, 9, #075Af8
Joseph, 13, #015Afe
Kay, 7, #fe5A01
Gwendolyn, 7, #ff5A00
Teresa, 9, #ff5A00
Beverly, 8, #fb5A04
Joan, 8, #ff5A00
James, 30, #015Afe
Judith, 8, #ff5A00
Priscilla, 7, #ff5A00
Sidney, 7, #425Abd
Clyde, 8, #015Afe
Constance, 7, #ff5A00
George, 11, #025Afd
Haley, 8, #fd5A02
Maurice, 7, #015Afe
Robert, 20, #015Afe
