name,num,color
Mary, 28, #fe5A01
Annie, 10, #ff5A00
Louise, 9, #ff5A00
Marie, 10, #ff5A00
Ethel, 9, #ff5A00
Lucille, 9, #ff5A00
Beatrice, 8, #ff5A00
Edna, 9, #ff5A00
Alice, 10, #ff5A00
Lillian, 9, #ff5A00
Helen, 11, #ff5A00
Hazel, 9, #ff5A00
Elizabeth, 13, #ff5A00
Thelma, 9, #ff5A00
Ruth, 9, #ff5A00
Anna, 10, #ff5A00
Josephine, 8, #ff5A00
Emma, 10, #ff5A00
Gladys, 9, #ff5A00
Florence, 8, #ff5A00
Rose, 10, #ff5A00
Viola, 8, #ff5A00
Lillie, 9, #ff5A00
Gertrude, 8, #ff5A00
Bessie, 8, #ff5A00
Pearl, 8, #ff5A00
Bertha, 8, #ff5A00
Lena, 8, #ff5A00
Myrtle, 8, #ff5A00
Alma, 8, #ff5A00
Mildred, 9, #ff5A00
Mattie, 8, #ff5A00
Eva, 8, #ff5A00
Irene, 8, #ff5A00
Margaret, 11, #ff5A00
Willie, 15, #3e5Ac1
Ruby, 10, #ff5A00
Laura, 10, #ff5A00
Evelyn, 9, #ff5A00
Dorothy, 13, #ff5A00
Clara, 8, #ff5A00
Ida, 8, #ff5A00
Agnes, 8, #ff5A00
Sarah, 11, #ff5A00
Carrie, 8, #ff5A00
Frances, 9, #ff5A00
Rosie, 8, #ff5A00
Julia, 9, #ff5A00
Martha, 9, #ff5A00
Ella, 9, #ff5A00
Rosa, 8, #ff5A00
Bernice, 8, #fc5A03
Jessie, 10, #6f5A90
Fannie, 8, #ff5A00
Eunice, 8, #fe5A01
Mabel, 8, #ff5A00
Mae, 8, #ff5A00
Virginia, 9, #ff5A00
Lula, 8, #ff5A00
Beulah, 8, #ff5A00
Mamie, 7, #ff5A00
Cora, 8, #ff5A00
Edith, 8, #ff5A00
Irma, 8, #ff5A00
Leola, 8, #ff5A00
Hattie, 8, #ff5A00
Inez, 8, #ff5A00
Minnie, 8, #ff5A00
Effie, 7, #ff5A00
Hilda, 8, #ff5A00
Leona, 8, #ff5A00
Alberta, 7, #ff5A00
Mable, 8, #ff5A00
Nellie, 8, #ff5A00
Katie, 9, #ff5A00
Velma, 8, #ff5A00
Maggie, 8, #ff5A00
Esther, 8, #ff5A00
Ollie, 8, #d35A2c
Aline, 7, #ff5A00
Grace, 8, #ff5A00
Lizzie, 7, #ff5A00
Pauline, 8, #ff5A00
Daisy, 8, #ff5A00
Dora, 7, #ff5A00
Elsie, 8, #ff5A00
Eula, 8, #ff5A00
Georgia, 8, #ff5A00
Nora, 8, #ff5A00
Olivia, 9, #ff5A00
Sadie, 8, #ff5A00
Stella, 8, #ff5A00
Victoria, 9, #ff5A00
Susie, 7, #ff5A00
Ellen, 8, #ff5A00
Vera, 8, #ff5A00
Blanche, 7, #ff5A00
Elnora, 7, #ff5A00
Emily, 10, #ff5A00
Addie, 7, #ff5A00
Catherine, 10, #ff5A00
Marguerite, 8, #ff5A00
Rebecca, 10, #ff5A00
Vivian, 8, #ff5A00
Della, 7, #ff5A00
Jeanne, 8, #ff5A00
Essie, 7, #fc5A03
Lucy, 8, #ff5A00
Cecile, 7, #ff5A00
Henrietta, 7, #ff5A00
Juanita, 8, #ff5A00
Ora, 7, #fc5A03
Amelia, 8, #ff5A00
Ernestine, 7, #ff5A00
Katherine, 10, #ff5A00
Rachel, 9, #ff5A00
Ada, 7, #ff5A00
Doris, 10, #fb5A04
Jennie, 7, #ff5A00
Lottie, 7, #ff5A00
Nancy, 9, #ff5A00
Geneva, 8, #ff5A00
Lydia, 8, #ff5A00
Nettie, 7, #ff5A00
Estelle, 7, #ff5A00
Johnnie, 9, #605A9f
Marjorie, 8, #ff5A00
Rita, 9, #ff5A00
Roberta, 7, #ff5A00
Amy, 10, #ff5A00
Ann, 9, #ff5A00
Christine, 9, #ff5A00
Lois, 8, #ff5A00
Anita, 8, #ff5A00
Eloise, 7, #ff5A00
Norma, 8, #ff5A00
Rosalie, 7, #ff5A00
Theresa, 9, #ff5A00
Audrey, 9, #fd5A02
Francis, 8, #3c5Ac3
Josie, 7, #ff5A00
Rena, 7, #ff5A00
Camille, 8, #ec5A13
Charlotte, 9, #ff5A00
Eleanor, 8, #ff5A00
Maria, 8, #ff5A00
Ola, 7, #ff5A00
Adele, 7, #ff5A00
Annette, 8, #ff5A00
Betty, 12, #ff5A00
Callie, 7, #ff5A00
Caroline, 8, #ff5A00
Gracie, 8, #ff5A00
Margie, 8, #ff5A00
Allie, 7, #fb5A04
Anne, 8, #ff5A00
Flora, 7, #ff5A00
Isabelle, 7, #ff5A00
Lela, 7, #ff5A00
Madeline, 8, #ff5A00
Yvonne, 8, #ff5A00
Antoinette, 8, #ff5A00
Barbara, 13, #ff5A00
Frankie, 8, #915A6e
Isabella, 8, #ff5A00
Lola, 7, #ff5A00
Lorraine, 8, #ff5A00
Virgie, 7, #ff5A00
Claire, 8, #ff5A00
Janie, 7, #ff5A00
Lilly, 7, #ff5A00
Wilma, 7, #fe5A01
Winnie, 7, #ff5A00
Celeste, 7, #ff5A00
Iris, 7, #fe5A01
Jeanette, 8, #ff5A00
Jewel, 7, #c05A3f
Julie, 9, #ff5A00
Leah, 8, #ff5A00
Naomi, 8, #ff5A00
Violet, 7, #ff5A00
Carmen, 8, #ff5A00
Elaine, 8, #ff5A00
Genevieve, 7, #ff5A00
Geraldine, 8, #ff5A00
Ivy, 7, #895A76
Lee, 9, #345Acb
Nina, 7, #ff5A00
Verna, 8, #ff5A00
Billie, 8, #dc5A23
Earline, 8, #ff5A00
Erma, 7, #ff5A00
Jane, 8, #ff5A00
Lou, 7, #ff5A00
Melba, 7, #ff5A00
Mercedes, 7, #ff5A00
Priscilla, 8, #ff5A00
Sally, 8, #ff5A00
Sophie, 7, #ff5A00
Amanda, 10, #ff5A00
Cecil, 8, #0a5Af5
Cecilia, 7, #ff5A00
Hannah, 9, #ff5A00
Joyce, 10, #ff5A00
Loretta, 8, #ff5A00
Sue, 7, #ff5A00
Sylvia, 8, #ff5A00
Althea, 7, #ff5A00
Bonnie, 8, #fe5A01
Carolyn, 11, #ff5A00
Dolores, 8, #ff5A00
Jean, 8, #cb5A34
Jeannette, 7, #ff5A00
Jimmie, 8, #285Ad7
Joanna, 7, #ff5A00
Kathleen, 9, #ff5A00
Kathryn, 8, #ff5A00
Mandy, 7, #ff5A00
Marian, 7, #ff5A00
Marion, 8, #b15A4e
Melissa, 10, #ff5A00
Miriam, 7, #ff5A00
Claudia, 8, #ff5A00
Elise, 7, #ff5A00
Bernadette, 7, #ff5A00
Regina, 8, #ff5A00
Angelina, 7, #ff5A00
Patricia, 13, #ff5A00
Shirley, 11, #fb5A04
Angela, 11, #ff5A00
Maxine, 8, #ff5A00
Rosemary, 8, #ff5A00
Kate, 7, #ff5A00
Linda, 14, #ff5A00
Myra, 7, #ff5A00
Sara, 8, #ff5A00
Sybil, 7, #ff5A00
Constance, 8, #ff5A00
Patsy, 8, #ff5A00
Lily, 7, #ff5A00
Eddie, 9, #145Aeb
June, 8, #fe5A01
Joe, 9, #0d5Af2
Ruthie, 7, #ff5A00
James, 30, #015Afe
Valerie, 8, #ff5A00
Beverly, 9, #fb5A04
George, 13, #025Afd
Aimee, 7, #ff5A00
Bobbie, 8, #da5A25
Chloe, 8, #ff5A00
Christina, 9, #ff5A00
John, 29, #015Afe
Natalie, 8, #ff5A00
Robbie, 7, #8e5A71
Jacqueline, 9, #ff5A00
Phyllis, 8, #ff5A00
Cassie, 7, #ff5A00
Paula, 9, #ff5A00
Edward, 13, #005Aff
Felicia, 8, #ff5A00
Freddie, 8, #1d5Ae2
Janice, 9, #ff5A00
Judith, 8, #ff5A00
Veronica, 8, #ff5A00
Bennie, 8, #365Ac9
Connie, 9, #fb5A04
Peggy, 9, #ff5A00
Susan, 10, #ff5A00
Tommie, 7, #585Aa7
Janet, 9, #ff5A00
Joy, 8, #ff5A00
Mona, 8, #ff5A00
Ivory, 7, #3b5Ac4
Angel, 8, #e35A1c
Ava, 8, #ff5A00
Ira, 7, #1d5Ae2
Molly, 8, #ff5A00
Stephanie, 10, #ff5A00
Teresa, 8, #ff5A00
Faye, 7, #ff5A00
Gloria, 11, #ff5A00
Savannah, 8, #ff5A00
Deborah, 10, #ff5A00
Elmer, 7, #0b5Af4
Gwendolyn, 8, #ff5A00
Jo, 8, #ff5A00
Tina, 9, #ff5A00
Alicia, 8, #ff5A00
Angie, 7, #ff5A00
Bridget, 8, #ff5A00
Floyd, 8, #005Aff
Percy, 8, #005Aff
Wilfred, 8, #015Afe
Joan, 8, #ff5A00
Carol, 9, #f15A0e
Charles, 20, #025Afd
Clifford, 8, #015Afe
Arlene, 7, #ff5A00
Delores, 8, #ff5A00
Clyde, 8, #005Aff
Donna, 10, #ff5A00
Henry, 12, #025Afd
Lonnie, 8, #065Af9
Robert, 24, #015Afe
Charlene, 8, #ff5A00
Vernon, 8, #025Afd
Sophia, 8, #ff5A00
Earl, 9, #005Aff
Gretchen, 7, #ff5A00
Jerry, 11, #0e5Af1
Judy, 9, #ff5A00
Maurice, 8, #055Afa
William, 20, #005Aff
Yvette, 7, #ff5A00
Wanda, 9, #ff5A00
Charlie, 8, #185Ae7
Ray, 8, #025Afd
Donnie, 8, #125Aed
Cynthia, 11, #ff5A00
Leslie, 9, #b45A4b
Sydney, 8, #fd5A02
Andrea, 8, #f75A08
Jackie, 8, #975A68
Frank, 11, #005Aff
Sam, 8, #005Aff
Suzanne, 8, #ff5A00
Melanie, 8, #ff5A00
Curtis, 9, #005Aff
Marcia, 7, #ff5A00
Marilyn, 8, #ff5A00
Johnny, 10, #015Afe
Zoe, 7, #ff5A00
Bettye, 7, #ff5A00
Adrienne, 7, #ff5A00
Joseph, 22, #015Afe
Joycelyn, 7, #ff5A00
Beth, 7, #ff5A00
Laurie, 8, #fe5A01
Lawrence, 10, #005Aff
Sidney, 8, #0e5Af1
Thomas, 15, #005Aff
Hope, 8, #ff5A00
Jacquelyn, 7, #ff5A00
Denise, 9, #ff5A00
Louis, 11, #005Aff
Yolanda, 8, #ff5A00
Joann, 8, #ff5A00
Deloris, 7, #ff5A00
Billy, 10, #025Afd
Colleen, 7, #ff5A00
Renee, 8, #ff5A00
Bobby, 10, #085Af7
Archie, 7, #025Afd
