name,num,color
Mary, 20, #ff5A00
Helen, 11, #ff5A00
Margaret, 12, #ff5A00
Dorothy, 11, #ff5A00
Alice, 9, #ff5A00
Anna, 9, #ff5A00
Ruth, 10, #ff5A00
Elizabeth, 13, #ff5A00
Mildred, 8, #ff5A00
Lillian, 9, #ff5A00
Rose, 9, #ff5A00
Catherine, 10, #ff5A00
Evelyn, 9, #ff5A00
Florence, 8, #ff5A00
Marion, 8, #ff5A00
Frances, 9, #fe5A01
Gertrude, 8, #ff5A00
Eleanor, 9, #ff5A00
Grace, 9, #ff5A00
Doris, 9, #ff5A00
Marie, 9, #ff5A00
Irene, 9, #ff5A00
Beatrice, 8, #ff5A00
Josephine, 8, #ff5A00
Ethel, 8, #ff5A00
Louise, 8, #ff5A00
Katherine, 9, #ff5A00
Agnes, 8, #ff5A00
Gladys, 7, #ff5A00
Edna, 8, #ff5A00
Edith, 8, #ff5A00
Esther, 8, #ff5A00
Marjorie, 8, #ff5A00
Anne, 9, #ff5A00
Eva, 8, #ff5A00
Bertha, 7, #ff5A00
Ann, 10, #ff5A00
Hazel, 7, #ff5A00
Julia, 9, #ff5A00
Ida, 7, #ff5A00
Marguerite, 8, #ff5A00
Viola, 7, #ff5A00
Barbara, 13, #ff5A00
Virginia, 9, #ff5A00
Blanche, 7, #ff5A00
Theresa, 9, #ff5A00
Sarah, 10, #ff5A00
Elsie, 7, #ff5A00
Jennie, 7, #ff5A00
Laura, 9, #ff5A00
Lena, 7, #ff5A00
Stella, 8, #ff5A00
Charlotte, 8, #ff5A00
Jeannette, 8, #ff5A00
Pauline, 8, #ff5A00
Sophie, 8, #ff5A00
Ellen, 9, #ff5A00
Mabel, 7, #ff5A00
Emma, 9, #ff5A00
Jean, 10, #f05A0f
Madeline, 8, #ff5A00
Thelma, 7, #ff5A00
Emily, 10, #ff5A00
Martha, 8, #ff5A00
Phyllis, 8, #ff5A00
Lucy, 8, #ff5A00
Yvonne, 7, #ff5A00
Bernice, 7, #ff5A00
Clara, 7, #ff5A00
Bessie, 7, #ff5A00
Constance, 8, #ff5A00
Dorothea, 7, #ff5A00
Harriet, 7, #ff5A00
Kathryn, 8, #ff5A00
Sylvia, 8, #ff5A00
Genevieve, 7, #ff5A00
Loretta, 7, #ff5A00
Annie, 7, #ff5A00
Eileen, 8, #ff5A00
Geraldine, 8, #ff5A00
Hilda, 7, #ff5A00
Kathleen, 12, #ff5A00
Caroline, 8, #ff5A00
Maria, 8, #ff5A00
Pearl, 7, #ff5A00
Betty, 8, #ff5A00
Marian, 7, #ff5A00
Olive, 7, #ff5A00
Priscilla, 8, #ff5A00
Vera, 7, #ff5A00
Victoria, 8, #ff5A00
Celia, 7, #ff5A00
Myrtle, 7, #ff5A00
Rita, 9, #ff5A00
Adeline, 7, #ff5A00
Cecile, 7, #ff5A00
Eunice, 7, #ff5A00
Muriel, 7, #ff5A00
Nellie, 7, #ff5A00
Alma, 7, #ff5A00
Dora, 7, #ff5A00
Isabel, 7, #ff5A00
Sally, 8, #ff5A00
Winifred, 7, #ff5A00
Amelia, 8, #ff5A00
Jeanette, 7, #ff5A00
Sadie, 7, #ff5A00
Veronica, 7, #ff5A00
Antoinette, 7, #ff5A00
Flora, 7, #ff5A00
Mae, 7, #ff5A00
Miriam, 7, #ff5A00
Anita, 8, #ff5A00
Ella, 8, #ff5A00
Janet, 9, #ff5A00
Leona, 7, #ff5A00
Claire, 9, #ff5A00
Isabelle, 7, #ff5A00
Jane, 9, #ff5A00
Annette, 7, #ff5A00
Estelle, 7, #ff5A00
Vivian, 7, #ff5A00
Angelina, 7, #ff5A00
