name,num,color
Mary, 24, #ff5A00
Margaret, 13, #ff5A00
Helen, 11, #ff5A00
Elizabeth, 14, #ff5A00
Anna, 11, #ff5A00
Mildred, 9, #ff5A00
Dorothy, 12, #ff5A00
Ruth, 10, #ff5A00
Catherine, 11, #ff5A00
Lillian, 9, #ff5A00
Evelyn, 9, #ff5A00
Marie, 9, #ff5A00
Alice, 9, #ff5A00
Florence, 8, #ff5A00
Ethel, 8, #ff5A00
Frances, 9, #ff5A00
Edna, 8, #ff5A00
Grace, 9, #ff5A00
Elsie, 8, #ff5A00
Virginia, 9, #ff5A00
Gladys, 8, #ff5A00
Sarah, 12, #ff5A00
Louise, 8, #ff5A00
Agnes, 8, #ff5A00
Bertha, 8, #ff5A00
Rose, 9, #ff5A00
Emma, 9, #ff5A00
Gertrude, 8, #ff5A00
Martha, 8, #ff5A00
Thelma, 8, #ff5A00
Edith, 8, #ff5A00
Hilda, 8, #ff5A00
Mabel, 7, #ff5A00
Clara, 8, #ff5A00
Hazel, 8, #ff5A00
Beatrice, 8, #ff5A00
Myrtle, 7, #ff5A00
Pearl, 7, #ff5A00
Bessie, 7, #ff5A00
Irene, 8, #ff5A00
Nellie, 7, #ff5A00
Eleanor, 8, #ff5A00
Katherine, 10, #ff5A00
Julia, 9, #ff5A00
Esther, 8, #ff5A00
Ida, 8, #ff5A00
Carrie, 8, #ff5A00
Ella, 8, #ff5A00
Viola, 7, #ff5A00
Annie, 8, #ff5A00
Eva, 8, #ff5A00
Laura, 10, #ff5A00
Blanche, 7, #ff5A00
Josephine, 8, #ff5A00
Lillie, 7, #ff5A00
Charlotte, 9, #ff5A00
Doris, 10, #ff5A00
Ellen, 8, #ff5A00
Daisy, 7, #ff5A00
Jean, 9, #fa5A05
Ada, 7, #ff5A00
Bernice, 8, #ff5A00
Marion, 8, #ab5A54
Naomi, 8, #ff5A00
Pauline, 8, #ff5A00
Regina, 8, #ff5A00
Emily, 11, #ff5A00
Kathryn, 9, #ff5A00
Marguerite, 7, #ff5A00
Ann, 9, #ff5A00
Madeline, 8, #ff5A00
Rebecca, 10, #ff5A00
Betty, 10, #ff5A00
Loretta, 8, #ff5A00
Lucille, 7, #ff5A00
Lydia, 8, #ff5A00
Sadie, 7, #ff5A00
Sara, 9, #ff5A00
Anne, 8, #ff5A00
Cora, 7, #ff5A00
Lena, 7, #ff5A00
Lucy, 8, #ff5A00
Marian, 8, #ff5A00
Nancy, 11, #ff5A00
Genevieve, 7, #ff5A00
Irma, 7, #ff5A00
