name,num,color
Mary, 20, #ff5A00
Helen, 11, #ff5A00
Dorothy, 12, #ff5A00
Ruth, 11, #ff5A00
Margaret, 12, #ff5A00
Alice, 10, #ff5A00
Elizabeth, 15, #ff5A00
Doris, 10, #ff5A00
Evelyn, 10, #ff5A00
Irene, 9, #ff5A00
Florence, 9, #ff5A00
Mildred, 9, #ff5A00
Marion, 9, #ff5A00
Beatrice, 8, #ff5A00
Frances, 10, #ff5A00
Eva, 8, #ff5A00
Marie, 10, #ff5A00
Ethel, 8, #ff5A00
Gertrude, 8, #ff5A00
Hazel, 8, #ff5A00
Lillian, 9, #ff5A00
Louise, 9, #ff5A00
Virginia, 10, #ff5A00
Eleanor, 9, #ff5A00
Katherine, 10, #ff5A00
Pauline, 10, #ff5A00
Bertha, 8, #ff5A00
Blanche, 8, #ff5A00
Edith, 8, #ff5A00
Laura, 10, #ff5A00
Phyllis, 9, #ff5A00
Thelma, 8, #ff5A00
Edna, 8, #ff5A00
Marguerite, 8, #ff5A00
Gladys, 8, #ff5A00
Madeline, 8, #ff5A00
Leona, 8, #ff5A00
Rose, 9, #ff5A00
Grace, 9, #ff5A00
Hilda, 7, #ff5A00
Jeannette, 8, #ff5A00
Mabel, 7, #ff5A00
Annie, 8, #ff5A00
Barbara, 14, #ff5A00
Catherine, 10, #ff5A00
Ruby, 8, #ff5A00
Vivian, 8, #ff5A00
Anna, 9, #ff5A00
Bernice, 8, #ff5A00
Elsie, 8, #ff5A00
Emma, 9, #ff5A00
Marjorie, 9, #ff5A00
Anne, 9, #ff5A00
Charlotte, 9, #ff5A00
Lena, 7, #ff5A00
Lucy, 8, #ff5A00
Martha, 9, #ff5A00
Yvonne, 8, #ff5A00
Cecile, 8, #ff5A00
Clara, 8, #ff5A00
Ida, 8, #ff5A00
Myrtle, 7, #ff5A00
Rena, 7, #ff5A00
Esther, 8, #ff5A00
Nellie, 7, #ff5A00
Stella, 8, #ff5A00
Viola, 7, #ff5A00
Ann, 10, #ff5A00
Arlene, 8, #ff5A00
Ella, 8, #ff5A00
Geneva, 7, #ff5A00
Isabelle, 8, #ff5A00
Jeanette, 8, #ff5A00
Kathleen, 11, #ff5A00
Kathryn, 9, #ff5A00
Pearl, 8, #ff5A00
Sarah, 12, #ff5A00
Violet, 8, #ff5A00
Christine, 10, #ff5A00
Ellen, 8, #ff5A00
Jennie, 7, #ff5A00
Muriel, 8, #ff5A00
Olive, 7, #ff5A00
Velma, 7, #ff5A00
Verna, 7, #ff5A00
Annette, 8, #ff5A00
Cora, 7, #ff5A00
Isabel, 7, #ff5A00
Lucille, 9, #ff5A00
Rita, 9, #ff5A00
Shirley, 10, #f85A07
Vera, 7, #ff5A00
Agnes, 7, #ff5A00
Arline, 7, #ff5A00
Eileen, 8, #ff5A00
Georgia, 7, #ff5A00
Germaine, 7, #ff5A00
Josephine, 8, #ff5A00
Julia, 9, #ff5A00
Nora, 7, #ff5A00
Rebecca, 11, #ff5A00
Jeanne, 8, #ff5A00
Geraldine, 8, #ff5A00
Jessie, 7, #f15A0e
Juliette, 7, #ff5A00
Marian, 7, #ff5A00
Emily, 11, #ff5A00
Harriet, 7, #ff5A00
Jane, 9, #ff5A00
Sylvia, 8, #ff5A00
Carmen, 8, #ff5A00
Priscilla, 9, #ff5A00
Anita, 8, #ff5A00
Avis, 7, #ff5A00
Madelyn, 7, #ff5A00
Betty, 10, #ff5A00
Carolyn, 9, #ff5A00
Constance, 9, #ff5A00
June, 8, #ff5A00
Lois, 8, #ff5A00
Natalie, 8, #ff5A00
Rachel, 10, #ff5A00
Sadie, 7, #ff5A00
