name,num,color
Helen, 11, #ff5A00
Mary, 22, #fe5A01
Margaret, 12, #ff5A00
Dorothy, 11, #ff5A00
Ruth, 10, #ff5A00
Florence, 8, #ff5A00
Mildred, 8, #ff5A00
Frances, 9, #ff5A00
Anna, 9, #ff5A00
Marie, 9, #ff5A00
Irene, 8, #ff5A00
Gladys, 8, #ff5A00
Elizabeth, 13, #ff5A00
Alice, 9, #ff5A00
Evelyn, 9, #ff5A00
Lillian, 8, #ff5A00
Gertrude, 8, #ff5A00
Grace, 9, #ff5A00
Clara, 8, #ff5A00
Beatrice, 8, #ff5A00
Hazel, 8, #ff5A00
Lucille, 8, #ff5A00
Eleanor, 8, #ff5A00
Josephine, 8, #ff5A00
Martha, 8, #ff5A00
Rose, 9, #ff5A00
Thelma, 8, #ff5A00
Viola, 7, #ff5A00
Edna, 8, #ff5A00
Esther, 8, #ff5A00
Ethel, 7, #ff5A00
Marion, 8, #e05A1f
Catherine, 9, #ff5A00
Agnes, 7, #ff5A00
Bernice, 8, #ff5A00
Louise, 8, #ff5A00
Edith, 8, #ff5A00
Virginia, 10, #ff5A00
Leona, 8, #ff5A00
Marguerite, 7, #ff5A00
Mabel, 7, #ff5A00
Doris, 9, #ff5A00
Eva, 8, #ff5A00
Myrtle, 7, #ff5A00
Genevieve, 8, #ff5A00
Katherine, 9, #ff5A00
Violet, 8, #ff5A00
Elsie, 7, #ff5A00
Bertha, 7, #ff5A00
Vera, 7, #ff5A00
Ann, 9, #ff5A00
Marian, 8, #ff5A00
Laura, 10, #ff5A00
Marjorie, 8, #ff5A00
Julia, 8, #ff5A00
Jean, 9, #fc5A03
Pauline, 8, #ff5A00
Stella, 8, #ff5A00
Kathryn, 9, #ff5A00
Theresa, 9, #ff5A00
Alma, 7, #ff5A00
Ellen, 8, #ff5A00
Nellie, 7, #ff5A00
Ida, 7, #ff5A00
Charlotte, 8, #ff5A00
Jennie, 7, #ff5A00
Ella, 8, #ff5A00
Emma, 9, #ff5A00
Lena, 7, #ff5A00
Anne, 8, #ff5A00
Geraldine, 8, #ff5A00
Caroline, 8, #ff5A00
Mae, 7, #ff5A00
Bessie, 7, #ff5A00
Olive, 7, #ff5A00
Ruby, 7, #ff5A00
Pearl, 7, #ff5A00
Winifred, 7, #ff5A00
Sylvia, 8, #ff5A00
Betty, 11, #ff5A00
Blanche, 7, #ff5A00
Jessie, 7, #a75A58
Wilma, 7, #ff5A00
Cecelia, 7, #ff5A00
Hilda, 7, #ff5A00
Phyllis, 9, #ff5A00
Ada, 7, #ff5A00
Erma, 7, #ff5A00
Henrietta, 7, #ff5A00
Lydia, 8, #ff5A00
Angeline, 7, #ff5A00
Loretta, 8, #ff5A00
Luella, 7, #ff5A00
Harriet, 7, #ff5A00
Jane, 9, #ff5A00
June, 8, #ff5A00
Lois, 8, #ff5A00
Norma, 8, #ff5A00
Velma, 7, #ff5A00
Irma, 7, #ff5A00
Vivian, 8, #ff5A00
Cora, 7, #ff5A00
Emily, 10, #ff5A00
Madeline, 8, #ff5A00
Sophie, 7, #ff5A00
Fern, 7, #ff5A00
Maxine, 8, #ff5A00
Barbara, 14, #ff5A00
Donna, 11, #ff5A00
Eileen, 8, #ff5A00
Isabelle, 7, #ff5A00
Kathleen, 11, #ff5A00
Lila, 7, #ff5A00
Lottie, 7, #ff5A00
Nina, 7, #ff5A00
Dora, 7, #ff5A00
Eunice, 7, #ff5A00
Jeanette, 8, #ff5A00
Sarah, 11, #ff5A00
Verna, 7, #ff5A00
Victoria, 9, #ff5A00
Cecilia, 7, #ff5A00
Sadie, 7, #ff5A00
Sophia, 8, #ff5A00
Gwendolyn, 7, #ff5A00
Janet, 10, #ff5A00
Regina, 8, #ff5A00
Alberta, 7, #ff5A00
Arlene, 8, #ff5A00
Audrey, 8, #ff5A00
Celia, 7, #ff5A00
Lola, 7, #ff5A00
Naomi, 7, #ff5A00
Sally, 8, #ff5A00
Veronica, 8, #ff5A00
Adeline, 7, #ff5A00
Christine, 10, #ff5A00
Eleanore, 7, #ff5A00
Nancy, 12, #ff5A00
Olga, 7, #ff5A00
Elaine, 8, #ff5A00
Lenore, 7, #ff5A00
Marcella, 7, #ff5A00
Nora, 7, #ff5A00
Shirley, 10, #fd5A02
Geneva, 7, #ff5A00
Leah, 8, #ff5A00
Lucy, 7, #ff5A00
Wanda, 8, #ff5A00
Antoinette, 7, #ff5A00
Carrie, 8, #ff5A00
Constance, 8, #ff5A00
Dolores, 8, #ff5A00
Georgia, 7, #ff5A00
Jeannette, 7, #ff5A00
Joyce, 10, #ff5A00
Laverne, 7, #7f5A80
Miriam, 7, #ff5A00
Muriel, 7, #ff5A00
Amelia, 8, #ff5A00
Bernadette, 7, #ff5A00
Daisy, 7, #ff5A00
Juanita, 7, #ff5A00
Lorraine, 8, #ff5A00
Patricia, 15, #ff5A00
Rachel, 9, #ff5A00
Susan, 13, #ff5A00
Carol, 12, #fe5A01
Joan, 9, #ff5A00
Joanna, 7, #ff5A00
