name,num,color
Mary, 27, #fe5A01
Helen, 12, #ff5A00
Dorothy, 13, #ff5A00
Mildred, 9, #ff5A00
Ruth, 11, #ff5A00
Marie, 9, #ff5A00
Margaret, 12, #ff5A00
Gladys, 8, #ff5A00
Edna, 8, #ff5A00
Anna, 11, #ff5A00
Hazel, 8, #ff5A00
Frances, 9, #ff5A00
Grace, 9, #ff5A00
Lucille, 8, #ff5A00
Thelma, 8, #ff5A00
Virginia, 11, #ff5A00
Alice, 9, #ff5A00
Ruby, 9, #ff5A00
Opal, 8, #ff5A00
Ethel, 8, #ff5A00
Irene, 8, #ff5A00
Lillian, 9, #ff5A00
Mabel, 7, #ff5A00
Florence, 8, #ff5A00
Louise, 8, #ff5A00
Clara, 8, #ff5A00
Elsie, 8, #ff5A00
Elizabeth, 13, #ff5A00
Martha, 9, #ff5A00
Evelyn, 9, #ff5A00
Bernice, 8, #ff5A00
Edith, 8, #ff5A00
Catherine, 9, #ff5A00
Pauline, 8, #ff5A00
Bessie, 7, #ff5A00
Bertha, 8, #ff5A00
Rose, 9, #ff5A00
Gertrude, 7, #ff5A00
Myrtle, 7, #ff5A00
Nellie, 8, #ff5A00
Eva, 8, #ff5A00
Pearl, 7, #fa5A05
Beulah, 7, #ff5A00
Lena, 8, #ff5A00
Esther, 8, #ff5A00
Josephine, 8, #ff5A00
Ida, 8, #ff5A00
Alma, 8, #ff5A00
Velma, 8, #ff5A00
Emma, 10, #ff5A00
Georgia, 8, #ff5A00
Viola, 8, #ff5A00
Laura, 10, #ff5A00
Marguerite, 7, #ff5A00
Minnie, 7, #ff5A00
Agnes, 7, #ff5A00
Leona, 8, #ff5A00
Blanche, 7, #ff5A00
Ella, 8, #ff5A00
Juanita, 8, #ff5A00
Katherine, 10, #ff5A00
Vera, 8, #ff5A00
Wilma, 9, #ff5A00
Goldie, 7, #ff5A00
Jessie, 8, #aa5A55
Violet, 8, #ff5A00
Marjorie, 8, #ff5A00
Betty, 13, #ff5A00
Eleanor, 8, #ff5A00
Stella, 8, #ff5A00
Alberta, 7, #ff5A00
Fern, 7, #ff5A00
Julia, 8, #ff5A00
Sarah, 11, #ff5A00
Ada, 7, #ff5A00
Beatrice, 7, #ff5A00
Lois, 9, #ff5A00
Ann, 9, #ff5A00
Lillie, 7, #ff5A00
Mae, 7, #ff5A00
Sylvia, 8, #ff5A00
Lela, 7, #ff5A00
Vivian, 8, #fe5A01
Loretta, 8, #ff5A00
Mable, 7, #ff5A00
Alta, 7, #ff5A00
