name,num,color
Mary, 24, #fe5A01
Annie, 12, #fe5A01
Willie, 20, #3e5Ac1
Mattie, 9, #ff5A00
Lillie, 9, #ff5A00
Rosie, 9, #fe5A01
Ruby, 10, #fd5A02
Ethel, 9, #fb5A04
Emma, 9, #ff5A00
Minnie, 8, #ff5A00
Bessie, 8, #ff5A00
Lucille, 8, #ff5A00
Carrie, 8, #ff5A00
Elizabeth, 10, #ff5A00
Hattie, 8, #ff5A00
Alice, 9, #ff5A00
Clara, 8, #ff5A00
Sarah, 10, #ff5A00
Beatrice, 8, #ff5A00
Lillian, 8, #ff5A00
Louise, 9, #ff5A00
Gladys, 8, #ff5A00
Ruth, 9, #ff5A00
Maggie, 8, #ff5A00
Ida, 8, #ff5A00
Jessie, 10, #6e5A91
Edna, 8, #ff5A00
Susie, 8, #ff5A00
Fannie, 8, #ff5A00
Laura, 9, #ff5A00
Bertha, 8, #ff5A00
Lula, 8, #ff5A00
Marie, 8, #ff5A00
Martha, 10, #ff5A00
Mildred, 9, #ff5A00
Ella, 8, #ff5A00
Frances, 9, #ff5A00
Viola, 7, #ff5A00
Irene, 8, #ff5A00
Katie, 8, #ff5A00
Thelma, 8, #ff5A00
Mamie, 8, #ff5A00
Myrtle, 8, #ff5A00
Anna, 9, #ff5A00
Virginia, 9, #ff5A00
Josephine, 8, #ff5A00
Alberta, 8, #ff5A00
Eva, 8, #ff5A00
Gertrude, 7, #ff5A00
Helen, 9, #ff5A00
Margaret, 10, #ff5A00
Daisy, 8, #ff5A00
Pearl, 7, #fd5A02
Sallie, 7, #ff5A00
Velma, 8, #ff5A00
Georgia, 8, #ff5A00
Cora, 8, #ff5A00
Lena, 8, #ff5A00
Julia, 8, #ff5A00
Nellie, 8, #ff5A00
Evelyn, 8, #ff5A00
Flora, 8, #ff5A00
Lucy, 8, #ff5A00
Alma, 8, #ff5A00
Dorothy, 12, #fe5A01
Essie, 8, #f75A08
Pauline, 8, #ff5A00
Inez, 7, #ff5A00
Eula, 7, #fe5A01
Geneva, 8, #ff5A00
Sadie, 8, #ff5A00
Grace, 8, #ff5A00
Ora, 8, #fd5A02
Christine, 8, #ff5A00
Ollie, 8, #ac5A53
Florence, 7, #ff5A00
Hazel, 8, #ff5A00
Lizzie, 7, #ff5A00
Nancy, 9, #ff5A00
Effie, 7, #ff5A00
Ada, 7, #ff5A00
Addie, 8, #ff5A00
Mae, 8, #ff5A00
Rosa, 7, #ff5A00
Callie, 7, #ff5A00
Edith, 8, #ff5A00
Eunice, 7, #fe5A01
Lela, 7, #ff5A00
