name,num,color
Mary, 23, #ff5A00
Helen, 13, #ff5A00
Margaret, 13, #ff5A00
Dorothy, 13, #ff5A00
Elizabeth, 12, #ff5A00
Frances, 10, #ff5A00
Gladys, 8, #ff5A00
Alice, 10, #ff5A00
Ruth, 11, #ff5A00
Agnes, 8, #ff5A00
Mildred, 9, #ff5A00
Anna, 10, #ff5A00
Edith, 8, #ff5A00
Ethel, 8, #ff5A00
Evelyn, 10, #ff5A00
Marie, 9, #ff5A00
Catherine, 9, #ff5A00
Doris, 9, #ff5A00
Esther, 8, #ff5A00
Eva, 8, #ff5A00
Thelma, 8, #ff5A00
Elsie, 8, #ff5A00
Florence, 9, #ff5A00
Lillian, 9, #ff5A00
Rose, 9, #ff5A00
Clara, 8, #ff5A00
Edna, 8, #ff5A00
Nellie, 7, #ff5A00
Ruby, 8, #ff5A00
Ann, 9, #ff5A00
Gertrude, 8, #ff5A00
Katherine, 10, #ff5A00
Bertha, 8, #ff5A00
Josephine, 8, #ff5A00
Mabel, 8, #ff5A00
Viola, 8, #ff5A00
Grace, 9, #ff5A00
Hazel, 8, #ff5A00
Irene, 9, #ff5A00
Kathryn, 9, #ff5A00
Marjorie, 9, #ff5A00
Bernice, 8, #ff5A00
Eleanor, 8, #ff5A00
Genevieve, 7, #ff5A00
Jessie, 8, #f05A0f
Julia, 8, #ff5A00
Laura, 10, #ff5A00
Lois, 9, #ff5A00
Emma, 9, #ff5A00
Ida, 7, #ff5A00
Jane, 8, #ff5A00
Louise, 8, #ff5A00
Lucille, 8, #ff5A00
Marion, 8, #e25A1d
Martha, 8, #ff5A00
Patricia, 14, #ff5A00
Phyllis, 9, #ff5A00
Virginia, 10, #ff5A00
Anne, 8, #ff5A00
Beatrice, 7, #ff5A00
Cora, 7, #ff5A00
Kathleen, 11, #ff5A00
Myrtle, 8, #ff5A00
Theresa, 9, #ff5A00
Violet, 8, #ff5A00
Pearl, 8, #ff5A00
Jean, 10, #ff5A00
Vivian, 8, #ff5A00
Pauline, 8, #ff5A00
Leona, 8, #ff5A00
Ellen, 8, #ff5A00
Georgia, 8, #ff5A00
Harriet, 7, #ff5A00
Vera, 8, #ff5A00
Geraldine, 8, #ff5A00
Wilma, 8, #ff5A00
Naomi, 7, #ff5A00
Sylvia, 8, #ff5A00
Audrey, 8, #ff5A00
Betty, 13, #ff5A00
Lydia, 8, #ff5A00
Caroline, 7, #ff5A00
Ella, 8, #ff5A00
Barbara, 13, #ff5A00
Charlotte, 9, #ff5A00
Eileen, 8, #ff5A00
Loretta, 8, #ff5A00
Maxine, 8, #ff5A00
Norma, 8, #ff5A00
Stella, 7, #ff5A00
Victoria, 8, #ff5A00
Sarah, 11, #ff5A00
Christine, 9, #ff5A00
Verna, 7, #ff5A00
Nora, 7, #ff5A00
Bonnie, 9, #ff5A00
June, 8, #ff5A00
