name,num,color
Mary, 22, #fe5A01
Annie, 11, #fe5A01
Ruth, 9, #ff5A00
Ethel, 8, #ff5A00
Elizabeth, 12, #ff5A00
Margaret, 11, #ff5A00
Lillie, 8, #ff5A00
Bessie, 8, #ff5A00
Ruby, 9, #fe5A01
Sarah, 11, #ff5A00
Louise, 8, #ff5A00
Minnie, 8, #ff5A00
Helen, 10, #ff5A00
Mattie, 8, #ff5A00
Eva, 8, #ff5A00
Martha, 10, #ff5A00
Lillian, 8, #ff5A00
Bertha, 8, #ff5A00
Carrie, 8, #ff5A00
Edna, 8, #ff5A00
Myrtle, 8, #ff5A00
Alice, 9, #ff5A00
Gladys, 8, #ff5A00
Mildred, 9, #ff5A00
Thelma, 8, #fe5A01
Pearl, 7, #fb5A04
Virginia, 9, #ff5A00
Hattie, 8, #ff5A00
Maggie, 8, #ff5A00
Emma, 9, #ff5A00
Lucy, 8, #ff5A00
Nellie, 8, #ff5A00
Clara, 8, #ff5A00
Hazel, 8, #fa5A05
Mamie, 8, #ff5A00
Dorothy, 11, #ff5A00
Frances, 9, #ff5A00
Rosa, 8, #ff5A00
Grace, 8, #ff5A00
Marie, 8, #ff5A00
Lucille, 8, #ff5A00
Ida, 8, #ff5A00
Lula, 8, #ff5A00
Irene, 8, #ff5A00
Willie, 11, #365Ac9
Beatrice, 8, #ff5A00
Jessie, 8, #8c5A73
Pauline, 8, #ff5A00
Beulah, 7, #ff5A00
Cora, 8, #ff5A00
Ella, 8, #ff5A00
Josephine, 8, #ff5A00
Mae, 8, #ff5A00
Viola, 7, #ff5A00
Fannie, 8, #ff5A00
Evelyn, 9, #ff5A00
Sallie, 7, #ff5A00
Laura, 9, #ff5A00
Julia, 8, #ff5A00
Gertrude, 7, #ff5A00
Katie, 8, #ff5A00
Lena, 8, #ff5A00
Sadie, 8, #ff5A00
Edith, 8, #ff5A00
Esther, 8, #ff5A00
Ada, 7, #ff5A00
Mabel, 7, #ff5A00
Anna, 9, #ff5A00
Catherine, 9, #ff5A00
Daisy, 8, #ff5A00
Alma, 8, #ff5A00
Eula, 7, #ff5A00
Blanche, 7, #ff5A00
Elsie, 8, #fe5A01
Essie, 7, #ff5A00
Maude, 7, #ff5A00
Lizzie, 7, #ff5A00
