name,num,color
Mary, 25, #ff5A00
Alice, 11, #ff5A00
Margaret, 14, #ff5A00
Helen, 14, #ff5A00
Anna, 11, #ff5A00
Florence, 10, #ff5A00
Gladys, 10, #ff5A00
Mildred, 10, #ff5A00
Myrtle, 8, #ff5A00
Ruth, 13, #ff5A00
Ethel, 8, #ff5A00
Agnes, 9, #ff5A00
Dorothy, 14, #ff5A00
Evelyn, 11, #ff5A00
Elizabeth, 14, #ff5A00
Clara, 9, #ff5A00
Emma, 10, #ff5A00
Esther, 10, #ff5A00
Frances, 10, #ff5A00
Lillian, 10, #ff5A00
Ella, 9, #ff5A00
Irene, 11, #ff5A00
Ida, 8, #ff5A00
Edna, 9, #ff5A00
Hazel, 9, #ff5A00
Marie, 10, #ff5A00
Elsie, 9, #ff5A00
Martha, 9, #ff5A00
Rose, 10, #ff5A00
Louise, 8, #ff5A00
Mabel, 8, #ff5A00
Alma, 8, #ff5A00
Grace, 10, #ff5A00
Lucille, 9, #ff5A00
Thelma, 8, #ff5A00
Catherine, 9, #ff5A00
Kathryn, 10, #ff5A00
Bertha, 8, #ff5A00
Laura, 10, #ff5A00
Pearl, 8, #ff5A00
Beatrice, 8, #ff5A00
Pauline, 8, #ff5A00
Ruby, 9, #ff5A00
Lydia, 8, #ff5A00
Olga, 8, #ff5A00
Hilda, 8, #ff5A00
Viola, 9, #ff5A00
Ann, 10, #ff5A00
Blanche, 8, #ff5A00
Minnie, 7, #ff5A00
Bernice, 9, #ff5A00
Doris, 11, #ff5A00
Eleanor, 9, #ff5A00
Katherine, 10, #ff5A00
Violet, 9, #ff5A00
Anne, 8, #ff5A00
Edith, 8, #ff5A00
Gertrude, 8, #ff5A00
Marian, 9, #ff5A00
Barbara, 14, #ff5A00
Eva, 8, #ff5A00
Lois, 11, #ff5A00
Luella, 8, #ff5A00
Mae, 8, #ff5A00
Marjorie, 10, #ff5A00
Vivian, 9, #ff5A00
Jean, 11, #ff5A00
Marion, 9, #fa5A05
Stella, 8, #ff5A00
Vera, 8, #ff5A00
Amy, 11, #ff5A00
Caroline, 8, #ff5A00
Leona, 9, #ff5A00
Sylvia, 8, #ff5A00
Betty, 14, #ff5A00
Cora, 8, #ff5A00
Frieda, 7, #ff5A00
Genevieve, 8, #ff5A00
Inez, 8, #ff5A00
Josephine, 8, #ff5A00
Julia, 8, #ff5A00
Katie, 9, #ff5A00
Carrie, 8, #ff5A00
Lorraine, 10, #ff5A00
Nora, 8, #ff5A00
Olive, 8, #ff5A00
Sally, 8, #ff5A00
Virginia, 10, #ff5A00
Alvina, 8, #ff5A00
Carol, 14, #ff5A00
Ellen, 8, #ff5A00
Eunice, 8, #ff5A00
Fern, 8, #ff5A00
Lila, 8, #ff5A00
Norma, 9, #ff5A00
Adeline, 8, #ff5A00
Christine, 9, #ff5A00
Verna, 8, #ff5A00
Amanda, 11, #ff5A00
Sadie, 8, #ff5A00
Charlotte, 9, #ff5A00
Harriet, 8, #ff5A00
Jane, 9, #ff5A00
June, 9, #ff5A00
Wilma, 8, #ff5A00
Annie, 7, #ff5A00
Christina, 8, #ff5A00
Isabelle, 8, #ff5A00
Janet, 10, #ff5A00
Kathleen, 11, #ff5A00
Marcella, 8, #ff5A00
Regina, 7, #ff5A00
Sarah, 11, #ff5A00
Patricia, 14, #ff5A00
Amelia, 8, #ff5A00
Phyllis, 10, #ff5A00
Audrey, 9, #ff5A00
Emily, 10, #ff5A00
Geraldine, 8, #ff5A00
