name,num,color
Mary, 24, #ff5A00
Helen, 12, #ff5A00
Ruth, 12, #ff5A00
Dorothy, 13, #ff5A00
Margaret, 13, #ff5A00
Mildred, 9, #ff5A00
Marie, 9, #ff5A00
Evelyn, 10, #ff5A00
Esther, 8, #ff5A00
Frances, 9, #ff5A00
Alice, 10, #ff5A00
Irene, 9, #ff5A00
Edna, 8, #ff5A00
Elizabeth, 13, #ff5A00
Lucille, 9, #ff5A00
Gladys, 8, #ff5A00
Florence, 8, #ff5A00
Mabel, 7, #ff5A00
Anna, 10, #ff5A00
Agnes, 8, #ff5A00
Elsie, 8, #ff5A00
Thelma, 8, #ff5A00
Bernice, 8, #ff5A00
Hazel, 8, #ff5A00
Clara, 8, #ff5A00
Gertrude, 8, #ff5A00
Lillian, 9, #ff5A00
Edith, 8, #ff5A00
Ethel, 8, #ff5A00
Grace, 9, #ff5A00
Rose, 9, #ff5A00
Vera, 8, #ff5A00
Doris, 10, #ff5A00
Alma, 7, #ff5A00
Leona, 8, #ff5A00
Ruby, 8, #ff5A00
Louise, 8, #ff5A00
Martha, 8, #ff5A00
Opal, 8, #ff5A00
Viola, 8, #ff5A00
Pearl, 7, #ff5A00
Bertha, 7, #ff5A00
Emma, 9, #ff5A00
Eva, 8, #ff5A00
Virginia, 10, #ff5A00
Blanche, 7, #ff5A00
Laura, 10, #ff5A00
Marjorie, 10, #ff5A00
Myrtle, 7, #ff5A00
Nellie, 7, #ff5A00
Violet, 8, #ff5A00
Ida, 7, #ff5A00
Josephine, 8, #ff5A00
Fern, 8, #ff5A00
Bessie, 7, #ff5A00
Ella, 8, #ff5A00
Pauline, 8, #ff5A00
Stella, 7, #ff5A00
Ellen, 8, #ff5A00
Velma, 8, #ff5A00
Catherine, 9, #ff5A00
Erma, 8, #ff5A00
Jessie, 7, #dc5A23
Lois, 10, #ff5A00
Irma, 7, #ff5A00
Marguerite, 7, #ff5A00
Wilma, 8, #ff5A00
Eleanor, 8, #ff5A00
Lila, 8, #ff5A00
Genevieve, 8, #ff5A00
Kathryn, 10, #ff5A00
Sylvia, 8, #ff5A00
Ann, 9, #ff5A00
Betty, 13, #ff5A00
Jean, 10, #fb5A04
Julia, 8, #ff5A00
Katherine, 10, #ff5A00
Marian, 8, #ff5A00
Norma, 9, #ff5A00
Beulah, 7, #ff5A00
Verna, 8, #ff5A00
Charlotte, 9, #ff5A00
Luella, 7, #ff5A00
Marion, 8, #895A76
Anne, 8, #ff5A00
Eunice, 7, #ff5A00
Faye, 7, #ff5A00
Geraldine, 8, #ff5A00
Loretta, 8, #ff5A00
Lucy, 7, #ff5A00
Phyllis, 10, #ff5A00
Adeline, 7, #ff5A00
Carolyn, 9, #ff5A00
Emily, 10, #ff5A00
Georgia, 8, #ff5A00
Lola, 8, #ff5A00
Maxine, 9, #ff5A00
Sarah, 11, #ff5A00
Theresa, 9, #ff5A00
Vivian, 8, #ff5A00
Audrey, 8, #ff5A00
Barbara, 14, #ff5A00
Cecilia, 7, #ff5A00
June, 8, #ff5A00
Lydia, 8, #ff5A00
Naomi, 8, #ff5A00
Alberta, 7, #ff5A00
Isabelle, 7, #ff5A00
Leah, 8, #ff5A00
Nina, 7, #ff5A00
Nora, 7, #ff5A00
Roberta, 8, #ff5A00
Arlene, 8, #ff5A00
Bonnie, 9, #ff5A00
Claire, 8, #ff5A00
Cora, 7, #ff5A00
Dolores, 8, #ff5A00
Elaine, 9, #ff5A00
Kathleen, 11, #ff5A00
Laverne, 7, #7e5A81
Marcella, 8, #ff5A00
Sophia, 8, #ff5A00
Harriet, 7, #ff5A00
Wanda, 8, #ff5A00
Jane, 9, #ff5A00
Patricia, 14, #ff5A00
