name,num,color
Mary, 17, #ff5A00
Dorothy, 11, #ff5A00
Alice, 9, #ff5A00
Helen, 10, #ff5A00
Lillian, 9, #ff5A00
Marion, 8, #ff5A00
Irene, 10, #ff5A00
Beatrice, 8, #ff5A00
Ruth, 10, #ff5A00
Evelyn, 9, #ff5A00
Doris, 10, #ff5A00
Florence, 8, #ff5A00
Mildred, 8, #ff5A00
Elizabeth, 15, #ff5A00
Margaret, 11, #ff5A00
Hazel, 8, #ff5A00
Ethel, 7, #ff5A00
Blanche, 7, #ff5A00
Barbara, 13, #ff5A00
Frances, 8, #ff5A00
Pauline, 10, #ff5A00
Anna, 9, #ff5A00
Esther, 7, #ff5A00
Gertrude, 8, #ff5A00
Louise, 9, #ff5A00
Thelma, 8, #ff5A00
Bertha, 8, #ff5A00
Edith, 8, #ff5A00
Marie, 9, #ff5A00
Rose, 8, #ff5A00
Gladys, 8, #ff5A00
Grace, 9, #ff5A00
Jeannette, 8, #ff5A00
Catherine, 10, #ff5A00
Marjorie, 9, #ff5A00
Edna, 8, #ff5A00
Josephine, 8, #ff5A00
Olive, 7, #ff5A00
Bernice, 7, #ff5A00
Eleanor, 9, #ff5A00
Ellen, 8, #ff5A00
Elsie, 7, #ff5A00
Katherine, 11, #ff5A00
Anne, 9, #ff5A00
Cecile, 8, #ff5A00
Eva, 8, #ff5A00
Julia, 9, #ff5A00
Juliette, 7, #ff5A00
Lydia, 8, #ff5A00
Yvonne, 7, #ff5A00
Arlene, 8, #ff5A00
Laura, 10, #ff5A00
Leona, 7, #ff5A00
Lucille, 9, #ff5A00
Natalie, 8, #ff5A00
Rachel, 10, #ff5A00
Stella, 8, #ff5A00
Agnes, 7, #ff5A00
Lucy, 8, #ff5A00
Marguerite, 8, #ff5A00
Rita, 10, #ff5A00
Emily, 12, #ff5A00
Pearl, 7, #ff5A00
Phyllis, 8, #ff5A00
Virginia, 9, #ff5A00
Jennie, 7, #ff5A00
Lois, 8, #ff5A00
Muriel, 8, #ff5A00
Martha, 9, #ff5A00
Christine, 10, #ff5A00
Madeline, 8, #ff5A00
Sylvia, 8, #ff5A00
Victoria, 9, #ff5A00
Clara, 7, #ff5A00
Charlotte, 9, #ff5A00
Ann, 9, #ff5A00
Violet, 8, #ff5A00
Caroline, 8, #ff5A00
Ruby, 7, #ff5A00
Geraldine, 8, #ff5A00
Isabelle, 8, #ff5A00
Jeanne, 8, #ff5A00
Annette, 8, #ff5A00
Kathleen, 11, #ff5A00
Theresa, 10, #ff5A00
Jane, 9, #ff5A00
Patricia, 13, #ff5A00
Priscilla, 8, #ff5A00
Shirley, 10, #ff5A00
Nora, 7, #ff5A00
Anita, 8, #ff5A00
Yvette, 7, #ff5A00
Claire, 9, #ff5A00
Jean, 9, #dc5A23
Constance, 8, #ff5A00
Emma, 10, #ff5A00
Isabel, 7, #ff5A00
Sarah, 14, #ff5A00
Sophie, 8, #ff5A00
Eileen, 8, #ff5A00
Audrey, 8, #ff5A00
Elaine, 9, #ff5A00
Nancy, 12, #ff5A00
Naomi, 7, #ff5A00
Sally, 8, #ff5A00
Kathryn, 9, #ff5A00
Ella, 8, #ff5A00
Norma, 8, #ff5A00
Janet, 9, #ff5A00
June, 8, #ff5A00
Vivian, 7, #ff5A00
Amelia, 8, #ff5A00
Lorraine, 9, #ff5A00
Betty, 9, #ff5A00
Joan, 9, #ff5A00
Madelyn, 7, #ff5A00
Roberta, 8, #ff5A00
Sadie, 7, #ff5A00
Gabrielle, 8, #ff5A00
Teresa, 8, #ff5A00
Madeleine, 8, #ff5A00
Wanda, 7, #ff5A00
Carolyn, 9, #ff5A00
Beverly, 9, #ff5A00
Amy, 11, #ff5A00
Judith, 10, #ff5A00
Therese, 8, #ff5A00
Gloria, 8, #ff5A00
Dolores, 7, #ff5A00
Marcia, 8, #ff5A00
