name,num,color
Mary, 18, #ff5A00
Helen, 11, #ff5A00
Anna, 10, #ff5A00
Margaret, 12, #ff5A00
Elizabeth, 13, #ff5A00
Dorothy, 11, #ff5A00
Rose, 9, #ff5A00
Ruth, 10, #ff5A00
Mildred, 8, #ff5A00
Florence, 9, #ff5A00
Catherine, 10, #ff5A00
Marie, 10, #ff5A00
Lillian, 8, #ff5A00
Alice, 9, #ff5A00
Frances, 9, #fe5A01
Josephine, 8, #ff5A00
Ethel, 8, #ff5A00
Marion, 8, #fb5A04
Grace, 9, #ff5A00
Anne, 9, #ff5A00
Evelyn, 9, #ff5A00
Gertrude, 8, #ff5A00
Edith, 8, #ff5A00
Edna, 8, #ff5A00
Eleanor, 9, #ff5A00
Irene, 8, #ff5A00
Ann, 9, #ff5A00
Julia, 9, #ff5A00
Jennie, 8, #ff5A00
Louise, 8, #ff5A00
Beatrice, 8, #ff5A00
Agnes, 8, #ff5A00
Jean, 9, #f35A0c
Emma, 9, #ff5A00
Theresa, 9, #ff5A00
Gladys, 8, #ff5A00
Elsie, 7, #ff5A00
Martha, 8, #ff5A00
Sarah, 10, #ff5A00
Clara, 7, #ff5A00
Betty, 9, #ff5A00
Katherine, 9, #ff5A00
Bertha, 7, #ff5A00
Ida, 7, #ff5A00
Marjorie, 8, #ff5A00
Sophie, 8, #ff5A00
Virginia, 9, #ff5A00
Mae, 7, #ff5A00
Hazel, 7, #ff5A00
Emily, 10, #ff5A00
Stella, 8, #ff5A00
Viola, 7, #ff5A00
Kathryn, 8, #ff5A00
Esther, 8, #ff5A00
Pearl, 7, #ff5A00
Doris, 9, #ff5A00
Charlotte, 8, #ff5A00
Lena, 7, #ff5A00
Pauline, 7, #ff5A00
Loretta, 8, #ff5A00
Lucy, 8, #ff5A00
Madeline, 8, #ff5A00
Harriet, 7, #ff5A00
Blanche, 7, #ff5A00
Estelle, 7, #ff5A00
Mabel, 7, #ff5A00
Minnie, 7, #ff5A00
Nellie, 7, #ff5A00
Thelma, 7, #ff5A00
Antoinette, 8, #ff5A00
Marguerite, 7, #ff5A00
Ella, 8, #ff5A00
Ellen, 8, #ff5A00
Eva, 8, #ff5A00
Jane, 9, #ff5A00
Barbara, 13, #ff5A00
Laura, 10, #ff5A00
Lucille, 8, #ff5A00
Violet, 7, #ff5A00
Angela, 9, #ff5A00
Genevieve, 7, #ff5A00
Henrietta, 7, #ff5A00
Marian, 7, #ff5A00
Sara, 8, #ff5A00
Sylvia, 8, #ff5A00
Alma, 7, #ff5A00
Angelina, 8, #ff5A00
Jessie, 7, #cf5A30
Nancy, 11, #ff5A00
Vera, 7, #ff5A00
Myrtle, 7, #ff5A00
Olga, 7, #ff5A00
Winifred, 7, #ff5A00
Adele, 7, #ff5A00
Veronica, 8, #ff5A00
Sadie, 7, #ff5A00
Caroline, 8, #ff5A00
Claire, 8, #ff5A00
Lydia, 7, #ff5A00
Victoria, 9, #ff5A00
Hilda, 7, #ff5A00
Miriam, 8, #ff5A00
Cecelia, 7, #ff5A00
Natalie, 8, #ff5A00
Sally, 8, #ff5A00
Ada, 7, #ff5A00
Bernice, 7, #ff5A00
Constance, 8, #ff5A00
Helene, 7, #ff5A00
Irma, 7, #ff5A00
Muriel, 7, #ff5A00
Susan, 12, #ff5A00
Alberta, 7, #ff5A00
Annette, 8, #ff5A00
Carolyn, 9, #ff5A00
Isabel, 7, #ff5A00
Janet, 9, #ff5A00
Maria, 9, #ff5A00
