name,num,color
Mary, 30, #fe5A01
Maria, 15, #ff5A00
Margaret, 12, #ff5A00
Josephine, 10, #ff5A00
Helen, 11, #ff5A00
Juanita, 10, #ff5A00
Rosa, 9, #ff5A00
Frances, 11, #ff5A00
Emma, 10, #ff5A00
Ruth, 9, #ff5A00
Lucy, 9, #ff5A00
Irene, 9, #ff5A00
Isabel, 9, #fe5A01
Nellie, 8, #ff5A00
Alice, 10, #ff5A00
Julia, 10, #ff5A00
Marie, 10, #ff5A00
Rose, 11, #ff5A00
Anita, 9, #ff5A00
Anna, 11, #ff5A00
Beatrice, 8, #ff5A00
Jennie, 8, #ff5A00
Antonia, 8, #ff5A00
Dorothy, 10, #ff5A00
Eva, 9, #ff5A00
Hazel, 8, #ff5A00
Ruby, 9, #ff5A00
Elvira, 8, #ff5A00
Esther, 9, #ff5A00
Guadalupe, 9, #b45A4b
Lena, 8, #ff5A00
Amelia, 8, #ff5A00
Flora, 8, #ff5A00
Florence, 8, #ff5A00
Stella, 9, #ff5A00
Virginia, 11, #ff5A00
Ella, 8, #ff5A00
Grace, 9, #ff5A00
Lupe, 8, #dd5A22
Margarita, 8, #ff5A00
Sofia, 8, #ff5A00
Annie, 8, #ff5A00
Laura, 11, #ff5A00
Lois, 8, #ff5A00
Lola, 8, #ff5A00
Lucia, 8, #ff5A00
Mildred, 8, #ff5A00
Rita, 9, #ff5A00
Adelina, 8, #ff5A00
Carmen, 9, #ff5A00
Elizabeth, 14, #ff5A00
Lucille, 8, #ff5A00
Ramona, 9, #ff5A00
Sarah, 12, #ff5A00
Vera, 8, #ff5A00
Aurora, 8, #ff5A00
Bessie, 8, #ff5A00
Cora, 8, #ff5A00
Edith, 8, #ff5A00
Josie, 8, #ff5A00
Louise, 8, #ff5A00
Nora, 8, #ff5A00
Susie, 8, #ff5A00
Victoria, 11, #ff5A00
Thelma, 8, #ff5A00
Dolores, 10, #ff5A00
Clara, 8, #ff5A00
Dora, 8, #ff5A00
Eleanor, 8, #ff5A00
Martha, 10, #ff5A00
Cecilia, 9, #ff5A00
Pauline, 9, #ff5A00
Agnes, 8, #ff5A00
Andrea, 10, #ff5A00
Bertha, 8, #ff5A00
Georgia, 8, #ff5A00
Ida, 8, #ff5A00
Jessie, 8, #875A78
Rebecca, 12, #ff5A00
Angela, 11, #ff5A00
Bernice, 8, #ff5A00
Catherine, 9, #ff5A00
Celia, 8, #ff5A00
Elsie, 8, #ff5A00
Estella, 8, #ff5A00
Evelyn, 9, #ff5A00
Lillian, 9, #ff5A00
Nancy, 11, #ff5A00
Della, 8, #ff5A00
Teresa, 10, #ff5A00
Edna, 8, #ff5A00
Katherine, 10, #ff5A00
Sadie, 8, #ff5A00
Theresa, 10, #ff5A00
Ann, 8, #ff5A00
Barbara, 12, #ff5A00
Betty, 11, #ff5A00
Rachel, 10, #ff5A00
Jane, 8, #ff5A00
Mercedes, 8, #ff5A00
Patricia, 14, #ff5A00
Billie, 8, #de5A21
Consuelo, 8, #ff5A00
Elena, 8, #ff5A00
Geneva, 7, #ff5A00
Molly, 8, #ff5A00
Viola, 8, #ff5A00
Genevieve, 8, #ff5A00
Caroline, 8, #ff5A00
Kathryn, 9, #ff5A00
Paula, 9, #ff5A00
Rosie, 8, #ff5A00
Sally, 8, #ff5A00
Alicia, 9, #ff5A00
Alma, 8, #ff5A00
Angelina, 9, #ff5A00
Doris, 8, #ff5A00
Emily, 11, #ff5A00
Francis, 8, #1d5Ae2
Maxine, 8, #ff5A00
Phyllis, 8, #ff5A00
Charlotte, 9, #ff5A00
Elisa, 8, #ff5A00
Vivian, 8, #fe5A01
Ernestine, 8, #ff5A00
Marjorie, 8, #ff5A00
Sara, 9, #ff5A00
Sophia, 9, #ff5A00
Anne, 8, #ff5A00
Bennie, 8, #225Add
Jean, 8, #fe5A01
Priscilla, 9, #ff5A00
Roberta, 9, #ff5A00
Amy, 10, #ff5A00
Ellen, 8, #ff5A00
Lily, 8, #ff5A00
Delia, 7, #ff5A00
Joyce, 8, #ff5A00
Lorraine, 9, #ff5A00
Lydia, 8, #ff5A00
Carrie, 8, #ff5A00
Willie, 8, #0a5Af5
Katie, 8, #ff5A00
Carolyn, 9, #ff5A00
Christine, 10, #ff5A00
Loretta, 9, #ff5A00
Sylvia, 9, #ff5A00
Tony, 10, #025Afd
June, 8, #ff5A00
Erlinda, 8, #ff5A00
Marcella, 8, #ff5A00
Nina, 7, #ff5A00
Geraldine, 8, #ff5A00
Margie, 8, #ff5A00
Natalia, 8, #ff5A00
Natalie, 9, #ff5A00
Norma, 8, #ff5A00
Connie, 9, #ff5A00
Wanda, 8, #ff5A00
Rosalie, 8, #ff5A00
Bonnie, 8, #ff5A00
Angie, 8, #ff5A00
Claudia, 8, #ff5A00
Donna, 10, #ff5A00
Frankie, 8, #0b5Af4
Naomi, 8, #ff5A00
Daisy, 8, #ff5A00
Janice, 8, #ff5A00
Kathleen, 9, #ff5A00
Audrey, 8, #ff5A00
Johnnie, 8, #195Ae6
Veronica, 10, #ff5A00
Joan, 8, #fe5A01
Shirley, 9, #ff5A00
Esperanza, 8, #ff5A00
Evangeline, 8, #ff5A00
Rosemary, 8, #ff5A00
Hope, 7, #ff5A00
Linda, 13, #ff5A00
Peggy, 8, #ff5A00
Monica, 10, #ff5A00
Arlene, 8, #ff5A00
Olivia, 9, #ff5A00
Regina, 8, #ff5A00
Gloria, 11, #ff5A00
Patsy, 8, #ff5A00
Elaine, 8, #ff5A00
Cruz, 8, #155Aea
Eileen, 8, #ff5A00
Jo, 8, #ff5A00
Susan, 11, #ff5A00
Christina, 10, #ff5A00
Joe, 17, #005Aff
Carol, 10, #ff5A00
Jimmie, 8, #115Aee
Jacqueline, 9, #ff5A00
Beverly, 8, #ff5A00
Charlene, 8, #ff5A00
Marilyn, 8, #ff5A00
Ana, 8, #ff5A00
Jeanette, 8, #ff5A00
Joann, 8, #ff5A00
Terry, 9, #495Ab6
Tina, 8, #ff5A00
Yolanda, 9, #ff5A00
Jose, 19, #005Aff
Jackie, 8, #985A67
Marlene, 8, #ff5A00
Jenny, 7, #ff5A00
Toni, 8, #ff5A00
Janet, 9, #ff5A00
Sue, 8, #ff5A00
Yvonne, 9, #ff5A00
Darlene, 8, #ff5A00
Pat, 8, #425Abd
Glenda, 8, #ff5A00
Manuel, 14, #005Aff
Diana, 10, #ff5A00
Sandra, 11, #ff5A00
Judy, 9, #ff5A00
Annette, 8, #ff5A00
Jerry, 12, #025Afd
Sherry, 8, #ff5A00
Diane, 9, #ff5A00
Sharon, 10, #ff5A00
Sheila, 8, #ff5A00
Colleen, 7, #ff5A00
George, 13, #005Aff
Judith, 8, #ff5A00
Karen, 11, #ff5A00
Deanna, 8, #ff5A00
Marsha, 7, #ff5A00
Brenda, 10, #ff5A00
Antoinette, 8, #ff5A00
Joanna, 8, #ff5A00
Melinda, 8, #ff5A00
Cynthia, 11, #ff5A00
Kathy, 9, #ff5A00
Suzanne, 8, #ff5A00
Carla, 8, #ff5A00
Becky, 8, #ff5A00
Julie, 9, #ff5A00
Lynn, 8, #ba5A45
Pamela, 10, #ff5A00
Bobby, 9, #015Afe
Leslie, 9, #cb5A34
Bernadette, 8, #ff5A00
Cheryl, 9, #ff5A00
Vickie, 8, #ff5A00
Vicki, 8, #ff5A00
Cathy, 8, #ff5A00
Laurie, 8, #ff5A00
Jennifer, 14, #ff5A00
Stephanie, 12, #ff5A00
Candace, 7, #ff5A00
Deborah, 10, #ff5A00
Michele, 8, #ff5A00
Denise, 9, #ff5A00
Cindy, 8, #ff5A00
Belinda, 8, #ff5A00
Dana, 8, #ed5A12
Michelle, 12, #ff5A00
Robin, 8, #de5A21
Terri, 8, #ff5A00
Rhonda, 8, #ff5A00
Debbie, 9, #ff5A00
Melanie, 9, #ff5A00
Melissa, 12, #ff5A00
Jessica, 13, #ff5A00
Kimberly, 11, #ff5A00
Melody, 8, #ff5A00
Debra, 10, #ff5A00
Wendy, 8, #ff5A00
Christy, 7, #ff5A00
Karla, 8, #ff5A00
Valerie, 10, #ff5A00
Leah, 8, #ff5A00
Lisa, 11, #ff5A00
Holly, 8, #ff5A00
Ava, 8, #ff5A00
Lori, 9, #ff5A00
Kim, 8, #e15A1e
Shannon, 9, #e15A1e
Celeste, 8, #ff5A00
Jamie, 9, #cc5A33
Roxanne, 7, #ff5A00
Leticia, 8, #ff5A00
Lee, 8, #185Ae7
Dawn, 8, #ff5A00
Renee, 8, #ff5A00
Vanessa, 10, #ff5A00
Sydney, 8, #ff5A00
Amanda, 12, #ff5A00
Yvette, 8, #ff5A00
Gina, 8, #ff5A00
Sabrina, 8, #ff5A00
Chris, 8, #0b5Af4
Tracy, 8, #cd5A32
Angelica, 9, #ff5A00
Shawn, 9, #115Aee
Tanya, 8, #ff5A00
Kelly, 9, #c55A3a
Tara, 8, #ff5A00
Sonia, 7, #ff5A00
Cassandra, 8, #ff5A00
Delilah, 8, #ff5A00
Kendra, 8, #ff5A00
Tamara, 8, #ff5A00
Tammy, 9, #ff5A00
Crystal, 10, #ff5A00
April, 9, #ff5A00
Erin, 8, #fd5A02
Katrina, 8, #ff5A00
Stacy, 8, #f05A0f
