name,num,color
Mary, 24, #ff5A00
Ruth, 11, #ff5A00
Ruby, 10, #ff5A00
Helen, 11, #ff5A00
Hazel, 9, #ff5A00
Dorothy, 12, #ff5A00
Opal, 9, #ff5A00
Mildred, 10, #ff5A00
Gladys, 8, #ff5A00
Thelma, 9, #ff5A00
Edna, 9, #ff5A00
Myrtle, 8, #ff5A00
Ethel, 8, #ff5A00
Margaret, 11, #ff5A00
Marie, 9, #ff5A00
Grace, 8, #ff5A00
Irene, 8, #ff5A00
Anna, 10, #ff5A00
Bessie, 8, #ff5A00
Frances, 10, #ff5A00
Bertha, 8, #ff5A00
Pauline, 9, #ff5A00
Edith, 8, #ff5A00
Pearl, 8, #ff5A00
Lillian, 8, #ff5A00
Alice, 9, #ff5A00
Lillie, 8, #ff5A00
Minnie, 8, #ff5A00
Elizabeth, 12, #ff5A00
Juanita, 9, #ff5A00
Clara, 8, #ff5A00
Beatrice, 8, #ff5A00
Nellie, 8, #ff5A00
Viola, 8, #ff5A00
Jessie, 9, #9a5A65
Evelyn, 9, #ff5A00
Leona, 8, #ff5A00
Alma, 8, #ff5A00
Beulah, 8, #ff5A00
Georgia, 8, #ff5A00
Ella, 8, #ff5A00
Eva, 8, #ff5A00
Willie, 9, #595Aa6
Elsie, 8, #ff5A00
Emma, 10, #ff5A00
Laura, 10, #ff5A00
Martha, 9, #ff5A00
Louise, 8, #ff5A00
Lucille, 8, #ff5A00
Jewell, 7, #f55A0a
Lois, 9, #fc5A03
Vera, 8, #ff5A00
Florence, 8, #ff5A00
Gertrude, 7, #ff5A00
Mae, 7, #ff5A00
Velma, 8, #ff5A00
Mabel, 7, #ff5A00
Ada, 7, #ff5A00
Mattie, 8, #ff5A00
Esther, 8, #ff5A00
Ida, 8, #ff5A00
Hattie, 7, #ff5A00
Virginia, 10, #ff5A00
Annie, 8, #ff5A00
Flora, 7, #ff5A00
Josephine, 8, #ff5A00
Stella, 8, #ff5A00
Vivian, 8, #ff5A00
Betty, 15, #fe5A01
Lena, 8, #ff5A00
Ollie, 7, #ca5A35
Agnes, 7, #ff5A00
Lola, 8, #ff5A00
Bernice, 8, #fe5A01
Marguerite, 7, #ff5A00
Nora, 8, #ff5A00
Bonnie, 9, #fd5A02
Julia, 8, #ff5A00
Ora, 7, #eb5A14
Sarah, 11, #ff5A00
Faye, 8, #ff5A00
Inez, 7, #ff5A00
Iva, 7, #ff5A00
Blanche, 7, #ff5A00
Jewel, 8, #e85A17
Nettie, 7, #ff5A00
Eula, 7, #ff5A00
Christine, 8, #ff5A00
Daisy, 7, #ff5A00
Jennie, 7, #ff5A00
Katherine, 9, #ff5A00
Lucy, 8, #ff5A00
Lula, 7, #ff5A00
Doris, 9, #fe5A01
Eunice, 7, #ff5A00
Goldie, 7, #ff5A00
Mable, 7, #ff5A00
Violet, 8, #ff5A00
Cora, 8, #ff5A00
Ellen, 8, #ff5A00
Maggie, 7, #ff5A00
Mamie, 7, #ff5A00
Lela, 7, #ff5A00
Rose, 8, #ff5A00
Dora, 8, #ff5A00
Geneva, 8, #ff5A00
Alta, 7, #ff5A00
Ola, 7, #ff5A00
Susie, 7, #ff5A00
Wilma, 9, #ff5A00
Catherine, 8, #ff5A00
Cleo, 8, #955A6a
Lorene, 8, #ff5A00
Rosa, 8, #ff5A00
Audrey, 8, #fd5A02
Fannie, 7, #ff5A00
Kathryn, 9, #ff5A00
Marjorie, 8, #ff5A00
Naomi, 8, #ff5A00
Sylvia, 8, #ff5A00
Carrie, 8, #ff5A00
Fern, 7, #ff5A00
Nancy, 10, #ff5A00
Nina, 8, #ff5A00
Rosie, 7, #ff5A00
Verna, 8, #ff5A00
Geraldine, 8, #ff5A00
Maxine, 8, #ff5A00
Sadie, 7, #ff5A00
Ann, 8, #ff5A00
Erma, 8, #ff5A00
Jean, 8, #f75A08
Letha, 7, #ff5A00
Rachel, 9, #ff5A00
Roberta, 8, #ff5A00
Wanda, 11, #ff5A00
Alberta, 7, #ff5A00
Amanda, 10, #ff5A00
Della, 7, #ff5A00
Jane, 8, #ff5A00
Katie, 8, #ff5A00
Lydia, 8, #ff5A00
Patricia, 13, #ff5A00
Billie, 10, #cb5A34
Gracie, 8, #ff5A00
Margie, 8, #ff5A00
Sally, 8, #ff5A00
Francis, 8, #4d5Ab2
Leah, 8, #ff5A00
Lila, 7, #ff5A00
Norma, 10, #ff5A00
Amy, 10, #ff5A00
Barbara, 13, #ff5A00
Callie, 7, #ff5A00
Charlotte, 8, #ff5A00
Emily, 10, #ff5A00
Johnnie, 8, #555Aaa
Lora, 7, #ff5A00
Eleanor, 7, #ff5A00
Etta, 7, #ff5A00
Ina, 7, #ff5A00
Jo, 9, #ff5A00
Lenora, 7, #ff5A00
Neva, 7, #ff5A00
Willa, 7, #ff5A00
Claudia, 7, #ff5A00
Iris, 7, #ff5A00
Josie, 7, #ff5A00
Loretta, 8, #ff5A00
Nadine, 7, #ff5A00
Peggy, 9, #ff5A00
Rebecca, 10, #ff5A00
Theresa, 8, #ff5A00
Dolores, 8, #ff5A00
Janie, 7, #ff5A00
Kathleen, 8, #ff5A00
Lily, 8, #ff5A00
Marion, 8, #495Ab6
Merle, 7, #415Abe
Allie, 7, #fe5A01
Carolyn, 10, #ff5A00
Chloe, 8, #ff5A00
Connie, 9, #f45A0b
Frankie, 8, #885A77
Glenna, 7, #ff5A00
Jeanette, 7, #ff5A00
June, 8, #fe5A01
Melba, 8, #ff5A00
Reba, 7, #ff5A00
Susan, 10, #ff5A00
Zoe, 7, #ff5A00
Bobbie, 8, #cf5A30
Madeline, 7, #ff5A00
Caroline, 7, #ff5A00
Sue, 8, #ff5A00
Freda, 7, #ff5A00
Joyce, 10, #fe5A01
Anne, 7, #ff5A00
Oleta, 7, #ff5A00
Sara, 8, #ff5A00
Anita, 8, #ff5A00
Phyllis, 9, #ff5A00
Sophia, 8, #ff5A00
Bennie, 8, #265Ad9
Donna, 11, #ff5A00
Glenda, 8, #ff5A00
Gwendolyn, 8, #ff5A00
Jimmie, 9, #2a5Ad5
Johnie, 7, #2e5Ad1
Laverne, 7, #de5A21
Lilly, 7, #ff5A00
Linda, 14, #ff5A00
Lou, 7, #ff5A00
Tommie, 7, #755A8a
Dixie, 7, #ff5A00
Imogene, 8, #ff5A00
Alva, 7, #3a5Ac5
Jackie, 9, #5c5Aa3
Cecil, 8, #085Af7
Amelia, 7, #ff5A00
Joan, 8, #fe5A01
Lee, 9, #345Acb
Marcella, 7, #ff5A00
Carmen, 7, #ff5A00
Carol, 10, #f95A06
Christina, 9, #ff5A00
Claire, 7, #ff5A00
Crystal, 9, #ff5A00
Cynthia, 9, #ff5A00
Janet, 9, #ff5A00
Jerry, 13, #0b5Af4
Marian, 7, #ff5A00
Mona, 7, #ff5A00
Pat, 8, #9f5A60
Patsy, 9, #ff5A00
Robbie, 7, #ab5A54
Shirley, 11, #fc5A03
Yvonne, 7, #ff5A00
Cecilia, 7, #ff5A00
Dorthy, 7, #ff5A00
Kay, 8, #fb5A04
