name,num,color
Mary, 23, #fe5A01
Helen, 13, #ff5A00
Anna, 12, #ff5A00
Margaret, 13, #ff5A00
Elizabeth, 13, #ff5A00
Dorothy, 12, #ff5A00
Ruth, 11, #ff5A00
Mildred, 9, #ff5A00
Catherine, 10, #ff5A00
Marie, 10, #ff5A00
Florence, 9, #ff5A00
Rose, 9, #ff5A00
Frances, 9, #fd5A02
Alice, 9, #ff5A00
Josephine, 8, #ff5A00
Ethel, 8, #ff5A00
Grace, 9, #ff5A00
Lillian, 8, #ff5A00
Edna, 8, #ff5A00
Martha, 9, #ff5A00
Kathryn, 9, #ff5A00
Evelyn, 9, #ff5A00
Gertrude, 8, #ff5A00
Ann, 9, #ff5A00
Agnes, 8, #ff5A00
Emma, 9, #ff5A00
Edith, 8, #ff5A00
Esther, 8, #ff5A00
Julia, 9, #ff5A00
Eleanor, 9, #ff5A00
Irene, 8, #ff5A00
Sarah, 10, #ff5A00
Anne, 9, #ff5A00
Pauline, 8, #ff5A00
Stella, 8, #ff5A00
Bertha, 7, #ff5A00
Gladys, 8, #ff5A00
Hazel, 8, #ff5A00
Katherine, 8, #ff5A00
Louise, 8, #ff5A00
Mabel, 7, #ff5A00
Clara, 8, #ff5A00
Elsie, 8, #ff5A00
Jean, 10, #fc5A03
Marion, 8, #ee5A11
Virginia, 9, #ff5A00
Thelma, 8, #ff5A00
Beatrice, 8, #ff5A00
Ida, 7, #ff5A00
Sara, 8, #ff5A00
Betty, 11, #ff5A00
Jennie, 7, #ff5A00
Laura, 9, #ff5A00
Nellie, 7, #ff5A00
Pearl, 7, #ff5A00
Viola, 7, #ff5A00
Eva, 8, #ff5A00
Blanche, 7, #ff5A00
Marian, 8, #ff5A00
Theresa, 9, #ff5A00
Genevieve, 7, #ff5A00
Violet, 8, #ff5A00
Lena, 7, #ff5A00
Myrtle, 7, #ff5A00
Sophie, 7, #ff5A00
Hilda, 7, #ff5A00
Bessie, 7, #ff5A00
Minnie, 7, #ff5A00
Leona, 7, #ff5A00
Olive, 7, #ff5A00
Vera, 7, #ff5A00
Ellen, 8, #ff5A00
Susan, 11, #ff5A00
Ella, 8, #ff5A00
Alma, 7, #ff5A00
Charlotte, 8, #ff5A00
Emily, 9, #ff5A00
Mae, 7, #ff5A00
Verna, 7, #ff5A00
Miriam, 8, #ff5A00
Lucy, 7, #ff5A00
Lucille, 8, #ff5A00
Marjorie, 8, #ff5A00
Jane, 9, #ff5A00
Marguerite, 7, #ff5A00
Harriet, 7, #ff5A00
Alberta, 7, #ff5A00
Sylvia, 8, #ff5A00
Veronica, 8, #ff5A00
Victoria, 8, #ff5A00
Doris, 9, #ff5A00
Madeline, 8, #ff5A00
Sophia, 8, #ff5A00
Caroline, 8, #ff5A00
Regina, 8, #ff5A00
Carrie, 8, #ff5A00
Sadie, 7, #ff5A00
Loretta, 8, #ff5A00
Barbara, 13, #ff5A00
Ada, 7, #ff5A00
Amelia, 7, #ff5A00
Catharine, 7, #ff5A00
Bernice, 8, #ff5A00
Lois, 8, #ff5A00
Geraldine, 8, #ff5A00
Angeline, 7, #ff5A00
Cecelia, 7, #ff5A00
Isabel, 7, #ff5A00
Naomi, 7, #ff5A00
Isabelle, 7, #ff5A00
