name,num,color
Mary, 20, #ff5A00
Helen, 11, #ff5A00
Margaret, 11, #ff5A00
Dorothy, 11, #ff5A00
Alice, 9, #ff5A00
Anna, 10, #ff5A00
Ruth, 9, #ff5A00
Florence, 9, #ff5A00
Rose, 9, #ff5A00
Catherine, 10, #ff5A00
Irene, 9, #ff5A00
Mildred, 8, #ff5A00
Elizabeth, 13, #ff5A00
Lillian, 9, #ff5A00
Evelyn, 9, #ff5A00
Ethel, 7, #ff5A00
Gertrude, 8, #ff5A00
Edith, 8, #ff5A00
Esther, 8, #ff5A00
Frances, 9, #ff5A00
Beatrice, 8, #ff5A00
Gladys, 8, #ff5A00
Marie, 10, #ff5A00
Marion, 8, #ff5A00
Angelina, 8, #ff5A00
Doris, 9, #ff5A00
Josephine, 8, #ff5A00
Louise, 9, #ff5A00
Theresa, 9, #ff5A00
Agnes, 8, #ff5A00
Elsie, 7, #ff5A00
Hazel, 7, #ff5A00
Julia, 9, #ff5A00
Marjorie, 8, #ff5A00
Grace, 9, #ff5A00
Loretta, 8, #ff5A00
Yvonne, 7, #ff5A00
Anne, 9, #ff5A00
Viola, 7, #ff5A00
Edna, 8, #ff5A00
Eleanor, 9, #ff5A00
Jeannette, 8, #ff5A00
Madeline, 8, #ff5A00
Marguerite, 8, #ff5A00
Martha, 8, #ff5A00
Pauline, 8, #ff5A00
Virginia, 9, #ff5A00
Adeline, 7, #ff5A00
Ann, 10, #ff5A00
Charlotte, 8, #ff5A00
Eva, 8, #ff5A00
Ida, 7, #ff5A00
Maria, 8, #ff5A00
Amelia, 8, #ff5A00
Christine, 10, #ff5A00
Claire, 9, #ff5A00
Katherine, 9, #ff5A00
Sarah, 10, #ff5A00
Barbara, 14, #ff5A00
Caroline, 8, #ff5A00
Cecile, 7, #ff5A00
Clara, 7, #ff5A00
Emily, 10, #ff5A00
Estelle, 7, #ff5A00
Hope, 8, #ff5A00
Jean, 9, #e95A16
Laura, 9, #ff5A00
Phyllis, 8, #ff5A00
Rita, 9, #ff5A00
Sylvia, 7, #ff5A00
Angela, 8, #ff5A00
Annette, 8, #ff5A00
Bertha, 7, #ff5A00
Betty, 8, #ff5A00
Blanche, 7, #ff5A00
Emma, 9, #ff5A00
Jennie, 8, #ff5A00
Kathleen, 11, #ff5A00
Lena, 7, #ff5A00
Muriel, 8, #ff5A00
Nancy, 11, #ff5A00
Lucy, 8, #ff5A00
Harriet, 7, #ff5A00
Sophie, 7, #ff5A00
Jeanne, 8, #ff5A00
Ella, 8, #ff5A00
Ellen, 8, #ff5A00
Genevieve, 7, #ff5A00
Hilda, 7, #ff5A00
Lydia, 7, #ff5A00
Teresa, 8, #ff5A00
Bernice, 7, #ff5A00
Elena, 7, #ff5A00
Victoria, 9, #ff5A00
Violet, 7, #ff5A00
Vivian, 7, #ff5A00
Antonetta, 7, #ff5A00
Constance, 8, #ff5A00
Carolyn, 9, #ff5A00
Lois, 8, #ff5A00
Sally, 7, #ff5A00
Stella, 7, #ff5A00
Sadie, 7, #ff5A00
Anita, 8, #ff5A00
Dolores, 8, #ff5A00
Jane, 9, #ff5A00
Jeanette, 7, #ff5A00
Kathryn, 8, #ff5A00
Olga, 7, #ff5A00
Susan, 13, #ff5A00
Christina, 8, #ff5A00
Isabelle, 7, #ff5A00
Olive, 7, #ff5A00
Madeleine, 7, #ff5A00
Eileen, 8, #ff5A00
Janet, 9, #ff5A00
Natalie, 8, #ff5A00
Monica, 7, #ff5A00
Thelma, 7, #ff5A00
Yvette, 7, #ff5A00
Veronica, 7, #ff5A00
Lucille, 8, #ff5A00
Isabel, 7, #ff5A00
