name,num,color
Mary, 22, #fe5A01
Annie, 11, #fe5A01
Louise, 9, #fe5A01
Rosa, 9, #ff5A00
Elizabeth, 12, #ff5A00
Ruth, 9, #ff5A00
Ethel, 8, #ff5A00
Bessie, 8, #ff5A00
Carrie, 9, #ff5A00
Sarah, 11, #ff5A00
Mattie, 8, #ff5A00
Marie, 8, #ff5A00
Hattie, 8, #ff5A00
Maggie, 8, #ff5A00
Lillie, 9, #ff5A00
Bertha, 8, #ff5A00
Margaret, 11, #ff5A00
Willie, 15, #375Ac8
Anna, 9, #ff5A00
Mamie, 8, #ff5A00
Minnie, 8, #ff5A00
Alice, 9, #ff5A00
Ella, 8, #ff5A00
Frances, 10, #fe5A01
Ida, 8, #ff5A00
Julia, 9, #ff5A00
Lucille, 8, #ff5A00
Jessie, 9, #9b5A64
Emma, 9, #ff5A00
Eva, 8, #ff5A00
Helen, 9, #ff5A00
Martha, 10, #ff5A00
Viola, 8, #ff5A00
Lillian, 8, #ff5A00
Pearl, 8, #ff5A00
Gladys, 8, #ff5A00
Janie, 8, #ff5A00
Daisy, 8, #ff5A00
Geneva, 8, #ff5A00
Ruby, 9, #fe5A01
Alma, 8, #ff5A00
Fannie, 8, #ff5A00
Clara, 8, #ff5A00
Evelyn, 9, #ff5A00
Laura, 9, #ff5A00
Cora, 7, #ff5A00
Gertrude, 7, #ff5A00
Irene, 8, #ff5A00
Essie, 7, #ff5A00
Lula, 8, #ff5A00
Mildred, 9, #ff5A00
Grace, 8, #ff5A00
Rebecca, 9, #ff5A00
Sadie, 8, #ff5A00
Thelma, 8, #ff5A00
Dorothy, 11, #fe5A01
Lizzie, 7, #ff5A00
Nellie, 8, #ff5A00
Pauline, 8, #ff5A00
Inez, 8, #ff5A00
Susie, 8, #ff5A00
Beatrice, 8, #ff5A00
Edna, 8, #ff5A00
Estelle, 7, #ff5A00
Rose, 8, #ff5A00
Lois, 8, #ff5A00
Lucile, 7, #ff5A00
Florence, 8, #ff5A00
Sallie, 8, #ff5A00
Virginia, 9, #ff5A00
Josephine, 8, #ff5A00
Lottie, 7, #ff5A00
Ellen, 8, #ff5A00
Ada, 7, #ff5A00
Edith, 8, #ff5A00
Mabel, 7, #ff5A00
Agnes, 7, #ff5A00
