name,num,color
Helen, 13, #ff5A00
Mary, 25, #ff5A00
Ruth, 12, #ff5A00
Dorothy, 14, #ff5A00
Florence, 9, #ff5A00
Margaret, 13, #ff5A00
Mildred, 10, #ff5A00
Evelyn, 11, #ff5A00
Gladys, 9, #ff5A00
Viola, 9, #ff5A00
Alice, 10, #ff5A00
Frances, 9, #ff5A00
Anna, 10, #ff5A00
Marie, 10, #ff5A00
Hazel, 9, #ff5A00
Esther, 9, #ff5A00
Lucille, 9, #ff5A00
Elsie, 8, #ff5A00
Edna, 8, #ff5A00
Irene, 10, #ff5A00
Lillian, 9, #ff5A00
Clara, 8, #ff5A00
Myrtle, 8, #ff5A00
Agnes, 8, #ff5A00
Edith, 8, #ff5A00
Mabel, 8, #ff5A00
Rose, 9, #ff5A00
Emma, 9, #ff5A00
Grace, 10, #ff5A00
Bernice, 8, #ff5A00
Ella, 8, #ff5A00
Elizabeth, 13, #ff5A00
Ida, 8, #ff5A00
Marjorie, 10, #ff5A00
Ruby, 8, #ff5A00
Bertha, 8, #ff5A00
Catherine, 9, #ff5A00
Gertrude, 8, #ff5A00
Pearl, 8, #ff5A00
Alma, 8, #ff5A00
Thelma, 8, #ff5A00
Doris, 10, #ff5A00
Eva, 8, #ff5A00
Sylvia, 8, #ff5A00
Violet, 9, #ff5A00
Martha, 8, #ff5A00
Ethel, 8, #ff5A00
Lois, 11, #ff5A00
Louise, 8, #ff5A00
Julia, 8, #ff5A00
Leona, 8, #ff5A00
Vera, 8, #ff5A00
Eleanor, 8, #ff5A00
Eunice, 8, #ff5A00
Laura, 10, #ff5A00
Lydia, 8, #ff5A00
Marian, 8, #ff5A00
Maxine, 9, #ff5A00
Sarah, 11, #ff5A00
Fern, 8, #ff5A00
Genevieve, 8, #ff5A00
Josephine, 8, #ff5A00
Opal, 7, #ff5A00
Pauline, 8, #ff5A00
Virginia, 10, #ff5A00
Anne, 8, #ff5A00
Caroline, 8, #ff5A00
Kathryn, 10, #ff5A00
Verna, 8, #ff5A00
Adeline, 8, #ff5A00
Ann, 9, #ff5A00
Beatrice, 7, #ff5A00
Jessie, 8, #f55A0a
Loretta, 8, #ff5A00
Velma, 8, #ff5A00
Vivian, 8, #ff5A00
Wilma, 8, #ff5A00
Carrie, 8, #ff5A00
Eileen, 8, #ff5A00
Ellen, 8, #ff5A00
Harriet, 8, #ff5A00
Katherine, 9, #ff5A00
Lorraine, 9, #ff5A00
Luella, 8, #ff5A00
Marion, 8, #ba5A45
Amy, 11, #ff5A00
Christine, 9, #ff5A00
Inez, 7, #ff5A00
Isabelle, 7, #ff5A00
Norma, 9, #ff5A00
Cora, 7, #ff5A00
Lila, 8, #ff5A00
Stella, 8, #ff5A00
Arlene, 9, #ff5A00
Juanita, 7, #ff5A00
Phyllis, 10, #ff5A00
Amelia, 8, #ff5A00
Jean, 10, #fe5A01
Joyce, 11, #ff5A00
Leah, 8, #ff5A00
Olivia, 8, #ff5A00
Charlotte, 9, #ff5A00
Marcella, 8, #ff5A00
Muriel, 7, #ff5A00
Betty, 13, #ff5A00
Elaine, 9, #ff5A00
June, 8, #ff5A00
Barbara, 14, #ff5A00
Emily, 10, #ff5A00
Janet, 10, #ff5A00
Katie, 8, #ff5A00
Rachel, 9, #ff5A00
Rebecca, 11, #ff5A00
Sophia, 8, #ff5A00
Beth, 8, #ff5A00
Georgia, 8, #ff5A00
Geraldine, 8, #ff5A00
Jane, 9, #ff5A00
Jeanette, 8, #ff5A00
Lola, 7, #ff5A00
Audrey, 9, #ff5A00
Amanda, 10, #ff5A00
Carolyn, 9, #ff5A00
Rita, 9, #ff5A00
Shirley, 12, #ff5A00
Theresa, 9, #ff5A00
Carol, 13, #ff5A00
Dolores, 8, #ff5A00
Merle, 8, #075Af8
Madeline, 7, #ff5A00
Patricia, 14, #ff5A00
Angela, 10, #ff5A00
Bonnie, 10, #ff5A00
Kathleen, 11, #ff5A00
Nancy, 12, #ff5A00
Wanda, 8, #ff5A00
Faye, 7, #ff5A00
Myrna, 7, #ff5A00
Roberta, 8, #ff5A00
Claire, 7, #f85A07
Laverne, 8, #425Abd
Linda, 14, #ff5A00
Naomi, 7, #ff5A00
Judith, 9, #ff5A00
Sara, 9, #ff5A00
Delores, 9, #ff5A00
Jeanne, 8, #ff5A00
Donna, 13, #ff5A00
Victoria, 8, #ff5A00
Anita, 8, #ff5A00
Beverly, 10, #ff5A00
Deloris, 8, #ff5A00
Mavis, 8, #ff5A00
Yvonne, 8, #ff5A00
Christina, 8, #ff5A00
Natalie, 8, #ff5A00
Rosemary, 8, #ff5A00
Constance, 8, #ff5A00
Sally, 8, #ff5A00
Darlene, 10, #ff5A00
Lavonne, 8, #ff5A00
Joan, 10, #ff5A00
Teresa, 9, #ff5A00
Crystal, 8, #ff5A00
Gail, 8, #fb5A04
Joy, 8, #ff5A00
Marcia, 8, #ff5A00
Monica, 8, #ff5A00
Ramona, 8, #ff5A00
Janice, 10, #ff5A00
Hope, 7, #ff5A00
Peggy, 9, #ff5A00
Gloria, 9, #ff5A00
Marlys, 8, #ff5A00
Marilyn, 10, #ff5A00
Margie, 7, #ff5A00
Carmen, 8, #ff5A00
Lily, 8, #ff5A00
Dawn, 9, #ff5A00
Jacqueline, 8, #ff5A00
Colleen, 8, #ff5A00
Connie, 9, #ff5A00
Jo, 8, #ff5A00
Joanne, 8, #ff5A00
Robert, 30, #005Aff
Gayle, 7, #ff5A00
Patty, 8, #ff5A00
Joann, 8, #ff5A00
Suzanne, 8, #ff5A00
Marlene, 9, #ff5A00
Carole, 8, #ff5A00
Susan, 13, #ff5A00
Sharon, 12, #ff5A00
Bonita, 7, #ff5A00
Charlene, 8, #ff5A00
Diane, 10, #ff5A00
Kay, 8, #ff5A00
Donald, 20, #005Aff
Sheila, 8, #ff5A00
Karen, 13, #ff5A00
William, 20, #005Aff
Judy, 10, #ff5A00
Sandra, 12, #ff5A00
Julie, 11, #ff5A00
Annette, 8, #ff5A00
Darla, 8, #ff5A00
Jackie, 8, #d95A26
Glenda, 8, #ff5A00
Dianne, 8, #ff5A00
Sue, 7, #ff5A00
Deanna, 8, #ff5A00
Cheryl, 10, #ff5A00
Diana, 8, #ff5A00
Renee, 8, #ff5A00
Cynthia, 10, #ff5A00
Sherry, 8, #ff5A00
Brenda, 10, #ff5A00
Paula, 8, #ff5A00
Andrea, 8, #ff5A00
Lynn, 9, #8d5A72
Kathy, 9, #ff5A00
Marsha, 8, #ff5A00
Carla, 8, #ff5A00
Karla, 8, #ff5A00
Lana, 7, #ff5A00
Terry, 11, #135Aec
Pamela, 10, #ff5A00
Vicki, 8, #ff5A00
Denise, 8, #ff5A00
Sheryl, 8, #ff5A00
Penny, 8, #ff5A00
Lynette, 8, #ff5A00
Valerie, 8, #ff5A00
Michelle, 11, #ff5A00
Jill, 9, #ff5A00
Dana, 8, #8e5A71
Candace, 7, #ff5A00
Leslie, 9, #5a5Aa5
Michele, 8, #ff5A00
Vickie, 8, #ff5A00
Cindy, 9, #ff5A00
Jennifer, 13, #ff5A00
Cathy, 8, #ff5A00
Stephanie, 10, #ff5A00
Deborah, 9, #ff5A00
Jan, 7, #d15A2e
Robin, 8, #db5A24
Holly, 8, #ff5A00
Becky, 8, #ff5A00
Lee, 9, #115Aee
Rhonda, 8, #ff5A00
Debra, 11, #ff5A00
Janelle, 7, #ff5A00
Roxanne, 7, #ff5A00
Wendy, 8, #ff5A00
Kristi, 8, #ff5A00
Laurie, 8, #ff5A00
Maria, 8, #ff5A00
Terri, 8, #ff5A00
