name,num,color
Mary, 21, #fe5A01
Ruby, 9, #fe5A01
Annie, 9, #ff5A00
Ruth, 9, #ff5A00
Elizabeth, 11, #ff5A00
Louise, 8, #ff5A00
Margaret, 11, #ff5A00
Willie, 10, #575Aa8
Ethel, 8, #ff5A00
Lillie, 8, #ff5A00
Gladys, 8, #ff5A00
Mildred, 9, #ff5A00
Edna, 8, #ff5A00
Bessie, 8, #ff5A00
Edith, 8, #ff5A00
Pearl, 7, #ff5A00
Mattie, 8, #ff5A00
Sarah, 10, #ff5A00
Dorothy, 11, #ff5A00
Martha, 10, #ff5A00
Thelma, 8, #ff5A00
Anna, 10, #ff5A00
Emma, 9, #ff5A00
Lucille, 8, #ff5A00
Alice, 8, #ff5A00
Lillian, 8, #ff5A00
Hazel, 8, #fe5A01
Helen, 9, #ff5A00
Minnie, 8, #ff5A00
Nellie, 8, #ff5A00
Grace, 8, #ff5A00
Myrtle, 8, #ff5A00
Frances, 9, #fe5A01
Jessie, 8, #845A7b
Virginia, 9, #ff5A00
Irene, 8, #ff5A00
Hattie, 7, #ff5A00
Clara, 8, #ff5A00
Laura, 9, #ff5A00
Marie, 8, #ff5A00
Pauline, 8, #ff5A00
Bertha, 8, #ff5A00
Lena, 7, #ff5A00
Georgia, 8, #ff5A00
Beulah, 7, #ff5A00
Katherine, 9, #ff5A00
Mae, 7, #ff5A00
Mamie, 7, #ff5A00
Ida, 7, #ff5A00
Eva, 8, #ff5A00
Fannie, 7, #ff5A00
Alma, 8, #ff5A00
Beatrice, 7, #ff5A00
Carrie, 8, #ff5A00
Elsie, 7, #ff5A00
Maggie, 8, #ff5A00
Evelyn, 9, #ff5A00
Lula, 7, #ff5A00
Gertrude, 7, #ff5A00
Daisy, 7, #ff5A00
Florence, 7, #ff5A00
Ada, 7, #ff5A00
Cora, 7, #ff5A00
Ollie, 7, #b95A46
Addie, 7, #ff5A00
Betty, 12, #fe5A01
Bonnie, 8, #fd5A02
Nancy, 9, #ff5A00
Catherine, 8, #ff5A00
Mabel, 7, #ff5A00
Nannie, 7, #ff5A00
Ora, 7, #fd5A02
Ella, 8, #ff5A00
Geneva, 8, #ff5A00
Lucy, 8, #ff5A00
Sallie, 7, #ff5A00
Stella, 8, #ff5A00
Viola, 7, #ff5A00
Rosie, 7, #ff5A00
Susie, 7, #ff5A00
Christine, 8, #ff5A00
Della, 7, #ff5A00
Dora, 7, #ff5A00
Flossie, 7, #ff5A00
