name,num,color
Mary, 24, #fe5A01
Ruby, 10, #fd5A02
Annie, 9, #ff5A00
Willie, 11, #515Aae
Ruth, 9, #ff5A00
Gladys, 8, #ff5A00
Maria, 18, #fc5A03
Frances, 10, #fe5A01
Margaret, 11, #ff5A00
Helen, 10, #ff5A00
Thelma, 8, #ff5A00
Mildred, 9, #ff5A00
Bessie, 8, #ff5A00
Lillian, 9, #ff5A00
Edna, 8, #ff5A00
Ethel, 8, #fe5A01
Lillie, 8, #ff5A00
Dorothy, 11, #fe5A01
Lucille, 8, #ff5A00
Minnie, 8, #ff5A00
Elizabeth, 15, #fe5A01
Hazel, 8, #ff5A00
Alice, 9, #ff5A00
Myrtle, 7, #ff5A00
Bertha, 8, #ff5A00
Opal, 8, #fe5A01
Irene, 9, #ff5A00
Emma, 11, #ff5A00
Marie, 8, #ff5A00
Mattie, 8, #ff5A00
Lois, 8, #fa5A05
Pauline, 8, #ff5A00
Juanita, 10, #fe5A01
Velma, 8, #ff5A00
Clara, 8, #ff5A00
Jessie, 9, #715A8e
Louise, 8, #ff5A00
Beatrice, 8, #ff5A00
Julia, 9, #ff5A00
Martha, 10, #ff5A00
Anna, 10, #ff5A00
Alma, 8, #ff5A00
Grace, 9, #ff5A00
Ida, 8, #ff5A00
Evelyn, 10, #ff5A00
Vera, 8, #ff5A00
Virginia, 10, #ff5A00
Eva, 9, #ff5A00
Pearl, 7, #fe5A01
Ella, 8, #ff5A00
Viola, 7, #ff5A00
Gertrude, 7, #ff5A00
Laura, 12, #fe5A01
Edith, 8, #ff5A00
Rosa, 9, #fe5A01
Florence, 7, #ff5A00
Josephine, 8, #ff5A00
Mae, 7, #ff5A00
Elsie, 7, #ff5A00
Mabel, 7, #ff5A00
Hattie, 7, #ff5A00
Bernice, 8, #f85A07
Lena, 8, #ff5A00
Lola, 8, #ff5A00
Lula, 7, #ff5A00
Fannie, 7, #ff5A00
Nellie, 7, #ff5A00
Sarah, 12, #ff5A00
Inez, 7, #ed5A12
Jewel, 7, #e35A1c
Katherine, 10, #ff5A00
Esther, 8, #ff5A00
Stella, 8, #ff5A00
Jewell, 7, #ea5A15
Cora, 7, #ff5A00
Eunice, 7, #fd5A02
Ada, 7, #ff5A00
Carrie, 8, #ff5A00
Vivian, 8, #fc5A03
Mable, 7, #ff5A00
Ora, 7, #fd5A02
Georgia, 8, #ff5A00
Johnnie, 8, #725A8d
Ollie, 7, #ab5A54
Agnes, 7, #ff5A00
Eula, 7, #ff5A00
Rose, 9, #ff5A00
Doris, 9, #fd5A02
Lela, 7, #ff5A00
Bonnie, 8, #f95A06
Katie, 8, #ff5A00
