name,num,color
Mary, 18, #ff5A00
Dorothy, 10, #ff5A00
Helen, 10, #ff5A00
Ruth, 11, #ff5A00
Margaret, 10, #ff5A00
Thelma, 8, #ff5A00
Edna, 8, #ff5A00
Florence, 8, #ff5A00
Virginia, 9, #ff5A00
Lucille, 8, #ff5A00
Alice, 9, #ff5A00
Mildred, 8, #ff5A00
Edith, 8, #ff5A00
Grace, 10, #ff5A00
Irene, 8, #ff5A00
Hazel, 8, #ff5A00
Louise, 8, #ff5A00
Phyllis, 8, #ff5A00
Ruby, 9, #ff5A00
Eva, 8, #ff5A00
Bernice, 7, #ff5A00
Evelyn, 10, #ff5A00
Lois, 9, #ff5A00
Marie, 9, #ff5A00
Rose, 8, #ff5A00
Anna, 11, #ff5A00
Clara, 8, #ff5A00
Vera, 8, #ff5A00
Afton, 8, #fc5A03
Elizabeth, 14, #ff5A00
Vivian, 8, #ff5A00
Frances, 8, #ff5A00
Katherine, 10, #ff5A00
Lillian, 9, #ff5A00
Violet, 8, #ff5A00
Elsie, 8, #ff5A00
Emma, 12, #ff5A00
Martha, 8, #ff5A00
Maxine, 8, #ff5A00
Norma, 9, #ff5A00
Georgia, 8, #ff5A00
Jean, 9, #fe5A01
Jennie, 8, #ff5A00
Josephine, 8, #ff5A00
Marjorie, 8, #ff5A00
Sarah, 14, #ff5A00
Ann, 9, #ff5A00
Beth, 8, #ff5A00
Emily, 15, #ff5A00
June, 8, #fd5A02
Lucy, 9, #ff5A00
Wanda, 8, #ff5A00
Betty, 10, #ff5A00
Doris, 8, #ff5A00
Eleanor, 8, #ff5A00
Naomi, 8, #ff5A00
Fern, 7, #ff5A00
Ellen, 8, #ff5A00
Leah, 9, #ff5A00
Sylvia, 8, #ff5A00
Ella, 9, #ff5A00
Esther, 8, #ff5A00
Kathryn, 10, #ff5A00
Donna, 10, #ff5A00
Marian, 8, #ff5A00
Stella, 8, #ff5A00
Annie, 8, #ff5A00
Catherine, 9, #ff5A00
Kathleen, 10, #ff5A00
Katie, 10, #ff5A00
Marion, 8, #ae5A51
Pauline, 8, #ff5A00
Julia, 9, #ff5A00
Laura, 11, #ff5A00
Elaine, 9, #ff5A00
Lola, 8, #ff5A00
Miriam, 8, #ff5A00
Audrey, 9, #ff5A00
Lila, 8, #ff5A00
Amelia, 9, #ff5A00
Gwen, 8, #ff5A00
Sally, 8, #ff5A00
Ivy, 8, #ff5A00
Joyce, 9, #ff5A00
Barbara, 12, #ff5A00
Jane, 9, #ff5A00
Jessie, 8, #c65A39
Bonnie, 10, #ff5A00
Carol, 11, #ff5A00
Charlotte, 9, #ff5A00
Eliza, 8, #ff5A00
Lorna, 7, #ff5A00
Nora, 8, #ff5A00
Shirley, 10, #fa5A05
Arlene, 8, #ff5A00
