name,num,color
Mary, 22, #fe5A01
Virginia, 11, #ff5A00
Elizabeth, 14, #ff5A00
Ruth, 10, #ff5A00
Margaret, 12, #ff5A00
Helen, 10, #ff5A00
Annie, 9, #ff5A00
Ethel, 8, #ff5A00
Louise, 9, #ff5A00
Frances, 10, #ff5A00
Gladys, 8, #ff5A00
Lillian, 9, #ff5A00
Dorothy, 11, #ff5A00
Alice, 9, #ff5A00
Martha, 9, #ff5A00
Bessie, 8, #ff5A00
Elsie, 8, #ff5A00
Ruby, 9, #ff5A00
Mildred, 9, #ff5A00
Thelma, 8, #ff5A00
Marie, 8, #ff5A00
Bertha, 8, #ff5A00
Edna, 8, #ff5A00
Evelyn, 9, #ff5A00
Lucille, 8, #ff5A00
Grace, 9, #ff5A00
Lucy, 8, #ff5A00
Anna, 9, #ff5A00
Nellie, 8, #ff5A00
Viola, 7, #ff5A00
Emma, 9, #ff5A00
Carrie, 8, #ff5A00
Hazel, 8, #ff5A00
Sarah, 12, #ff5A00
Irene, 8, #ff5A00
Mabel, 8, #ff5A00
Eva, 8, #ff5A00
Lillie, 8, #ff5A00
Rosa, 8, #ff5A00
Hattie, 7, #ff5A00
Gertrude, 7, #ff5A00
Myrtle, 8, #ff5A00
Beatrice, 8, #ff5A00
Edith, 8, #ff5A00
Florence, 8, #ff5A00
Ida, 8, #ff5A00
Mamie, 7, #ff5A00
Minnie, 7, #ff5A00
Pearl, 8, #ff5A00
Susie, 7, #ff5A00
Fannie, 7, #ff5A00
Ella, 8, #ff5A00
Julia, 9, #ff5A00
Nannie, 7, #ff5A00
Mattie, 8, #ff5A00
Catherine, 10, #ff5A00
Pauline, 8, #ff5A00
Katherine, 10, #ff5A00
Clara, 8, #ff5A00
Laura, 10, #ff5A00
Blanche, 7, #ff5A00
Rebecca, 10, #ff5A00
Alma, 8, #ff5A00
Josephine, 8, #ff5A00
Maggie, 7, #ff5A00
Willie, 9, #335Acc
Agnes, 7, #ff5A00
Bernice, 8, #fd5A02
Lena, 8, #ff5A00
Nancy, 11, #ff5A00
Ada, 7, #ff5A00
Lula, 7, #ff5A00
Sallie, 7, #ff5A00
Daisy, 7, #ff5A00
Doris, 9, #fe5A01
Mae, 7, #ff5A00
Ellen, 8, #ff5A00
Rose, 8, #ff5A00
Lottie, 7, #ff5A00
Maude, 7, #ff5A00
Virgie, 7, #ff5A00
Kathleen, 8, #ff5A00
Beulah, 7, #ff5A00
Geneva, 7, #ff5A00
Goldie, 7, #ff5A00
Cora, 8, #ff5A00
Nettie, 7, #ff5A00
Jessie, 8, #805A7f
Sadie, 8, #ff5A00
Stella, 8, #ff5A00
Anne, 8, #ff5A00
Georgia, 8, #ff5A00
Janie, 7, #ff5A00
Katie, 8, #ff5A00
Lola, 7, #ff5A00
Esther, 8, #ff5A00
Eula, 7, #ff5A00
Ann, 9, #ff5A00
Christine, 9, #ff5A00
Estelle, 7, #ff5A00
Lois, 8, #ff5A00
Ollie, 7, #b05A4f
Betty, 11, #ff5A00
Della, 7, #ff5A00
Eleanor, 8, #ff5A00
Gracie, 7, #ff5A00
Inez, 7, #ff5A00
Juanita, 8, #ff5A00
Jennie, 7, #ff5A00
Rachel, 9, #ff5A00
Dora, 7, #ff5A00
Nora, 8, #ff5A00
Audrey, 8, #fe5A01
Marion, 8, #b75A48
Violet, 7, #ff5A00
Bettie, 7, #ff5A00
Hilda, 7, #ff5A00
Mable, 7, #ff5A00
Rosie, 7, #ff5A00
Eliza, 7, #ff5A00
Jean, 9, #fc5A03
Etta, 7, #ff5A00
Eunice, 7, #ff5A00
Addie, 7, #ff5A00
Leona, 7, #ff5A00
Alberta, 7, #ff5A00
Amanda, 10, #ff5A00
Charlotte, 9, #ff5A00
Emily, 10, #ff5A00
Flora, 7, #ff5A00
Harriet, 7, #ff5A00
Irma, 7, #ff5A00
Margie, 7, #ff5A00
Vivian, 8, #fa5A05
Bonnie, 8, #ff5A00
Jane, 8, #ff5A00
Lelia, 7, #ff5A00
Sally, 8, #ff5A00
Mollie, 7, #ff5A00
Naomi, 8, #ff5A00
Roberta, 7, #ff5A00
Kathryn, 8, #ff5A00
Madeline, 8, #ff5A00
Marian, 7, #ff5A00
Sara, 8, #ff5A00
Victoria, 9, #ff5A00
Erma, 7, #ff5A00
Lydia, 8, #ff5A00
Marguerite, 7, #ff5A00
Sylvia, 8, #ff5A00
Vera, 7, #ff5A00
Kate, 7, #ff5A00
