name,num,color
Mary, 22, #ff5A00
Helen, 11, #ff5A00
Dorothy, 12, #ff5A00
Alice, 10, #ff5A00
Margaret, 13, #ff5A00
Mildred, 9, #ff5A00
Florence, 9, #ff5A00
Ruth, 11, #ff5A00
Elizabeth, 16, #ff5A00
Marion, 10, #ff5A00
Doris, 10, #ff5A00
Irene, 9, #ff5A00
Evelyn, 9, #ff5A00
Hazel, 8, #ff5A00
Gladys, 8, #ff5A00
Grace, 9, #ff5A00
Lillian, 9, #ff5A00
Marjorie, 9, #ff5A00
Anna, 10, #ff5A00
Ethel, 8, #ff5A00
Frances, 9, #ff5A00
Marie, 10, #ff5A00
Clara, 8, #ff5A00
Elsie, 8, #ff5A00
Gertrude, 8, #ff5A00
Thelma, 8, #ff5A00
Beatrice, 8, #ff5A00
Bernice, 8, #ff5A00
Edna, 8, #ff5A00
Eva, 8, #ff5A00
Harriet, 7, #ff5A00
Hilda, 7, #ff5A00
Laura, 10, #ff5A00
Marguerite, 8, #ff5A00
Catherine, 10, #ff5A00
Lucy, 8, #ff5A00
Pauline, 10, #ff5A00
Sarah, 13, #ff5A00
Claire, 9, #ff5A00
Edith, 8, #ff5A00
Ruby, 8, #ff5A00
Agnes, 8, #ff5A00
Eleanor, 9, #ff5A00
Emma, 10, #ff5A00
Josephine, 8, #ff5A00
Katherine, 10, #ff5A00
Madeline, 8, #ff5A00
Vivian, 7, #ff5A00
Blanche, 8, #ff5A00
Barbara, 15, #ff5A00
Esther, 8, #ff5A00
Louise, 9, #ff5A00
Martha, 9, #ff5A00
Charlotte, 9, #ff5A00
Ellen, 8, #ff5A00
Leona, 8, #ff5A00
Rose, 9, #ff5A00
Julia, 8, #ff5A00
Norma, 8, #ff5A00
Arlene, 8, #ff5A00
Sylvia, 8, #ff5A00
Virginia, 9, #ff5A00
Pearl, 7, #ff5A00
Jessie, 7, #ff5A00
Shirley, 11, #ff5A00
Ella, 8, #ff5A00
Lois, 8, #ff5A00
Stella, 7, #ff5A00
Anne, 9, #ff5A00
Bertha, 8, #ff5A00
Cecile, 8, #ff5A00
Emily, 11, #ff5A00
Geraldine, 8, #ff5A00
Isabelle, 8, #ff5A00
Jean, 10, #f95A06
Rita, 9, #ff5A00
Betty, 10, #ff5A00
Jane, 9, #ff5A00
Lucille, 8, #ff5A00
Phyllis, 9, #ff5A00
Rachel, 9, #ff5A00
Caroline, 8, #ff5A00
Carolyn, 9, #ff5A00
Kathleen, 11, #ff5A00
Janet, 10, #ff5A00
Sophie, 8, #ff5A00
Theresa, 10, #ff5A00
Ann, 10, #ff5A00
Constance, 8, #ff5A00
Muriel, 7, #ff5A00
Jeannette, 8, #ff5A00
June, 8, #ff5A00
Kathryn, 9, #ff5A00
