name,num,color
Helen, 10, #ff5A00
Dorothy, 10, #ff5A00
Mary, 18, #ff5A00
Margaret, 11, #ff5A00
Ruth, 9, #ff5A00
Alice, 9, #ff5A00
Mildred, 8, #ff5A00
Elizabeth, 14, #ff5A00
Esther, 8, #ff5A00
Florence, 8, #ff5A00
Marie, 9, #ff5A00
Hazel, 8, #ff5A00
Frances, 9, #ff5A00
Gladys, 8, #ff5A00
Evelyn, 9, #ff5A00
Ethel, 7, #ff5A00
Doris, 8, #ff5A00
Lillian, 9, #ff5A00
Marjorie, 8, #ff5A00
Irene, 8, #ff5A00
Virginia, 9, #ff5A00
Edna, 8, #ff5A00
Bernice, 7, #ff5A00
Louise, 8, #ff5A00
Thelma, 7, #ff5A00
Elsie, 8, #ff5A00
Lucille, 8, #ff5A00
Edith, 8, #ff5A00
Anna, 10, #ff5A00
Grace, 10, #ff5A00
Laura, 11, #ff5A00
Rose, 8, #ff5A00
Eva, 8, #ff5A00
Gertrude, 7, #ff5A00
Josephine, 8, #ff5A00
Katherine, 11, #ff5A00
Lois, 8, #ff5A00
Marguerite, 7, #ff5A00
Marion, 8, #cf5A30
Martha, 8, #ff5A00
Emma, 10, #ff5A00
Jean, 9, #fb5A04
Vivian, 8, #ff5A00
Catherine, 9, #ff5A00
Agnes, 7, #ff5A00
Ellen, 8, #ff5A00
Pearl, 7, #ff5A00
Juanita, 8, #ff5A00
Genevieve, 8, #ff5A00
Leona, 7, #ff5A00
Vera, 7, #ff5A00
Betty, 11, #ff5A00
Jane, 8, #ff5A00
Ruby, 8, #ff5A00
Sylvia, 8, #ff5A00
Ann, 9, #ff5A00
Anne, 8, #ff5A00
Kathleen, 11, #ff5A00
Sarah, 13, #ff5A00
Viola, 7, #ff5A00
Alma, 7, #ff5A00
Kathryn, 10, #ff5A00
Clara, 8, #ff5A00
Violet, 8, #ff5A00
Beatrice, 7, #ff5A00
Jessie, 8, #b65A49
Pauline, 8, #ff5A00
Georgia, 8, #ff5A00
Patricia, 14, #ff5A00
Geraldine, 8, #ff5A00
Julia, 9, #ff5A00
Lorraine, 8, #ff5A00
Lucy, 8, #ff5A00
Marian, 8, #ff5A00
Wilma, 7, #ff5A00
Annie, 7, #ff5A00
Audrey, 9, #ff5A00
Charlotte, 9, #ff5A00
Elaine, 8, #ff5A00
Eleanor, 8, #ff5A00
Jennie, 7, #ff5A00
Sally, 8, #ff5A00
Bonnie, 9, #ff5A00
Carol, 12, #ff5A00
Ella, 8, #ff5A00
Lena, 7, #ff5A00
Maxine, 8, #ff5A00
Nora, 8, #ff5A00
Eileen, 8, #ff5A00
Jeanette, 8, #ff5A00
Lola, 7, #ff5A00
Phyllis, 8, #ff5A00
Rita, 8, #ff5A00
Carolyn, 9, #ff5A00
Emily, 12, #ff5A00
Isabelle, 8, #ff5A00
Joan, 9, #ff5A00
Lydia, 8, #ff5A00
Miriam, 7, #ff5A00
Naomi, 8, #ff5A00
Nina, 8, #ff5A00
Sadie, 8, #ff5A00
Sophia, 9, #ff5A00
Wanda, 8, #ff5A00
June, 8, #ff5A00
Norma, 8, #ff5A00
Verna, 7, #ff5A00
Peggy, 8, #ff5A00
Stella, 8, #ff5A00
Barbara, 13, #ff5A00
Constance, 8, #ff5A00
Gwendolyn, 7, #ff5A00
Janet, 10, #ff5A00
Anita, 8, #ff5A00
Caroline, 8, #ff5A00
Claire, 8, #ff5A00
Lila, 7, #ff5A00
Marcia, 8, #ff5A00
Roberta, 8, #ff5A00
Shirley, 10, #ff5A00
Susan, 13, #ff5A00
Cora, 7, #ff5A00
Donna, 11, #ff5A00
Madeline, 8, #ff5A00
Jeanne, 8, #ff5A00
Leah, 8, #ff5A00
Gloria, 8, #ff5A00
Loretta, 8, #ff5A00
Marianne, 7, #ff5A00
Adeline, 7, #ff5A00
Amy, 11, #ff5A00
Beth, 8, #ff5A00
Beverly, 9, #ff5A00
Carrie, 8, #ff5A00
Dolores, 8, #ff5A00
Priscilla, 7, #ff5A00
Rachel, 11, #ff5A00
Rosemary, 8, #ff5A00
Theresa, 9, #ff5A00
Victoria, 9, #ff5A00
Cecilia, 7, #ff5A00
Iris, 7, #ff5A00
Joyce, 9, #ff5A00
Christine, 10, #ff5A00
Billie, 7, #fb5A04
Teresa, 10, #ff5A00
Veronica, 8, #ff5A00
Arlene, 8, #ff5A00
Daisy, 7, #ff5A00
Nancy, 12, #ff5A00
Ramona, 7, #ff5A00
Rosa, 7, #ff5A00
Rosalie, 7, #ff5A00
Sara, 9, #ff5A00
Annette, 8, #ff5A00
Margie, 7, #ff5A00
Isabel, 8, #ff5A00
Jeannette, 7, #ff5A00
Julie, 11, #ff5A00
Delores, 7, #ff5A00
Gretchen, 7, #ff5A00
Sophie, 8, #ff5A00
Ava, 9, #ff5A00
Joy, 8, #ff5A00
Natalie, 9, #ff5A00
Amelia, 8, #ff5A00
Hannah, 10, #ff5A00
Judith, 9, #ff5A00
Lorna, 7, #ff5A00
Amanda, 11, #ff5A00
Sheila, 8, #ff5A00
Annabelle, 7, #ff5A00
Carmen, 8, #fe5A01
Jacqueline, 9, #ff5A00
Kay, 8, #fc5A03
Laurel, 8, #ff5A00
Nadine, 7, #ff5A00
Yvonne, 8, #ff5A00
Lilly, 7, #ff5A00
Gail, 8, #f65A09
Sue, 8, #ff5A00
Corinne, 7, #ff5A00
Hope, 7, #ff5A00
Rebecca, 11, #ff5A00
Regina, 7, #ff5A00
Cynthia, 10, #ff5A00
Sonia, 7, #ff5A00
Francis, 8, #095Af6
Suzanne, 8, #ff5A00
Dixie, 7, #ff5A00
Christina, 10, #ff5A00
Darlene, 8, #ff5A00
Ivy, 7, #ff5A00
Katie, 9, #ff5A00
Molly, 8, #ff5A00
Janice, 9, #ff5A00
Dawn, 8, #ff5A00
Camille, 7, #ff5A00
Claudia, 8, #ff5A00
Lily, 8, #ff5A00
Marilyn, 9, #ff5A00
Joann, 8, #ff5A00
Joanne, 8, #ff5A00
Linda, 14, #ff5A00
Gayle, 8, #fe5A01
Jerry, 10, #045Afb
Judy, 9, #ff5A00
Madeleine, 7, #ff5A00
Patsy, 7, #ff5A00
Angela, 11, #ff5A00
Charlene, 8, #ff5A00
Maria, 9, #ff5A00
Connie, 8, #ff5A00
Faith, 8, #ff5A00
Aimee, 7, #ff5A00
Colleen, 8, #ff5A00
Diana, 9, #ff5A00
Lee, 8, #295Ad6
Madelyn, 7, #ff5A00
Angelina, 8, #ff5A00
Carole, 8, #ff5A00
Elisabeth, 7, #ff5A00
