name,num,color
Mary, 25, #ff5A00
Helen, 11, #ff5A00
Margaret, 13, #ff5A00
Dorothy, 12, #ff5A00
Evelyn, 10, #ff5A00
Alice, 9, #ff5A00
Ruth, 12, #ff5A00
Mildred, 8, #ff5A00
Marie, 9, #ff5A00
Florence, 9, #ff5A00
Esther, 8, #ff5A00
Irene, 9, #ff5A00
Agnes, 8, #ff5A00
Rose, 9, #ff5A00
Anna, 10, #ff5A00
Viola, 8, #ff5A00
Gladys, 8, #ff5A00
Elizabeth, 14, #ff5A00
Frances, 8, #ff5A00
Leona, 8, #ff5A00
Gertrude, 8, #ff5A00
Clara, 8, #ff5A00
Lucille, 9, #ff5A00
Edna, 8, #ff5A00
Lillian, 9, #ff5A00
Bernice, 8, #ff5A00
Mabel, 7, #ff5A00
Ethel, 8, #ff5A00
Eleanor, 8, #ff5A00
Martha, 8, #ff5A00
Grace, 9, #ff5A00
Myrtle, 7, #ff5A00
Marion, 9, #f65A09
Catherine, 10, #ff5A00
Hazel, 8, #ff5A00
Josephine, 8, #ff5A00
Ann, 10, #ff5A00
Pearl, 7, #ff5A00
Elsie, 8, #ff5A00
Louise, 8, #ff5A00
Sylvia, 8, #ff5A00
Emma, 9, #ff5A00
Beatrice, 8, #ff5A00
Genevieve, 8, #ff5A00
Ella, 8, #ff5A00
Adeline, 8, #ff5A00
Doris, 9, #ff5A00
Laura, 11, #ff5A00
Verna, 7, #ff5A00
Ruby, 8, #ff5A00
Harriet, 8, #ff5A00
Olive, 7, #ff5A00
Theresa, 9, #ff5A00
Vera, 7, #ff5A00
Virginia, 10, #ff5A00
Ida, 7, #ff5A00
Irma, 7, #ff5A00
Jean, 11, #fe5A01
Lorraine, 9, #ff5A00
Bertha, 7, #ff5A00
Julia, 8, #ff5A00
Marjorie, 9, #ff5A00
Betty, 11, #ff5A00
Edith, 8, #ff5A00
Loretta, 8, #ff5A00
Thelma, 7, #ff5A00
Violet, 8, #ff5A00
Alma, 7, #ff5A00
Blanche, 7, #ff5A00
Cecelia, 7, #ff5A00
Marcella, 8, #ff5A00
Hilda, 7, #ff5A00
Katherine, 10, #ff5A00
Anita, 8, #ff5A00
Emily, 11, #ff5A00
Norma, 8, #ff5A00
Pauline, 8, #ff5A00
Regina, 7, #ff5A00
Sophie, 7, #ff5A00
Anne, 9, #ff5A00
Mae, 7, #ff5A00
Marian, 8, #ff5A00
Caroline, 8, #ff5A00
Angeline, 7, #ff5A00
Luella, 7, #ff5A00
Stella, 7, #ff5A00
Vivian, 8, #ff5A00
Dolores, 8, #ff5A00
Eleanore, 7, #ff5A00
Ellen, 9, #ff5A00
Eva, 8, #ff5A00
Kathryn, 10, #ff5A00
Eunice, 7, #ff5A00
Marguerite, 7, #ff5A00
Charlotte, 9, #ff5A00
Jennie, 7, #ff5A00
Cecilia, 7, #ff5A00
Janet, 10, #ff5A00
Jane, 10, #ff5A00
Lucy, 8, #ff5A00
Kathleen, 13, #ff5A00
Lila, 7, #ff5A00
Lydia, 8, #ff5A00
Isabelle, 7, #ff5A00
Jessie, 7, #b55A4a
Wilma, 7, #ff5A00
Carol, 13, #ff5A00
Veronica, 8, #ff5A00
Ione, 7, #ff5A00
Jeanette, 8, #ff5A00
Lois, 9, #ff5A00
Phyllis, 9, #ff5A00
Sally, 8, #ff5A00
Sarah, 12, #ff5A00
Barbara, 15, #ff5A00
Christine, 11, #ff5A00
Cora, 7, #ff5A00
Elaine, 9, #ff5A00
Fern, 7, #ff5A00
