name,num,color
Mary, 25, #fe5A01
Virginia, 12, #ff5A00
Helen, 12, #ff5A00
Ruth, 11, #ff5A00
Margaret, 12, #ff5A00
Thelma, 9, #ff5A00
Gladys, 8, #ff5A00
Anna, 11, #ff5A00
Ethel, 8, #ff5A00
Hazel, 9, #ff5A00
Elizabeth, 12, #ff5A00
Mildred, 9, #ff5A00
Nellie, 8, #ff5A00
Dorothy, 11, #ff5A00
Mabel, 8, #ff5A00
Edith, 9, #ff5A00
Evelyn, 9, #ff5A00
Opal, 8, #ff5A00
Ruby, 9, #ff5A00
Edna, 8, #ff5A00
Grace, 8, #ff5A00
Clara, 8, #ff5A00
Marie, 8, #ff5A00
Pearl, 8, #fb5A04
Lillian, 8, #ff5A00
Martha, 10, #ff5A00
Elsie, 8, #ff5A00
Goldie, 8, #ff5A00
Bessie, 8, #ff5A00
Myrtle, 8, #ff5A00
Beulah, 8, #ff5A00
Bertha, 8, #ff5A00
Eva, 8, #ff5A00
Frances, 10, #ff5A00
Florence, 8, #ff5A00
Alice, 9, #ff5A00
Irene, 8, #ff5A00
Josephine, 8, #ff5A00
Pauline, 8, #ff5A00
Louise, 8, #ff5A00
Blanche, 7, #ff5A00
Violet, 8, #ff5A00
Sarah, 10, #ff5A00
Georgia, 8, #ff5A00
Julia, 8, #ff5A00
Beatrice, 8, #ff5A00
Catherine, 8, #ff5A00
Ida, 8, #ff5A00
Mae, 7, #ff5A00
Ada, 7, #ff5A00
Genevieve, 7, #ff5A00
Laura, 9, #ff5A00
Lucille, 8, #ff5A00
Minnie, 7, #ff5A00
Emma, 9, #ff5A00
Gertrude, 7, #ff5A00
Hattie, 7, #ff5A00
Jessie, 8, #a05A5f
Stella, 8, #ff5A00
Alma, 8, #ff5A00
Katherine, 8, #ff5A00
Lucy, 8, #ff5A00
Sylvia, 8, #ff5A00
Bernice, 8, #fe5A01
Sadie, 7, #ff5A00
Rose, 8, #ff5A00
Viola, 7, #ff5A00
Cora, 8, #ff5A00
